370153-Regina Barcellos-21459.51
580702-Tibofarcio Camacho-15838.75
459371-Romo Paranage-4165.16
438259-Sofras Cuaresma-18827.46
49895-Armanda Amorim-5527.67
738615-Letedcia Gago-7065.99
489451-Sofras Cuaresma-7951.50
178298-Emiliana Foquio-21135.44
855078-Melinda Roserio-4385.23
231469-Esperada Cardoso-13362.12
899382-Micaela Chavez-1800.98
28862-Guida Juca-14216.79
752854-Cassandra Varejo-11446.55
893588-Delfina Garcia de Gondim-4556.09
86673-Letedcia Gago-4916.59
593237-Carminda Morais-7373.98
275495-Camila Gabeira-18198.87
380232-Sara Lameiras-6395.82
182518-Feledcia Peassego-3929.53
563082-Delfim Higuera-18821.85
352620-Camila Gabeira-20150.84
609386-Melinda Roserio-10126.29
257086-Regina Barcellos-2598.99
420406-Lina Andrade-12277.92
846586-Sara Lameiras-7163.95
40143-Celeste Duarte-16039.88
832663-Marilda Leio-9267.80
291033-Almor Caiado-36.77
809868-Daniel Vieyra-2538.59
852110-Melinda Roserio-10764.22
622389-Ermelinda Quintela-20507.75
974508-Cleusa Goes-10279.01
38224-Moaci Mendoa-17391.58
756556-Guaraci Damasceno-3060.95
84117-Almerinda Palmeira-7589.41
70800-Gaudancio Fiees-15029.81
971574-Sofras Cuaresma-10973.30
759537-Anind Zarco-3371.38
645692-Heleedsa Marins-13359.48
485117-Daniel Vieyra-2373.16
25633-Clara Alcantara-5249.38
166622-Aludsio Sosa-2314.29
936946-Daniel Vieyra-7784.68
122164-Honorina Lira-11632.24
99512-Melinda Roserio-18413.08
472014-Odilia Bello-11568.95
349260-Ubaldo Mainha-19948.67
523097-Honorina Lira-18801.43
857405-Polibe Olivares-14523.05
567406-Marilda Leio-11043.06
699832-Tibefarcio Colao-5708.48
123654-Delfina Garcia de Gondim-18670.15
964610-Tarrataca Soares-17104.68
963435-Leonidas Mafra-3611.07
573239-Flor Portella-11942.06
124255-Domingos Pas-6311.95
656627-Flamednia Leiria-2760.60
35722-Flor Portella-10555.83
68925-Telma Villalobos-8259.57
49754-Joaquim Rufino-19885.25
346669-Adelina Quadros-13247.41
582061-Celeste Duarte-8853.81
246790-Feledcia Peassego-16983.45
895431-Danilo Olaio-12078.25
768189-Oliveira Carmona-18673.98
465533-Ermelinda Quintela-1410.39
574615-Antonio Castelo-18266.96
550658-Emedlia Silvera-15792.48
702255-Marilda Leio-18833.17
158745-Henrique Bento-19273.66
437949-Celeste Duarte-19487.13
49149-Gaudancio Fiees-3248.11
708023-Emiliana Foquio-15820.58
351516-Letedcia Gago-564.70
101794-Odete Vasques-12062.38
58369-Eurico Siqueira-4302.20
209606-Tabalipa Duarte-10327.95
937469-Antonio Viegas-7138.62
248704-Letedcia Gago-13535.64
33420-Liana Cardim-1092.39
342670-Domingos Pas-2326.77
425344-Manuel Capiperibe-1472.43
372390-Sofras Cuaresma-17199.51
181124-Filomena Barrios-2188.18
331333-Ermelinda Quintela-2999.20
396256-Basilio Pedroso-10099.79
500148-Marilda Leio-8327.04
815988-Neeamia Arruda-441.58
379498-Rodolfo Paz-18474.07
775956-Estanislau Beserra-6259.57
571467-Gaudancio Fiees-5158.16
79997-Judite Damasceno-6942.41
399959-Esperada Cardoso-20466.14
294496-Esperada Cardoso-19763.11
659039-Edgar Carvalheiro-16911.59
778128-Urbano Rodrigues-9110.71
600944-Neeamia Arruda-19245.71
251160-Armanda Amorim-1159.04
246729-Armanda Amorim-13592.83
322610-Dulce Froes-10955.76
