608256-Letedcia Gago-3847.50
466921-Almor Caiado-20987.91
340480-Tibefarcio Colao-19550.38
555338-Tibofarcio Camacho-5646.74
671713-Branco Saraba-15031.74
432811-Feledcia Peassego-1047.07
169981-Emedlia Silvera-15922.83
99310-Branco Saraba-18908.71
763523-Adelina Quadros-3410.89
76465-Emedlia Silvera-12023.73
853476-Moaci Mendoa-12699.81
195234-Moaci Mendoa-20704.48
404189-Oliveira Senchez-4093.05
71334-Manuel Capiperibe-6368.60
553125-Basilio Pedroso-1550.48
200194-Almerinda Palmeira-15884.81
951336-Armanda Amorim-7201.68
434523-Nuno Balsemeo-4027.83
45240-Quintino Alcantara-15805.47
679092-Andreia Moita-19396.23
599880-Emedlia Silvera-5739.93
271046-Estanislau Beserra-2937.05
249065-Clarindo Areosa-6161.09
781892-Ximena Castilho-8301.80
988754-Sofras Cuaresma-5402.50
885423-Emedlia Silvera-15514.50
489577-Mercia Caeira-9289.17
376490-Lurdes Cotrim-17623.52
167612-Dulce Froes-6819.14
531590-Micaela Chavez-14645.93
301247-Polibe Olivares-18781.93
535783-Odilia Camello-1599.80
251174-Lina Andrade-5562.29
271550-Edgar Carvalheiro-7270.11
668599-Domingos Pas-12370.00
597684-Oliveira Senchez-14418.85
524320-Jussara Varanda-14463.75
618487-Antonio Castelo-6952.68
12201-Anind Zarco-10794.35
952632-Heleedsa Marins-7924.83
548949-Nuno Balsemeo-10367.84
621926-Ermelinda Quintela-9348.37
915851-Nuno Balsemeo-4096.04
318563-Guaraci Damasceno-20178.76
901396-Danilo Olaio-21015.44
250178-Rodolfo Paz-8156.58
48753-Armindo Castalo-18961.83
281161-Emedlia Silvera-17683.17
865572-Neeamia Arruda-8348.46
879932-Ximena Castilho-6763.15
3333-Celeste Duarte-10848.64
319303-Edgar Carvalheiro-4870.02
131593-Camila Gabeira-13239.18
172915-Andreia Moita-20642.37
225162-Tibefarcio Colao-13906.54
277088-Melinda Roserio-19909.04
246821-Angilica Galante-11214.70
591234-Telma Villalobos-18587.51
203169-Oliveira Carmona-16701.33
766590-Taercio Mafra-12375.29
813088-Armanda Amorim-20255.32
160261-Angilica Galante-16173.68
343894-Angelica Aranha-1730.16
131512-Neeamia Arruda-3961.89
827369-Rebeca Neto-8664.14
67362-Basilio Pedroso-6732.07
481878-Antonio Castelo-12584.54
78885-Moaci Mendoa-19210.45
25928-Gaudancio Fiees-12087.65
302502-Liana Cardim-2010.48
410297-Letedcia Gago-18378.61
898261-Antonio Viegas-7135.38
388320-Letedcia Gago-20578.81
796327-Camila Gabeira-19855.29
957196-Taercio Mafra-3668.73
288675-Leonidas Mafra-14509.40
40944-Flamednia Leiria-17584.22
779107-Augusta Paio-10380.18
267973-Anfnia Seixas-10580.43
405820-Trajano Fagundes-5058.62
588931-Branco Saraba-577.89
304288-Almerinda Palmeira-7986.87
420250-Emiliana Foquio-10680.76
35707-Delfina Perdigon-423.88
356278-Taercio Mafra-19333.45
90772-Odilia Camello-16891.50
32630-Domingos Pas-13007.08
945025-Odilia Camello-18894.87
419193-Ubaldo Mainha-10192.71
174654-Cassandra Varejo-3601.93
461647-Taercio Mafra-11497.82
125964-Delfina Perdigon-11186.03
844218-Ermelinda Quintela-18840.23
960304-Odete Vasques-14715.75
605734-Judite Damasceno-2774.48
640580-Melinda Roserio-13155.39
615854-Camila Gabeira-9640.88
46136-Dulce Froes-4815.49
977609-Neeamia Arruda-17889.68
468905-Delfina Garcia de Gondim-18001.43
338877-Branco Saraba-7161.21
481472-Zungela Ipiranga-3747.63
827653-Dulce Froes-14896.07
765742-Nuno Balsemeo-18235.68
575714-Eurico Siqueira-12146.90
247468-Elisa Themes-298.47
586032-Letedcia Gago-18674.62
148702-Antonio Viegas-20435.09
198233-Jonatas Felgueiras-15960.03
35302-Aludsio Sosa-15829.88
582082-Almor Caiado-3628.43
394800-Moaci Mendoa-1408.41
326799-Zungela Ipiranga-17156.69
314682-Sofras Cuaresma-18604.34
361452-Anfnia Seixas-6175.26
372444-Artur Grillo-20677.74
438430-Cleusa Goes-14578.76
592039-Odete Vasques-885.41
294649-Regina Barcellos-19967.40
481805-Trajano Fagundes-17592.91
328161-Emedlio Pimentel-18838.73
295364-Jussara Varanda-13727.84
542082-Polibe Olivares-13446.28
396181-Tibofarcio Camacho-15359.42
334319-Cassandra Varejo-12708.20
962228-Neeamia Arruda-8267.09
436842-Almerinda Palmeira-15191.47
406719-Ermelinda Quintela-172.56
885290-Letedcia Gago-10975.50
882870-Dulce Froes-1065.49
384716-Tabalipa Duarte-9918.77
729704-Fulvio Villegas-1746.88
915660-Andreia Moita-1772.30
286588-Guaraci Damasceno-3416.27
608231-Filomena Barrios-3439.61
456303-Sofras Cuaresma-13989.23
594624-Angelica Aranha-13888.76
609226-Camila Gabeira-337.99
681515-Dulce Froes-15246.85
493372-Heleedsa Marins-10150.84
629155-Delfina Garcia de Gondim-879.85
638244-Oliveira Senchez-12537.15
948141-Joaquim Rufino-3581.47
401999-Antonio Viegas-12644.33
798146-Tabalipa Duarte-15380.42
530740-Gaudancio Fiees-17964.98
972225-Gaudancio Fiees-19600.93
77383-Camila Gabeira-13392.18
438253-Edgar Carvalheiro-224.16
865836-Basilio Pedroso-64.26
325585-Celeste Duarte-9030.55
178365-Quintino Alcantara-3012.09
719540-Guaraci Damasceno-17211.58
491192-Jonatas Felgueiras-650.76
405855-Urbano Rodrigues-11638.74
765143-Spnia ou Sonia Guerreiro-19934.05
563989-Judite Damasceno-12328.93
755587-Zungela Ipiranga-4014.87
746657-Liana Cardim-16639.25
422489-Flamednia Leiria-18227.91
698658-Romo Paranage-9846.33
959879-Nuno Balsemeo-1413.28
452209-Guaraci Damasceno-16150.47
91308-Oliveira Senchez-12880.55
163764-Adelino Barra-16494.61
794160-Neuza Francia-8957.42
438799-Lurdes Cotrim-4258.23
692305-Feledcia Peassego-16285.78
163904-Clara Alcantara-2428.41
567815-Tibefarcio Colao-20882.64
881058-Adelina Quadros-17374.79
765492-Odilia Camello-14259.55
859362-Silvio Mata-2599.24
627161-Urbano Rodrigues-7450.15
470888-Lurdes Cotrim-19981.79
188690-Neeamia Arruda-12624.89
344010-Camila Gabeira-3344.44
876371-Angilica Galante-11741.37
928564-Jorgina Bogalho-8258.17
389787-Eurico Siqueira-14593.85
674931-Esperada Cardoso-9337.82
593231-Moaci Mendoa-1520.64
839404-Aludsio Sosa-15629.23
649343-Heleedsa Marins-4450.67
30591-Antonio Castelo-11585.38
872653-Sidfnio Frois-5722.43
973374-Letedcia Gago-6795.87
896745-Emiliana Foquio-5659.79
914704-Cassandra Varejo-6329.08
773909-Cassandra Varejo-3968.14
413201-Rebeca Neto-16804.89
531239-Romo Paranage-11735.99
120606-Zungela Ipiranga-11649.54
149862-Quintino Alcantara-11221.20
193963-Zulmira Becerra-1856.67
416674-Angilica Galante-50.56
161211-Delfim Higuera-14760.29
833668-Odete Vasques-7294.43
159054-Dulce Froes-15413.57
301274-Quintino Alcantara-20071.31
344495-Anind Zarco-20675.44
686126-Nuno Balsemeo-13125.92
575308-Feledcia Peassego-11682.29
420459-Judite Damasceno-18943.79
816038-Antonio Castelo-20885.73
265636-Odilia Camello-16015.06
957943-Manuel Capiperibe-16956.67
753323-Ubaldo Mainha-5580.17
528146-Sofras Cuaresma-15101.76
210977-Sara Lameiras-10829.94
707955-Sara Lameiras-7358.55
210363-Oliveira Senchez-14025.41
827786-Odilia Bello-10876.32
399627-Sidfnio Frois-13540.53
607933-Liana Cardim-4993.85
483297-Lina Andrade-18296.51
414722-Odilia Camello-16221.25
375584-Jorgina Bogalho-5563.95
295332-Tabalipa Duarte-13459.23
88669-Almerinda Palmeira-3286.50
13152-Antonio Viegas-488.75
514688-Ximena Castilho-396.01
608163-Tibofarcio Camacho-14744.29
930535-Ximena Castilho-12233.45
664371-Feledcia Peassego-4084.69
970930-Odilia Camello-13629.53
815943-Adelino Barra-19443.67
327916-Honorina Lira-14812.59
856869-Adelina Quadros-7030.71
78210-Daniel Vieyra-11511.60
293212-Leonidas Mafra-5376.89
879074-Angelica Aranha-9302.04
521923-Tibefarcio Colao-14938.12
797067-Andreia Moita-12492.59
124964-Almor Caiado-20909.23
354358-Honorina Lira-18124.11
750883-Celeste Duarte-20152.27
272484-Delfim Higuera-1000.71
705188-Moaci Mendoa-9199.28
60788-Daniel Vieyra-16900.06
582965-Ermelinda Quintela-13458.15
463323-Ermelinda Quintela-6232.11
461281-Joaquim Rufino-9247.33
888273-Jussara Varanda-11905.30
176630-Delfina Perdigon-6271.71
934286-Elisa Themes-18815.26
644537-Elisa Themes-3407.93
754810-Guida Juca-19220.65
124337-Sofras Cuaresma-7392.87
81155-Edgar Carvalheiro-2858.64
197581-Tibofarcio Camacho-8904.47
3118-Quintiliano Sousa de Arronches-4544.27
528808-Esperada Cardoso-11648.88
866460-Artur Grillo-2012.92
979315-Leonidas Mafra-9344.69
531744-Lurdes Cotrim-16254.03
11030-Guaraci Damasceno-14895.64
233115-Neeamia Arruda-3238.35
525915-Regina Barcellos-17569.60
746301-Domingos Pas-495.57
488833-Zulmira Becerra-6477.55
563077-Telma Villalobos-19417.58
848106-Marilda Leio-5668.03
865844-Lurdes Cotrim-1641.86
929710-Filomena Barrios-19831.65
164668-Anfnia Seixas-16722.13
957781-Armindo Castalo-10437.41
27228-Rebeca Neto-21129.74
678198-Emedlia Silvera-6850.16
132230-Gaudancio Fiees-19747.62
933760-Telma Villalobos-12297.68
698459-Adelina Quadros-19433.30
406001-Clarindo Areosa-4436.95
484964-Angelica Aranha-19505.61
372677-Jonatas Felgueiras-12120.07
245772-Almor Caiado-10026.88
522181-Regina Barcellos-10566.46
879147-Cleusa Goes-17146.73
555126-Sidfnio Frois-6038.68
223513-Urbano Rodrigues-6110.00
449111-Taercio Mafra-20219.34
429501-Neeamia Arruda-14321.48
684154-Henrique Bento-14435.54
741877-Delfim Higuera-10735.56
501835-Artur Grillo-5234.45
426991-Oliveira Carmona-7276.90
81795-Marilda Leio-11642.13
993627-Edgar Carvalheiro-11750.92
879252-Adelina Quadros-10841.63
297288-Heleedsa Marins-5009.03
994036-Liana Cardim-16223.52
458331-Delfina Garcia de Gondim-8012.98
769600-Henrique Bento-21269.82
292303-Tabalipa Duarte-18712.40
375930-Aludsio Sosa-1982.59
982897-Tibofarcio Camacho-12386.86
