804588-Feledcia Peassego-13995.10
162192-Angelica Aranha-14534.80
129500-Domingos Pas-21400.28
496960-Armanda Amorim-3558.39
712609-Clarindo Areosa-9303.35
28120-Celeste Duarte-5073.31
859215-Almerinda Palmeira-16682.32
609937-Manuel Capiperibe-6124.05
612197-Emiliana Foquio-5581.05
330220-Flamednia Leiria-4408.85
973280-Emiliana Foquio-1982.06
584673-Sofras Cuaresma-18703.68
646879-Heleedsa Marins-6470.14
393710-Heleedsa Marins-19935.11
119622-Dulce Froes-15397.40
678698-Almerinda Palmeira-21207.68
833619-Aludsio Sosa-18751.43
289274-Angelica Aranha-1602.70
508036-Marilda Leio-19468.82
206170-Dulce Froes-6997.28
820366-Tibefarcio Colao-1072.18
944452-Trajano Fagundes-7538.03
548037-Zulmira Becerra-14864.50
212239-Melinda Roserio-8753.60
715340-Estanislau Beserra-6969.96
553471-Silvio Mata-671.91
722873-Adelino Barra-19290.24
640777-Joaquim Rufino-1408.30
479735-Jorgina Bogalho-8793.38
423551-Daniel Vieyra-7740.60
252134-Quintino Alcantara-12578.81
286426-Aludsio Sosa-15828.25
204971-Lurdes Cotrim-10548.90
137270-Delfina Perdigon-18141.02
96634-Odete Vasques-20688.17
312026-Marilda Leio-6018.87
811564-Danilo Olaio-681.26
970817-Melinda Roserio-21357.67
883370-Tarrataca Soares-9747.63
710475-Sofras Cuaresma-14381.87
266000-Zungela Ipiranga-18194.39
39578-Artur Grillo-1692.42
132234-Nuno Balsemeo-5054.47
674496-Micaela Chavez-13275.84
576425-Adelina Quadros-3341.97
990348-Angelica Aranha-12125.09
594963-Ermelinda Quintela-17883.21
740241-Ximena Castilho-17892.91
715457-Fulvio Villegas-13756.91
28647-Tibefarcio Colao-3469.18
918684-Danilo Olaio-15501.84
689584-Silvio Mata-7977.40
802150-Branco Saraba-9908.72
804420-Odete Vasques-14685.47
424985-Liana Cardim-9586.39
895537-Daniel Vieyra-1581.46
736843-Jussara Varanda-12817.41
220832-Honorina Lira-19634.81
471929-Celeste Duarte-1967.13
2575-Moaci Mendoa-11557.42
236319-Melinda Roserio-13196.60
425297-Eurico Siqueira-19463.50
339583-Almerinda Palmeira-3236.68
216853-Anfnia Seixas-18014.73
194376-Flor Portella-17514.14
852435-Delfina Garcia de Gondim-948.26
535760-Danilo Olaio-17285.63
55915-Artur Grillo-2783.00
383719-Melinda Roserio-272.88
918892-Anind Zarco-19502.91
855559-Tarrataca Soares-10430.44
8775-Judite Damasceno-12724.69
385415-Neeamia Arruda-6603.25
666769-Jonatas Felgueiras-18595.42
494630-Delfina Garcia de Gondim-19027.36
961775-Tarrataca Soares-11241.05
574903-Fulvio Villegas-7361.57
445329-Elisa Themes-3797.29
313296-Almor Caiado-18441.13
894260-Zungela Ipiranga-625.48
733220-Mercia Caeira-18244.04
232510-Rodolfo Paz-899.29
598064-Romo Paranage-20993.14
632034-Emedlio Pimentel-2534.97
655190-Artur Grillo-3159.92
608871-Dulce Froes-10979.54
388612-Anind Zarco-6100.45
247610-Joaquim Rufino-1340.07
406695-Neuza Francia-16333.20
854150-Polibe Olivares-10097.31
592550-Ubaldo Mainha-15664.64
407269-Tarrataca Soares-3282.13
174550-Henrique Bento-13888.11
299384-Regina Barcellos-7769.59
965920-Feledcia Peassego-2941.31
884886-Delfina Perdigon-16917.40
908717-Cassandra Varejo-7696.45
605877-Trajano Fagundes-14038.92
32282-Armindo Castalo-17252.99
571650-Gaudancio Fiees-17611.53
