341895-Camila Gabeira-9312.03
675330-Delfim Higuera-6157.77
283326-Manuel Capiperibe-3746.53
879146-Danilo Olaio-16027.45
430265-Trajano Fagundes-11579.55
565912-Rodolfo Paz-20290.29
987017-Liana Cardim-17581.92
429332-Telma Villalobos-13114.69
337539-Eurico Siqueira-21365.78
420516-Sara Lameiras-17258.15
222094-Celeste Duarte-19461.57
4912-Estanislau Beserra-6313.48
655092-Neeamia Arruda-15686.32
770554-Almor Caiado-10690.27
957533-Taercio Mafra-8149.74
964778-Anind Zarco-18515.40
833211-Branco Saraba-16350.43
75270-Feledcia Peassego-12009.89
300612-Jussara Varanda-13333.26
152404-Fulvio Villegas-12172.63
47040-Dulce Froes-5150.01
144261-Guaraci Damasceno-1075.23
18101-Feledcia Peassego-1991.78
61622-Rodolfo Paz-474.65
366077-Estanislau Beserra-10424.22
625771-Lurdes Cotrim-18153.87
914780-Joaquim Rufino-21212.20
428649-Delfina Garcia de Gondim-15418.12
927843-Tibofarcio Camacho-1096.29
4698-Oliveira Carmona-5057.81
412543-Honorina Lira-5268.28
493274-Tibefarcio Colao-11039.73
438573-Danilo Olaio-7055.07
15414-Moaci Mendoa-18535.69
619296-Tibofarcio Camacho-18559.35
713187-Taercio Mafra-18705.61
863001-Anfnia Seixas-17789.92
572105-Ubaldo Mainha-11919.37
269833-Fulvio Villegas-14208.65
810076-Honorina Lira-3073.85
613350-Gaudancio Fiees-17247.98
934453-Almerinda Palmeira-11768.08
261946-Marilda Leio-14422.46
283624-Gaudancio Fiees-19422.62
770042-Jussara Varanda-15983.97
678733-Tabalipa Duarte-12256.27
490827-Joaquim Rufino-5280.06
39537-Camila Gabeira-11405.78
916484-Oliveira Senchez-21168.48
422281-Romo Paranage-4951.75
709332-Sofras Cuaresma-17877.88
824678-Artur Grillo-672.39
428932-Melinda Roserio-18835.01
540195-Rodolfo Paz-9933.01
736442-Gaudancio Fiees-17390.71
383749-Honorina Lira-8682.66
107889-Jonatas Felgueiras-1962.73
339994-Mercia Caeira-18443.12
508712-Melinda Roserio-9117.45
58240-Tarrataca Soares-18031.68
993274-Melinda Roserio-7293.93
726359-Trajano Fagundes-3647.34
299825-Neuza Francia-18131.63
119542-Odete Vasques-14852.20
717275-Basilio Pedroso-12344.73
712322-Taercio Mafra-7693.73
850573-Joaquim Rufino-19604.81
511381-Zulmira Becerra-1443.37
750501-Delfina Perdigon-8078.46
354117-Tibefarcio Colao-10769.04
132306-Eurico Siqueira-12588.97
214770-Mercia Caeira-9311.40
535964-Quintino Alcantara-12704.40
874184-Sidfnio Frois-15715.59
513056-Ermelinda Quintela-16292.77
255324-Estanislau Beserra-8945.05
747019-Romo Paranage-5928.72
28023-Cassandra Varejo-12523.83
621521-Clara Alcantara-18661.34
476702-Armanda Amorim-2560.04
15847-Delfina Garcia de Gondim-12121.37
948287-Aludsio Sosa-798.68
131406-Leonidas Mafra-12214.04
477784-Jorgina Bogalho-777.94
560321-Odilia Bello-19373.07
115458-Branco Saraba-20965.63
559649-Emedlia Silvera-14238.26
783-Spnia ou Sonia Guerreiro-1153.71
778855-Spnia ou Sonia Guerreiro-155.08
402577-Anfnia Seixas-20359.85
930189-Sidfnio Frois-15375.17
387670-Romo Paranage-13969.82
468674-Urbano Rodrigues-19791.13
22084-Ubaldo Mainha-8021.07
134738-Adelino Barra-14986.68
523910-Edgar Carvalheiro-10083.00
450980-Romo Paranage-1003.76
733815-Angilica Galante-7353.76
916502-Angelica Aranha-9101.55
749542-Liana Cardim-14325.58
