704280-Melinda Roserio-19849.50
105791-Mercia Caeira-7848.75
122772-Quintiliano Sousa de Arronches-18885.95
788112-Tibofarcio Camacho-1705.20
265720-Augusta Paio-6499.95
608565-Urbano Rodrigues-18757.51
462413-Anind Zarco-11175.01
160254-Anfnia Seixas-19184.39
503-Letedcia Gago-6360.52
731238-Joaquim Rufino-1863.03
150535-Marilda Leio-8010.07
352-Marilda Leio-20081.13
581619-Adelina Quadros-467.52
652896-Joaquim Rufino-20235.40
738139-Jussara Varanda-17313.22
950955-Sara Lameiras-17184.47
27203-Ximena Castilho-11934.26
818263-Gaudancio Fiees-6921.03
866472-Sofras Cuaresma-7201.03
686482-Melinda Roserio-19528.34
44786-Odilia Bello-11735.01
869801-Cleusa Goes-14105.02
569565-Guida Juca-1556.00
380265-Emedlio Pimentel-21252.53
711117-Urbano Rodrigues-3745.07
553625-Celeste Duarte-2239.74
146708-Melinda Roserio-9100.02
757457-Lurdes Cotrim-15298.20
807104-Armindo Castalo-12912.03
424741-Almor Caiado-8484.05
345405-Delfina Perdigon-1019.67
789730-Leonidas Mafra-10368.36
347154-Angilica Galante-1429.22
173154-Aludsio Sosa-14563.03
539490-Eurico Siqueira-8525.30
744586-Sidfnio Frois-11290.84
913359-Sara Lameiras-20142.30
24576-Trajano Fagundes-3305.04
238489-Regina Barcellos-1438.28
555603-Heleedsa Marins-20902.52
223506-Letedcia Gago-20611.14
392735-Camila Gabeira-8574.20
96346-Flor Portella-4872.84
883253-Spnia ou Sonia Guerreiro-9974.57
439057-Guida Juca-1165.13
18249-Emiliana Foquio-17232.57
571785-Rodolfo Paz-10936.87
126868-Ermelinda Quintela-15687.12
501762-Ximena Castilho-16929.50
111994-Henrique Bento-390.22
127696-Lina Andrade-7072.46
593653-Adelino Barra-5761.55
928723-Guaraci Damasceno-10562.51
669767-Adelina Quadros-1556.51
229754-Filomena Barrios-21470.90
319803-Odete Vasques-9626.24
9889-Marilda Leio-11211.96
446722-Dulce Froes-13853.23
387759-Tabalipa Duarte-11373.41
156456-Heleedsa Marins-16684.53
210258-Basilio Pedroso-16795.81
378219-Nuno Balsemeo-12726.91
966420-Clarindo Areosa-14846.19
354719-Delfina Garcia de Gondim-3108.06
199919-Flamednia Leiria-13550.35
557862-Angilica Galante-11748.71
689485-Anind Zarco-8993.98
24500-Danilo Olaio-3953.61
71131-Antonio Viegas-21407.49
584219-Tarrataca Soares-19844.21
119368-Antonio Castelo-20166.32
900084-Tibofarcio Camacho-35.26
351807-Trajano Fagundes-10974.93
54530-Marilda Leio-14908.47
407858-Spnia ou Sonia Guerreiro-335.64
367201-Camila Gabeira-11371.21
467160-Esperada Cardoso-823.27
763169-Sofras Cuaresma-1103.52
898447-Tibefarcio Colao-6424.23
374758-Angilica Galante-12240.07
820447-Delfina Garcia de Gondim-18941.26
363210-Celeste Duarte-12125.43
113053-Sofras Cuaresma-19028.95
482347-Neeamia Arruda-7264.66
657210-Odilia Camello-21338.74
383749-Esperada Cardoso-18297.57
498119-Feledcia Peassego-7767.41
10209-Flamednia Leiria-960.20
883095-Delfina Perdigon-11729.19
20887-Romo Paranage-8498.10
96394-Jussara Varanda-7951.46
319874-Micaela Chavez-5410.26
69547-Romo Paranage-13601.39
828185-Delfina Perdigon-4421.38
434154-Spnia ou Sonia Guerreiro-2453.11
603727-Zulmira Becerra-21246.95
411118-Neeamia Arruda-8127.10
29459-Manuel Capiperibe-15037.20
515954-Judite Damasceno-2981.19
425383-Aludsio Sosa-14841.40
