226859-Melinda Roserio-17684.89
404433-Antonio Castelo-4874.10
682608-Urbano Rodrigues-12345.47
566792-Aludsio Sosa-996.12
748930-Rodolfo Paz-14376.83
315389-Estanislau Beserra-18120.76
765227-Urbano Rodrigues-10598.62
295382-Quintino Alcantara-12130.21
590052-Fulvio Villegas-11487.88
703609-Quintino Alcantara-9955.51
668803-Odete Vasques-17137.78
408219-Telma Villalobos-4496.99
703131-Zulmira Becerra-9873.82
298179-Daniel Vieyra-10679.48
381783-Rebeca Neto-14296.97
298716-Anind Zarco-2595.29
696655-Neeamia Arruda-16032.94
141503-Daniel Vieyra-5271.06
829282-Sidfnio Frois-20506.96
614779-Adelina Quadros-7049.16
798409-Cleusa Goes-21385.85
471081-Sofras Cuaresma-5935.09
69623-Almerinda Palmeira-19292.12
731074-Melinda Roserio-1770.27
4551-Almor Caiado-17514.09
960630-Sidfnio Frois-1082.24
509538-Flamednia Leiria-14239.21
436759-Sofras Cuaresma-20980.62
384784-Domingos Pas-20674.08
120368-Ermelinda Quintela-6025.39
440021-Guaraci Damasceno-11183.37
537897-Polibe Olivares-10883.25
334782-Tarrataca Soares-9999.11
513284-Regina Barcellos-20876.42
156548-Angilica Galante-1561.63
13504-Heleedsa Marins-9381.23
399540-Guaraci Damasceno-19506.33
596235-Adelina Quadros-21060.70
898972-Spnia ou Sonia Guerreiro-4699.71
414155-Andreia Moita-3386.07
845392-Rodolfo Paz-5600.48
377839-Filomena Barrios-7005.85
419715-Delfim Higuera-12099.20
706856-Ermelinda Quintela-9279.50
504737-Zungela Ipiranga-9226.23
744196-Flamednia Leiria-4761.53
691245-Daniel Vieyra-19955.52
75244-Mercia Caeira-6416.65
37696-Taercio Mafra-12365.64
924235-Feledcia Peassego-15359.78
349641-Anfnia Seixas-973.40
628674-Danilo Olaio-12067.17
232417-Odilia Camello-11626.53
263196-Anind Zarco-18943.60
935733-Tibefarcio Colao-14313.81
287284-Edgar Carvalheiro-15251.26
762127-Melinda Roserio-1363.33
386153-Edgar Carvalheiro-8364.08
596120-Cleusa Goes-14284.46
776814-Odete Vasques-18323.70
81307-Antonio Viegas-5032.36
433268-Tabalipa Duarte-7068.65
370594-Sofras Cuaresma-13840.97
228067-Estanislau Beserra-13873.61
551676-Domingos Pas-6568.13
14320-Neeamia Arruda-14961.00
113153-Judite Damasceno-5483.79
796769-Emedlia Silvera-19117.65
145053-Lina Andrade-12498.77
56977-Odilia Camello-11801.70
463048-Delfim Higuera-20412.52
725010-Anind Zarco-982.01
704350-Jorgina Bogalho-3465.72
337136-Guaraci Damasceno-18488.00
846575-Oliveira Carmona-12378.68
253758-Ermelinda Quintela-15838.82
302879-Delfina Garcia de Gondim-12155.12
168833-Cleusa Goes-21283.08
959568-Trajano Fagundes-6689.70
712781-Polibe Olivares-2215.43
352706-Camila Gabeira-1745.23
712634-Delfina Perdigon-6252.48
453942-Emedlia Silvera-6329.52
809047-Lina Andrade-13602.89
41146-Armindo Castalo-4066.52
569620-Silvio Mata-13509.06
230810-Armindo Castalo-14232.09
754138-Lurdes Cotrim-7598.94
74815-Manuel Capiperibe-1973.70
272608-Fulvio Villegas-11640.83
157036-Quintiliano Sousa de Arronches-11974.35
809406-Carminda Morais-8006.64
146636-Antonio Castelo-6806.35
572023-Tibefarcio Colao-739.60
313635-Guida Juca-3680.01
923148-Artur Grillo-720.87
931234-Angilica Galante-6823.18
967399-Esperada Cardoso-5995.88
312060-Esperada Cardoso-17356.63
142975-Camila Gabeira-10454.52
