566003-Letedcia Gago-15832.84
104610-Ximena Castilho-11817.70
329703-Adelino Barra-11291.07
706447-Silvio Mata-20474.18
807652-Polibe Olivares-10933.87
728474-Sidfnio Frois-5373.91
839829-Romo Paranage-13104.45
147503-Heleedsa Marins-17959.66
623928-Ermelinda Quintela-9745.13
851750-Taercio Mafra-15676.01
981158-Jussara Varanda-20461.67
332815-Sidfnio Frois-3947.88
528764-Tarrataca Soares-3056.34
385266-Almerinda Palmeira-2928.57
575152-Elisa Themes-9736.65
754580-Adelina Quadros-11623.93
904264-Liana Cardim-15902.33
689498-Angilica Galante-1728.97
977300-Jussara Varanda-10485.21
475689-Liana Cardim-19773.72
135184-Mercia Caeira-4218.70
594639-Sidfnio Frois-12362.03
824123-Letedcia Gago-14507.31
193364-Delfina Garcia de Gondim-20781.17
980266-Aludsio Sosa-9862.08
153899-Almor Caiado-15079.63
234851-Romo Paranage-14833.83
761111-Micaela Chavez-19200.73
285870-Delfim Higuera-1145.67
807626-Eurico Siqueira-3510.42
963137-Armanda Amorim-11881.77
285704-Zungela Ipiranga-20617.72
912641-Almerinda Palmeira-20061.12
657298-Odilia Bello-28.22
775178-Trajano Fagundes-2468.03
73935-Guaraci Damasceno-16839.56
249338-Basilio Pedroso-5567.08
690272-Sidfnio Frois-3229.85
27889-Joaquim Rufino-6312.71
886117-Antonio Viegas-3085.95
633057-Almor Caiado-9225.58
249869-Sidfnio Frois-2243.60
585720-Tibofarcio Camacho-7562.73
169375-Marilda Leio-6764.46
869747-Joaquim Rufino-2777.38
294692-Tarrataca Soares-5338.12
198791-Romo Paranage-4595.78
486308-Sofras Cuaresma-16452.68
363092-Liana Cardim-21162.96
322797-Antonio Castelo-7736.98
808407-Jorgina Bogalho-17423.31
987810-Zungela Ipiranga-11490.97
455646-Silvio Mata-2302.00
552390-Clarindo Areosa-4363.69
471405-Telma Villalobos-16982.39
192957-Fulvio Villegas-7070.50
387299-Ermelinda Quintela-11182.49
289281-Judite Damasceno-1202.51
176366-Lurdes Cotrim-17806.14
334426-Sidfnio Frois-19189.37
603789-Branco Saraba-8862.62
431242-Cassandra Varejo-20182.50
618841-Guaraci Damasceno-9342.22
595579-Ximena Castilho-17877.74
18754-Gaudancio Fiees-2867.62
179897-Spnia ou Sonia Guerreiro-9729.55
152942-Cassandra Varejo-12353.42
703579-Armindo Castalo-16306.31
554786-Honorina Lira-3343.24
701747-Sofras Cuaresma-1251.75
546931-Rebeca Neto-13117.79
756101-Dulce Froes-5217.26
62773-Elisa Themes-1268.61
569020-Danilo Olaio-8834.57
444217-Clarindo Areosa-13204.76
74463-Quintino Alcantara-17156.56
754450-Sidfnio Frois-4553.25
199323-Odete Vasques-1465.45
895388-Daniel Vieyra-2871.00
722091-Jonatas Felgueiras-8458.01
485877-Quintiliano Sousa de Arronches-4488.65
27856-Fulvio Villegas-8386.21
335839-Judite Damasceno-10166.84
381824-Filomena Barrios-12132.53
201850-Ermelinda Quintela-18646.97
783674-Delfina Perdigon-3742.88
836604-Marilda Leio-17440.42
747941-Delfina Perdigon-6497.58
290612-Regina Barcellos-15066.53
157337-Rebeca Neto-18003.75
198894-Armindo Castalo-13023.77
535423-Urbano Rodrigues-8989.22
114520-Aludsio Sosa-4607.74
38674-Regina Barcellos-9221.56
936169-Daniel Vieyra-19233.58
309406-Elisa Themes-16036.58
854636-Flamednia Leiria-9360.10
241151-Quintiliano Sousa de Arronches-11557.58
656180-Honorina Lira-17460.49
170861-Basilio Pedroso-8937.23
