588008-Elisa Themes-1833.96
110410-Daniel Vieyra-14565.58
467780-Ximena Castilho-4096.67
635377-Armindo Castalo-20790.71
224730-Branco Saraba-2838.32
352891-Sofras Cuaresma-18698.50
900728-Emedlia Silvera-8548.03
674108-Elisa Themes-3235.58
335274-Sofras Cuaresma-14557.57
768597-Flor Portella-8290.79
678931-Lina Andrade-5451.84
78464-Aludsio Sosa-3228.10
982642-Zungela Ipiranga-19672.78
677291-Lina Andrade-14284.30
347256-Delfim Higuera-8801.71
1273-Adelina Quadros-7270.40
224158-Taercio Mafra-9299.41
256245-Carminda Morais-15236.15
239878-Neuza Francia-16699.50
918815-Delfim Higuera-19447.19
967560-Zulmira Becerra-21013.98
411820-Rebeca Neto-17459.93
930076-Tibefarcio Colao-7284.92
115576-Sara Lameiras-15991.69
888536-Angilica Galante-20105.16
9815-Clarindo Areosa-6430.34
981015-Mercia Caeira-2437.74
755409-Odete Vasques-2950.31
604180-Heleedsa Marins-18262.71
209649-Cleusa Goes-20741.89
410728-Domingos Pas-6506.73
795426-Joaquim Rufino-20340.85
990505-Branco Saraba-12385.31
496449-Cleusa Goes-8211.63
915932-Tabalipa Duarte-7135.68
22740-Cleusa Goes-11995.78
686115-Odete Vasques-20015.59
290434-Manuel Capiperibe-18268.31
509805-Sidfnio Frois-9989.51
712206-Clara Alcantara-9736.77
633530-Carminda Morais-4326.04
469060-Tarrataca Soares-20684.00
329964-Tabalipa Duarte-19089.07
166181-Manuel Capiperibe-19214.03
687706-Quintiliano Sousa de Arronches-13868.35
241794-Judite Damasceno-11853.75
346070-Zungela Ipiranga-20440.61
708341-Andreia Moita-5978.67
617556-Tibofarcio Camacho-5178.94
313592-Dulce Froes-13266.06
198914-Zulmira Becerra-6737.56
273786-Flor Portella-6607.41
950027-Gaudancio Fiees-8860.71
157715-Zulmira Becerra-20782.37
45130-Sara Lameiras-15414.41
500807-Antonio Castelo-12861.99
534561-Jussara Varanda-19555.46
160112-Edgar Carvalheiro-16457.70
616517-Mercia Caeira-6519.04
540661-Liana Cardim-8002.18
142192-Romo Paranage-20174.17
864542-Neuza Francia-6592.07
986786-Mercia Caeira-9071.57
48485-Adelina Quadros-18523.14
513383-Telma Villalobos-208.76
330118-Oliveira Senchez-4213.77
521430-Romo Paranage-21059.11
806137-Romo Paranage-6335.88
441969-Estanislau Beserra-21262.04
487788-Eurico Siqueira-11402.61
655800-Jussara Varanda-7969.20
579534-Letedcia Gago-15287.84
244402-Silvio Mata-11092.88
980370-Romo Paranage-14473.36
986322-Anfnia Seixas-1693.66
433612-Filomena Barrios-8096.96
596739-Tarrataca Soares-2587.34
821773-Adelino Barra-5605.40
817056-Domingos Pas-1654.98
232847-Cassandra Varejo-17389.86
866387-Angelica Aranha-1651.58
432942-Romo Paranage-4127.38
722651-Heleedsa Marins-9949.82
169189-Adelino Barra-6504.79
446624-Ermelinda Quintela-14574.65
83733-Tibofarcio Camacho-6624.15
614027-Delfim Higuera-16990.12
572069-Adelina Quadros-803.50
117970-Taercio Mafra-17471.67
900952-Delfina Perdigon-9089.16
428972-Melinda Roserio-5132.99
393278-Sofras Cuaresma-4302.48
658412-Letedcia Gago-13189.71
727514-Henrique Bento-19391.40
132715-Camila Gabeira-19955.87
903752-Zulmira Becerra-15091.87
370743-Neeamia Arruda-9013.17
87822-Artur Grillo-1304.06
344774-Mercia Caeira-19775.24
99921-Mercia Caeira-21264.24
