314314-Filomena Barrios-12855.89
89142-Almerinda Palmeira-19789.26
119924-Aludsio Sosa-376.45
861015-Quintino Alcantara-370.86
648862-Fulvio Villegas-18474.10
480336-Neuza Francia-8724.61
414559-Angilica Galante-5798.68
153703-Delfina Garcia de Gondim-8020.99
650676-Elisa Themes-5730.81
9625-Flor Portella-4459.27
857178-Clarindo Areosa-18412.41
802672-Polibe Olivares-1608.46
779874-Polibe Olivares-9519.66
64730-Sofras Cuaresma-6343.44
357361-Estanislau Beserra-1695.09
842258-Neeamia Arruda-475.06
309826-Artur Grillo-1489.20
618834-Carminda Morais-11790.74
366914-Rebeca Neto-1352.41
852499-Jussara Varanda-8412.51
312096-Zulmira Becerra-18381.08
877271-Sara Lameiras-654.27
368247-Fulvio Villegas-20422.07
503924-Celeste Duarte-17957.88
242061-Armanda Amorim-21351.45
389900-Tibofarcio Camacho-935.04
515121-Delfina Perdigon-10528.14
508787-Clarindo Areosa-5099.49
601407-Taercio Mafra-18593.16
291638-Telma Villalobos-10606.84
908545-Basilio Pedroso-355.13
766444-Augusta Paio-693.90
987179-Feledcia Peassego-9937.58
174324-Heleedsa Marins-6987.79
221598-Camila Gabeira-13690.21
261510-Fulvio Villegas-5569.27
323453-Zulmira Becerra-12824.42
305634-Telma Villalobos-19779.51
361758-Flor Portella-12980.69
658852-Adelino Barra-19633.60
722894-Jussara Varanda-1247.85
894710-Regina Barcellos-19185.52
9678-Joaquim Rufino-10630.55
331319-Jorgina Bogalho-6577.46
473420-Marilda Leio-13369.68
760638-Quintiliano Sousa de Arronches-11227.45
67935-Lurdes Cotrim-625.85
672433-Sofras Cuaresma-4528.91
258375-Mercia Caeira-13252.53
159971-Tabalipa Duarte-6674.28
746073-Judite Damasceno-14681.51
361480-Basilio Pedroso-12705.62
850760-Letedcia Gago-1400.88
614864-Delfim Higuera-1189.35
157717-Flamednia Leiria-8554.09
237732-Odilia Camello-1896.86
761162-Jonatas Felgueiras-3627.54
210423-Oliveira Carmona-2799.43
643360-Adelino Barra-4512.01
145028-Rodolfo Paz-5883.61
39768-Judite Damasceno-17521.07
203422-Filomena Barrios-18304.69
435138-Anind Zarco-8928.36
238447-Fulvio Villegas-20804.50
787675-Judite Damasceno-17971.24
304418-Adelino Barra-14118.79
599244-Sara Lameiras-14816.40
962900-Honorina Lira-11413.67
217374-Taercio Mafra-2215.26
240776-Anind Zarco-201.88
208309-Guida Juca-3532.27
326515-Mercia Caeira-13454.31
6458-Zungela Ipiranga-6203.82
290518-Ubaldo Mainha-13886.21
993664-Anind Zarco-129.25
138370-Leonidas Mafra-21252.29
452572-Nuno Balsemeo-2583.45
520555-Angelica Aranha-9173.08
47458-Judite Damasceno-2600.41
258952-Romo Paranage-17592.82
347713-Domingos Pas-17874.91
59813-Guida Juca-18128.17
756732-Jonatas Felgueiras-9583.40
289231-Marilda Leio-15116.30
788526-Gaudancio Fiees-14441.40
928687-Zungela Ipiranga-16112.79
947445-Urbano Rodrigues-552.48
122316-Fulvio Villegas-14337.68
180074-Neeamia Arruda-17318.16
764080-Celeste Duarte-14005.91
535714-Domingos Pas-10284.55
534744-Angilica Galante-2200.31
480944-Trajano Fagundes-8057.88
809452-Gaudancio Fiees-15310.77
758715-Mercia Caeira-1813.82
149113-Liana Cardim-7013.11
768712-Clara Alcantara-2077.75
249460-Trajano Fagundes-1824.13
37906-Odete Vasques-17665.93
867775-Andreia Moita-8868.74
