179048-Jussara Varanda-16943.58
127942-Edgar Carvalheiro-9912.53
582921-Neeamia Arruda-8553.49
315141-Armanda Amorim-8158.66
88066-Flor Portella-266.13
474983-Leonidas Mafra-16292.68
764966-Dulce Froes-20044.26
138009-Clarindo Areosa-8014.82
305387-Emiliana Foquio-20904.08
741603-Almerinda Palmeira-9073.68
32418-Emedlia Silvera-12715.47
399973-Quintiliano Sousa de Arronches-21006.75
880506-Heleedsa Marins-21142.58
618375-Adelino Barra-19560.90
30539-Domingos Pas-18196.94
228035-Taercio Mafra-866.86
955245-Neuza Francia-9284.50
105576-Anind Zarco-891.05
75651-Ubaldo Mainha-11784.10
670637-Estanislau Beserra-10976.68
813139-Sidfnio Frois-5532.17
829927-Odete Vasques-421.33
100004-Rebeca Neto-19840.14
235105-Regina Barcellos-17971.49
235807-Guida Juca-6246.95
849237-Honorina Lira-10279.23
247184-Odilia Bello-14268.79
587304-Almerinda Palmeira-13895.01
409212-Odilia Bello-7120.93
671760-Gaudancio Fiees-13707.63
786299-Telma Villalobos-1520.93
964583-Liana Cardim-8979.23
850906-Spnia ou Sonia Guerreiro-3045.39
995485-Feledcia Peassego-13747.74
746166-Emedlia Silvera-6295.26
707366-Augusta Paio-2428.92
354069-Tarrataca Soares-18441.39
451241-Flor Portella-9952.43
169595-Henrique Bento-6451.68
298168-Fulvio Villegas-7368.40
94914-Regina Barcellos-301.43
624956-Taercio Mafra-19441.07
288267-Armindo Castalo-21369.58
965354-Ermelinda Quintela-5754.70
823648-Odilia Bello-13632.16
377335-Flor Portella-20249.23
854450-Jorgina Bogalho-4997.94
726592-Micaela Chavez-20112.45
615688-Filomena Barrios-2059.31
597390-Dulce Froes-5572.29
342335-Cassandra Varejo-20153.24
696368-Flor Portella-8384.66
973062-Oliveira Carmona-13637.54
788775-Telma Villalobos-12802.36
894964-Cleusa Goes-2375.76
527436-Cleusa Goes-10079.53
568133-Trajano Fagundes-3243.24
747886-Jussara Varanda-17610.50
170351-Armindo Castalo-2651.82
277446-Esperada Cardoso-8437.80
740929-Domingos Pas-5726.38
830749-Quintiliano Sousa de Arronches-17513.35
544193-Flor Portella-9828.24
732168-Camila Gabeira-7191.29
906510-Estanislau Beserra-1875.41
297035-Urbano Rodrigues-175.84
127459-Jussara Varanda-4521.52
751853-Leonidas Mafra-11879.00
137808-Heleedsa Marins-10725.87
454921-Romo Paranage-7513.81
517712-Henrique Bento-9611.22
904742-Estanislau Beserra-17319.53
273671-Telma Villalobos-7130.13
912768-Cassandra Varejo-412.62
787386-Augusta Paio-2921.68
237525-Zungela Ipiranga-6814.65
156873-Augusta Paio-10865.93
399880-Camila Gabeira-20073.45
693138-Polibe Olivares-11599.99
685039-Regina Barcellos-8979.70
456621-Micaela Chavez-17784.88
382924-Guida Juca-15219.09
643963-Delfina Perdigon-9666.99
729153-Quintiliano Sousa de Arronches-14766.12
459973-Emedlio Pimentel-369.15
247741-Domingos Pas-11801.53
103540-Emedlio Pimentel-16193.10
111855-Taercio Mafra-16787.10
536925-Lurdes Cotrim-9719.19
549101-Judite Damasceno-19116.04
458533-Leonidas Mafra-10465.77
489799-Andreia Moita-10969.60
989999-Delfim Higuera-16666.04
19680-Micaela Chavez-15908.49
794658-Feledcia Peassego-15888.26
737794-Taercio Mafra-18480.73
662477-Celeste Duarte-2386.93
696165-Quintiliano Sousa de Arronches-15078.05
74359-Oliveira Senchez-4008.59
967573-Armanda Amorim-1379.24
