255758-Jorgina Bogalho-11052.86
267998-Antonio Viegas-10985.15
246288-Sara Lameiras-14908.79
635342-Eurico Siqueira-16300.44
633156-Henrique Bento-1837.29
331501-Feledcia Peassego-2801.67
907640-Oliveira Senchez-4008.36
370057-Tibefarcio Colao-18902.17
682534-Anind Zarco-11979.27
307764-Zulmira Becerra-11527.03
83895-Camila Gabeira-6224.75
367348-Heleedsa Marins-18397.43
705011-Quintiliano Sousa de Arronches-16235.06
800494-Manuel Capiperibe-3676.58
524686-Angilica Galante-19852.91
257536-Letedcia Gago-8861.39
436329-Tibofarcio Camacho-20260.46
5656-Anind Zarco-9689.33
847400-Sofras Cuaresma-21266.15
566508-Tabalipa Duarte-74.39
25358-Henrique Bento-17285.23
769876-Manuel Capiperibe-13194.07
29426-Artur Grillo-1526.28
684103-Anind Zarco-20274.29
899265-Antonio Viegas-174.70
359324-Armindo Castalo-19937.28
469981-Anfnia Seixas-16406.80
416672-Artur Grillo-1562.02
96581-Judite Damasceno-7000.50
220318-Letedcia Gago-17346.16
563658-Jonatas Felgueiras-17736.41
866008-Angilica Galante-19224.11
944422-Neeamia Arruda-11319.57
528836-Quintiliano Sousa de Arronches-8931.58
287296-Odete Vasques-6885.73
336606-Jorgina Bogalho-7019.32
40972-Basilio Pedroso-12134.02
308033-Emedlia Silvera-4763.35
507848-Judite Damasceno-3809.48
839302-Elisa Themes-21251.69
610159-Nuno Balsemeo-4192.49
420667-Sidfnio Frois-1806.31
154526-Cleusa Goes-11015.75
516747-Odete Vasques-5106.21
307824-Sara Lameiras-9229.08
85147-Carminda Morais-287.61
589900-Tarrataca Soares-8618.02
807468-Dulce Froes-11531.10
710803-Angelica Aranha-18716.18
180009-Honorina Lira-8489.73
265242-Judite Damasceno-2401.00
24565-Nuno Balsemeo-17735.21
195149-Letedcia Gago-3261.91
839126-Edgar Carvalheiro-3457.08
640597-Jussara Varanda-17120.16
15181-Sofras Cuaresma-1476.18
838552-Spnia ou Sonia Guerreiro-19412.07
580693-Oliveira Senchez-1435.31
141924-Antonio Viegas-13532.42
167882-Guida Juca-19754.22
878885-Ximena Castilho-15972.04
838592-Micaela Chavez-19922.28
429362-Lina Andrade-7879.40
111971-Almor Caiado-12637.79
898903-Clara Alcantara-179.36
626511-Tabalipa Duarte-20339.51
598696-Angilica Galante-15713.06
889136-Ubaldo Mainha-19908.87
289511-Esperada Cardoso-16215.45
824021-Telma Villalobos-8442.29
331969-Sofras Cuaresma-17841.08
456218-Ximena Castilho-5654.63
101084-Antonio Castelo-16638.92
453796-Zulmira Becerra-18860.04
514751-Emedlia Silvera-17424.20
591773-Andreia Moita-85.62
802714-Regina Barcellos-10081.61
221121-Guida Juca-13080.50
687168-Tibefarcio Colao-20613.40
395306-Carminda Morais-8446.80
41897-Sidfnio Frois-6545.28
408534-Eurico Siqueira-17309.85
519784-Antonio Castelo-15526.02
570795-Judite Damasceno-4455.72
917045-Joaquim Rufino-9030.87
199133-Lurdes Cotrim-3421.95
432238-Moaci Mendoa-10579.98
3970-Lina Andrade-6967.35
462318-Melinda Roserio-15494.22
981911-Telma Villalobos-6743.34
246982-Esperada Cardoso-468.92
620066-Jonatas Felgueiras-12643.01
972459-Antonio Viegas-20238.21
217170-Lina Andrade-9659.08
982524-Manuel Capiperibe-15018.25
683776-Filomena Barrios-15020.24
947437-Sara Lameiras-8529.73
888556-Zulmira Becerra-11259.77
879916-Emiliana Foquio-169.55
727380-Polibe Olivares-12949.37
