540399-Adelino Barra-1567.16
148150-Quintino Alcantara-1525.60
229281-Manuel Capiperibe-12320.20
810427-Emedlia Silvera-6736.05
534528-Taercio Mafra-15751.75
917864-Micaela Chavez-17555.06
669400-Antonio Viegas-19211.70
125955-Armindo Castalo-5881.43
950814-Liana Cardim-9936.06
559714-Tibefarcio Colao-21081.18
407727-Sofras Cuaresma-3401.75
134828-Emedlio Pimentel-508.39
104359-Emiliana Foquio-6990.69
379421-Cassandra Varejo-10908.79
461208-Odilia Bello-3229.30
300254-Taercio Mafra-1053.64
251771-Gaudancio Fiees-3810.34
866281-Lurdes Cotrim-8241.60
860146-Emiliana Foquio-4936.27
784405-Manuel Capiperibe-12411.86
264797-Telma Villalobos-16615.94
977334-Carminda Morais-42.45
733071-Domingos Pas-2183.50
25357-Carminda Morais-20637.29
923077-Ermelinda Quintela-15927.07
512149-Odilia Bello-5875.23
123295-Angelica Aranha-15607.75
420593-Guida Juca-13831.58
861155-Almor Caiado-16970.18
907289-Daniel Vieyra-8443.19
104303-Clara Alcantara-5441.00
959893-Zungela Ipiranga-9530.77
171265-Emedlio Pimentel-763.27
451347-Fulvio Villegas-12933.52
126918-Augusta Paio-9827.91
216156-Esperada Cardoso-7198.20
185980-Sofras Cuaresma-1124.59
189438-Micaela Chavez-10818.80
352486-Tibofarcio Camacho-20687.41
142290-Clarindo Areosa-19191.65
634915-Andreia Moita-5937.86
238089-Odilia Camello-5802.62
86640-Armanda Amorim-19294.33
284928-Anind Zarco-10454.01
728726-Sofras Cuaresma-11665.28
879241-Antonio Castelo-4682.60
69431-Sofras Cuaresma-12034.46
551068-Andreia Moita-16056.36
190433-Rebeca Neto-3515.04
364025-Flamednia Leiria-821.63
372600-Artur Grillo-20387.98
964605-Quintino Alcantara-14405.52
666430-Lina Andrade-4391.55
178442-Tabalipa Duarte-14004.40
42350-Spnia ou Sonia Guerreiro-20931.69
730287-Filomena Barrios-19625.65
721699-Delfina Perdigon-15961.50
688936-Almor Caiado-4072.18
536241-Mercia Caeira-19264.08
641121-Celeste Duarte-14082.89
427216-Filomena Barrios-18446.61
998830-Joaquim Rufino-16321.42
348560-Angelica Aranha-17238.09
131320-Ermelinda Quintela-485.03
831161-Gaudancio Fiees-470.62
575000-Guida Juca-5547.92
62643-Emiliana Foquio-1440.30
29124-Tabalipa Duarte-10747.20
631179-Delfim Higuera-1337.72
737646-Flor Portella-15374.13
7167-Anfnia Seixas-7623.57
591009-Sara Lameiras-5498.72
243613-Tabalipa Duarte-14802.20
51620-Emedlio Pimentel-11878.68
816309-Silvio Mata-7182.16
750056-Clarindo Areosa-12377.91
281156-Armanda Amorim-10673.70
962690-Tarrataca Soares-14103.99
378430-Angilica Galante-17250.30
202458-Zungela Ipiranga-2152.84
831502-Angelica Aranha-12582.91
638163-Urbano Rodrigues-4503.98
103398-Zulmira Becerra-13796.42
377287-Cassandra Varejo-1902.10
670975-Anind Zarco-4300.26
510461-Flor Portella-20447.76
658736-Delfim Higuera-5545.74
837500-Emiliana Foquio-18505.37
735689-Neeamia Arruda-20449.15
405897-Almor Caiado-9166.34
5596-Jonatas Felgueiras-20214.65
478354-Camila Gabeira-7616.20
823002-Gaudancio Fiees-9167.23
388100-Taercio Mafra-20631.01
337673-Joaquim Rufino-21017.71
502881-Branco Saraba-10797.98
975077-Estanislau Beserra-16994.57
333256-Aludsio Sosa-19572.95
90190-Zungela Ipiranga-7805.47
877060-Aludsio Sosa-4504.69
