593447-Neuza Francia-16382.95
493493-Silvio Mata-6112.34
882444-Neuza Francia-11065.68
488569-Emiliana Foquio-20053.65
302688-Letedcia Gago-7174.09
997760-Liana Cardim-19541.11
791134-Taercio Mafra-4980.43
351875-Mercia Caeira-19431.04
93464-Flor Portella-3.85
571830-Andreia Moita-15094.14
992035-Odilia Camello-3455.24
332455-Odilia Bello-3790.17
740541-Feledcia Peassego-13699.00
534809-Camila Gabeira-15213.88
540995-Celeste Duarte-272.07
418052-Marilda Leio-20412.05
663264-Delfim Higuera-8245.13
631010-Flor Portella-1583.81
307877-Rodolfo Paz-13584.74
982321-Antonio Castelo-21120.46
128378-Tarrataca Soares-16175.55
569151-Lina Andrade-21358.87
760175-Delfina Garcia de Gondim-9401.44
518716-Armanda Amorim-8471.95
674586-Ermelinda Quintela-13387.36
722807-Odilia Camello-2506.70
914223-Urbano Rodrigues-7343.34
631850-Trajano Fagundes-10469.65
486046-Angilica Galante-707.89
725579-Henrique Bento-16787.71
379191-Delfina Perdigon-5134.16
556680-Artur Grillo-3605.02
267893-Trajano Fagundes-18312.62
878921-Regina Barcellos-17372.97
394685-Augusta Paio-20839.71
117874-Almerinda Palmeira-14412.10
562600-Jorgina Bogalho-17631.25
519996-Moaci Mendoa-14002.73
374641-Jonatas Felgueiras-1482.75
703648-Mercia Caeira-1550.01
595199-Lina Andrade-7823.80
557680-Aludsio Sosa-2284.53
407194-Polibe Olivares-10197.21
916987-Branco Saraba-2311.16
138220-Flor Portella-15315.11
95535-Quintino Alcantara-6531.45
239689-Tabalipa Duarte-17847.08
201242-Zungela Ipiranga-14557.44
643908-Letedcia Gago-19721.19
391916-Ubaldo Mainha-3973.39
911235-Clarindo Areosa-9909.34
846595-Sidfnio Frois-10754.92
283499-Telma Villalobos-6394.15
498476-Branco Saraba-6228.49
526593-Romo Paranage-18729.87
558789-Celeste Duarte-14335.99
285167-Armanda Amorim-17028.38
169007-Zungela Ipiranga-12675.56
325807-Rebeca Neto-11747.16
757964-Anind Zarco-14951.08
191059-Tabalipa Duarte-17600.20
520635-Urbano Rodrigues-3353.82
303371-Almor Caiado-18766.66
807162-Ximena Castilho-17726.81
427279-Marilda Leio-17607.24
74761-Basilio Pedroso-17772.82
383834-Angelica Aranha-11160.84
400746-Filomena Barrios-15402.53
678197-Esperada Cardoso-1550.95
590829-Zulmira Becerra-14038.53
842289-Fulvio Villegas-11465.61
27778-Spnia ou Sonia Guerreiro-1655.97
221326-Regina Barcellos-8369.01
830129-Almerinda Palmeira-20327.08
803878-Neuza Francia-18366.52
764441-Cleusa Goes-17802.43
840057-Guaraci Damasceno-3691.43
270415-Delfina Perdigon-15355.44
773109-Carminda Morais-2927.38
992047-Odilia Camello-7603.29
319145-Telma Villalobos-11881.71
698342-Flamednia Leiria-4197.15
459881-Mercia Caeira-16779.37
887262-Andreia Moita-13072.83
511664-Oliveira Carmona-20780.87
892384-Letedcia Gago-15683.68
555508-Oliveira Senchez-12117.24
302555-Tibofarcio Camacho-5635.11
818885-Aludsio Sosa-8912.84
946656-Guaraci Damasceno-12222.76
927481-Dulce Froes-9041.12
468771-Trajano Fagundes-16968.10
123866-Elisa Themes-17882.70
679785-Jussara Varanda-9076.74
460042-Jonatas Felgueiras-8277.02
408269-Zulmira Becerra-11615.94
599226-Adelino Barra-15391.50
449453-Cassandra Varejo-9289.68
359696-Adelino Barra-8713.04
491801-Quintiliano Sousa de Arronches-15212.50
469300-Almerinda Palmeira-21351.78
134483-Camila Gabeira-17121.63
998776-Neuza Francia-4178.03
832561-Dulce Froes-12364.83
949617-Liana Cardim-19059.43
670173-Clarindo Areosa-21153.51
275023-Flamednia Leiria-14974.67
604224-Clarindo Areosa-4214.33
960897-Tabalipa Duarte-4227.92
601798-Lurdes Cotrim-17942.84
35327-Augusta Paio-10012.70
580629-Trajano Fagundes-13794.04
452400-Ermelinda Quintela-12009.19
594168-Moaci Mendoa-21437.52
925899-Telma Villalobos-12202.18
475610-Sara Lameiras-5084.04
619333-Jussara Varanda-15766.79
428929-Regina Barcellos-13418.00
206952-Adelino Barra-3672.77
804993-Polibe Olivares-16918.79
653354-Almerinda Palmeira-954.31
195870-Lina Andrade-7770.11
417663-Ximena Castilho-11384.64
442600-Urbano Rodrigues-8205.74
466818-Armanda Amorim-7310.17
950361-Andreia Moita-16974.92
301496-Neeamia Arruda-5866.28
119451-Manuel Capiperibe-10850.57
886383-Honorina Lira-19742.64
445637-Tibofarcio Camacho-19780.69
289013-Letedcia Gago-4702.38
918515-Jorgina Bogalho-17334.34
468627-Adelino Barra-10373.68
454477-Branco Saraba-9473.27
192273-Ermelinda Quintela-5523.10
664338-Augusta Paio-17582.61
540843-Domingos Pas-2380.79
613165-Clarindo Areosa-17841.98
485527-Cassandra Varejo-3756.01
151530-Antonio Viegas-7300.46
696621-Judite Damasceno-3468.52
188831-Celeste Duarte-2272.87
692436-Almerinda Palmeira-17507.55
659838-Sidfnio Frois-18232.10
717907-Emedlio Pimentel-4409.18
792544-Adelino Barra-9715.83
875711-Manuel Capiperibe-17761.24
586742-Delfim Higuera-1362.53
870917-Polibe Olivares-16887.39
418837-Lurdes Cotrim-3584.07
68199-Melinda Roserio-21321.03
439653-Romo Paranage-6628.08
278126-Rebeca Neto-10225.01
484929-Almerinda Palmeira-546.77
535365-Almerinda Palmeira-7273.95
379901-Tabalipa Duarte-16241.87
517954-Neeamia Arruda-1475.80
218316-Basilio Pedroso-11791.66
149496-Feledcia Peassego-15090.37
681524-Ximena Castilho-9639.72
260037-Delfim Higuera-15220.41
690401-Spnia ou Sonia Guerreiro-15059.97
407483-Emedlio Pimentel-5017.91
396263-Clarindo Areosa-16942.76
111217-Camila Gabeira-17358.11
744619-Anfnia Seixas-11787.08
477159-Antonio Castelo-17812.25
333328-Jonatas Felgueiras-16339.60
958996-Neeamia Arruda-3736.26
323338-Odilia Bello-5233.08
94235-Celeste Duarte-6655.68
1014-Delfina Garcia de Gondim-11472.58
199802-Manuel Capiperibe-481.82
932090-Polibe Olivares-12665.78
825014-Jonatas Felgueiras-1832.06
112832-Emedlio Pimentel-15339.50
620793-Clarindo Areosa-19954.28
191904-Quintino Alcantara-11962.77
445612-Delfina Perdigon-14202.36
252834-Aludsio Sosa-610.76
32406-Neuza Francia-17721.70
368879-Romo Paranage-956.87
701908-Edgar Carvalheiro-21368.87
342322-Urbano Rodrigues-3283.36
258698-Quintino Alcantara-11671.61
19106-Domingos Pas-10857.90
487095-Filomena Barrios-17084.11
180618-Romo Paranage-10351.19
867048-Nuno Balsemeo-2450.81
179529-Ximena Castilho-8473.34
283233-Antonio Castelo-16583.66
987253-Estanislau Beserra-20527.35
432936-Clara Alcantara-13889.53
576820-Ubaldo Mainha-1688.12
298816-Romo Paranage-865.87
742846-Andreia Moita-7306.06
137177-Celeste Duarte-11320.93
475319-Feledcia Peassego-9247.90
606953-Danilo Olaio-17426.57
974723-Ximena Castilho-18118.37
418320-Clara Alcantara-16556.36
64683-Rebeca Neto-19396.24
882123-Ubaldo Mainha-16635.73
103145-Emiliana Foquio-8756.66
659840-Clarindo Areosa-8424.81
893574-Nuno Balsemeo-17472.24
433531-Lurdes Cotrim-8288.78
384152-Celeste Duarte-828.69
453693-Romo Paranage-7054.76
120472-Odete Vasques-19694.51
120969-Gaudancio Fiees-17883.86
3944-Oliveira Carmona-19344.50
138275-Telma Villalobos-3558.49
742222-Danilo Olaio-13369.52
641756-Domingos Pas-9111.28
644631-Elisa Themes-2455.38
253602-Micaela Chavez-4259.72
472115-Basilio Pedroso-10133.56
480788-Cassandra Varejo-8953.26
146670-Adelina Quadros-3169.63
681994-Joaquim Rufino-1256.00
853640-Spnia ou Sonia Guerreiro-19796.04
681566-Gaudancio Fiees-14892.58
82356-Heleedsa Marins-435.17
149182-Ximena Castilho-21061.59
213564-Camila Gabeira-13213.20
18350-Odete Vasques-5670.90
700715-Delfim Higuera-9755.62
252332-Quintiliano Sousa de Arronches-13240.43
796504-Honorina Lira-12077.06
791604-Guaraci Damasceno-2909.04
688656-Esperada Cardoso-2292.74
552344-Letedcia Gago-8149.56
264790-Zulmira Becerra-15640.38
445491-Guaraci Damasceno-12047.04
270640-Delfina Garcia de Gondim-5794.33
117459-Augusta Paio-14354.52
452182-Micaela Chavez-3066.69
142609-Jonatas Felgueiras-15709.21
158787-Branco Saraba-16387.18
653890-Cleusa Goes-3320.26
748889-Oliveira Senchez-15867.14
447728-Eurico Siqueira-8947.83
437737-Armindo Castalo-7595.64
428435-Neuza Francia-3705.26
94282-Tibofarcio Camacho-6387.97
596263-Armindo Castalo-18099.14
187978-Almerinda Palmeira-148.83
857896-Oliveira Senchez-5620.25
570452-Joaquim Rufino-517.00
505021-Emiliana Foquio-9483.54
343597-Daniel Vieyra-12301.03
456172-Liana Cardim-7290.67
40664-Emedlio Pimentel-9345.05
663077-Anind Zarco-18899.33
505297-Neuza Francia-14065.44
780888-Eurico Siqueira-8056.57
508201-Trajano Fagundes-6543.61
420655-Jonatas Felgueiras-19282.19
770582-Leonidas Mafra-16563.06
838135-Almor Caiado-10463.27
447621-Sofras Cuaresma-3891.87
771346-Guaraci Damasceno-20616.43
878006-Zulmira Becerra-4362.00
65094-Sidfnio Frois-13718.63
294454-Joaquim Rufino-17783.69
804022-Tabalipa Duarte-876.66
743962-Almerinda Palmeira-20301.74
82808-Melinda Roserio-14701.11
930464-Domingos Pas-21258.81
994775-Branco Saraba-13412.36
413278-Jorgina Bogalho-15956.84
451215-Armindo Castalo-1809.71
556314-Tarrataca Soares-1393.66
166312-Telma Villalobos-829.47
225996-Eurico Siqueira-3822.42
346000-Quintino Alcantara-16760.46
122588-Nuno Balsemeo-14793.06
776442-Nuno Balsemeo-19543.89
649106-Joaquim Rufino-15158.36
860088-Neeamia Arruda-2153.47
398057-Liana Cardim-11487.60
606610-Urbano Rodrigues-12512.11
490975-Tibofarcio Camacho-12517.68
575464-Edgar Carvalheiro-20849.34
39506-Delfim Higuera-13456.76
388398-Ximena Castilho-4405.38
886677-Rodolfo Paz-1751.77
591599-Odilia Camello-12039.54
407469-Rodolfo Paz-11601.19
621221-Micaela Chavez-16999.79
587342-Danilo Olaio-17223.78
753454-Jussara Varanda-16165.00
890902-Fulvio Villegas-12965.08
877694-Adelina Quadros-11986.00
327978-Almerinda Palmeira-5471.55
19858-Andreia Moita-11205.44
273707-Heleedsa Marins-8589.47
833488-Spnia ou Sonia Guerreiro-17925.38
814713-Dulce Froes-10964.62
631494-Basilio Pedroso-8966.00
794959-Liana Cardim-3867.04
718386-Melinda Roserio-11624.57
885693-Flor Portella-12573.48
820490-Trajano Fagundes-8107.42
689090-Heleedsa Marins-20530.70
266545-Jussara Varanda-10716.06
866150-Esperada Cardoso-16898.80
159551-Odilia Bello-10922.30
923190-Polibe Olivares-12330.44
289822-Angelica Aranha-14806.76
668590-Quintino Alcantara-20504.71
424849-Jonatas Felgueiras-19437.06
714265-Sidfnio Frois-2641.08
995110-Liana Cardim-4109.28
908255-Melinda Roserio-1741.34
460504-Rebeca Neto-8994.00
72959-Adelino Barra-8797.83
148649-Antonio Castelo-2904.59
762822-Silvio Mata-3353.82
355650-Almor Caiado-271.88
548356-Edgar Carvalheiro-10658.57
960986-Zungela Ipiranga-8787.98
830642-Liana Cardim-10825.12
564579-Manuel Capiperibe-8260.23
524138-Jussara Varanda-13079.32
586354-Trajano Fagundes-9279.08
771085-Sofras Cuaresma-8064.98
835686-Delfina Perdigon-18026.46
646349-Melinda Roserio-14139.26
501435-Odilia Bello-7367.98
548790-Odete Vasques-6678.62
583375-Cleusa Goes-15938.23
839926-Telma Villalobos-3821.70
204138-Nuno Balsemeo-4377.35
496500-Jorgina Bogalho-4237.75
922455-Fulvio Villegas-2458.78
264900-Ximena Castilho-9756.49
389985-Henrique Bento-80.01
973615-Quintiliano Sousa de Arronches-5826.48
938979-Judite Damasceno-17851.49
608603-Eurico Siqueira-8012.14
134727-Micaela Chavez-18287.98
458551-Edgar Carvalheiro-3691.54
810693-Quintino Alcantara-9813.58
186263-Moaci Mendoa-19288.54
9868-Anind Zarco-12382.93
742014-Emedlia Silvera-19565.58
972011-Adelina Quadros-6684.65
881213-Artur Grillo-19594.38
716090-Augusta Paio-18698.94
348644-Leonidas Mafra-4270.18
359937-Daniel Vieyra-8441.53
710954-Clara Alcantara-18526.12
715986-Andreia Moita-2399.39
972316-Eurico Siqueira-11271.25
4082-Romo Paranage-15271.35
913990-Odilia Bello-2203.93
989477-Honorina Lira-1608.82
66229-Gaudancio Fiees-10037.63
274243-Odete Vasques-20154.79
664010-Adelina Quadros-17853.44
267968-Jonatas Felgueiras-9812.20
185845-Augusta Paio-11969.31
257567-Mercia Caeira-6671.64
203624-Emiliana Foquio-19771.36
4164-Camila Gabeira-12556.56
130698-Mercia Caeira-8960.87
299070-Edgar Carvalheiro-18740.76
964674-Letedcia Gago-20501.42
68420-Daniel Vieyra-20069.33
581991-Tarrataca Soares-13821.13
113992-Telma Villalobos-9768.98
315500-Ximena Castilho-4726.00
128716-Telma Villalobos-2383.74
397035-Honorina Lira-12555.77
790370-Gaudancio Fiees-11580.98
834940-Dulce Froes-11842.29
272759-Fulvio Villegas-11430.44
592191-Tabalipa Duarte-17030.09
190801-Danilo Olaio-5285.93
268326-Oliveira Carmona-16371.75
206115-Taercio Mafra-11608.06
880457-Lina Andrade-20911.21
485954-Gaudancio Fiees-19857.66
771296-Anind Zarco-10846.80
708799-Emiliana Foquio-5149.86
302545-Antonio Castelo-18038.21
982876-Liana Cardim-8766.10
771973-Edgar Carvalheiro-417.19
703361-Danilo Olaio-3029.10
83987-Marilda Leio-15281.78
94213-Flor Portella-12079.01
518359-Daniel Vieyra-3232.97
25920-Oliveira Senchez-713.00
423518-Lina Andrade-11190.71
398426-Mercia Caeira-11487.80
987512-Moaci Mendoa-14160.82
805124-Polibe Olivares-6695.82
183035-Quintino Alcantara-7833.54
85919-Rodolfo Paz-16600.57
582197-Manuel Capiperibe-10116.57
770212-Leonidas Mafra-2202.68
763956-Marilda Leio-2627.86
395282-Oliveira Carmona-16118.12
309257-Elisa Themes-2107.52
419269-Estanislau Beserra-16101.50
515688-Filomena Barrios-5256.54
949806-Celeste Duarte-2889.76
994382-Daniel Vieyra-20431.59
757961-Esperada Cardoso-10487.61
431342-Filomena Barrios-21293.43
799205-Liana Cardim-4796.30
584015-Emedlio Pimentel-15553.94
666231-Sidfnio Frois-10053.05
48157-Honorina Lira-8151.31
501091-Ubaldo Mainha-20695.50
250182-Joaquim Rufino-9885.82
81625-Sofras Cuaresma-15235.32
10998-Andreia Moita-2560.43
293924-Ximena Castilho-15228.01
150114-Silvio Mata-13317.48
179909-Spnia ou Sonia Guerreiro-12110.64
961168-Fulvio Villegas-2211.64
44956-Tarrataca Soares-8328.31
940841-Telma Villalobos-9698.79
105044-Armanda Amorim-17513.80
419639-Oliveira Carmona-311.46
388492-Telma Villalobos-15202.28
849429-Trajano Fagundes-4457.55
469135-Aludsio Sosa-18860.49
882584-Manuel Capiperibe-10587.16
639270-Daniel Vieyra-11228.96
25757-Anind Zarco-1513.73
322355-Neeamia Arruda-5544.18
924344-Tabalipa Duarte-17963.59
173687-Henrique Bento-19404.64
489651-Ubaldo Mainha-4494.00
387926-Basilio Pedroso-21437.88
334668-Emedlio Pimentel-8701.54
324261-Edgar Carvalheiro-8191.40
631018-Ubaldo Mainha-8920.22
202632-Artur Grillo-10706.62
838310-Judite Damasceno-18346.88
638418-Honorina Lira-4445.26
269187-Eurico Siqueira-529.67
295128-Oliveira Carmona-14751.41
217330-Guaraci Damasceno-3381.47
285977-Melinda Roserio-19255.34
582694-Manuel Capiperibe-13183.86
151182-Urbano Rodrigues-9202.26
769015-Micaela Chavez-1063.73
619010-Jorgina Bogalho-2085.76
881076-Henrique Bento-2904.14
516383-Almerinda Palmeira-5730.53
53534-Henrique Bento-18893.22
982426-Esperada Cardoso-9141.33
891752-Quintiliano Sousa de Arronches-15463.51
201151-Taercio Mafra-16696.37
815467-Rebeca Neto-6567.36
584130-Domingos Pas-11008.87
492626-Zungela Ipiranga-5931.72
939891-Adelino Barra-1923.08
565196-Armanda Amorim-10211.89
877946-Filomena Barrios-10837.05
233200-Antonio Castelo-9342.75
555303-Lina Andrade-2217.74
17941-Spnia ou Sonia Guerreiro-8866.66
627118-Flor Portella-12308.67
803464-Guaraci Damasceno-12506.82
365295-Rodolfo Paz-18162.66
153226-Rodolfo Paz-15992.75
830977-Flor Portella-14917.32
568478-Emedlia Silvera-4168.13
236743-Letedcia Gago-2092.07
957837-Branco Saraba-13134.41
517300-Almor Caiado-16349.96
210260-Filomena Barrios-5015.30
770399-Sofras Cuaresma-3986.74
483696-Ubaldo Mainha-11044.77
932843-Sara Lameiras-17898.42
269024-Adelino Barra-12275.12
293958-Manuel Capiperibe-16713.43
626654-Cassandra Varejo-11824.28
664541-Quintiliano Sousa de Arronches-511.81
407650-Silvio Mata-9981.39
