606085-Neeamia Arruda-9230.46
898982-Tibefarcio Colao-482.02
409434-Adelino Barra-7181.99
377388-Almerinda Palmeira-20992.76
432079-Spnia ou Sonia Guerreiro-509.18
610786-Oliveira Carmona-21469.08
453978-Oliveira Senchez-15900.30
664949-Adelina Quadros-6150.72
169183-Odilia Bello-20440.45
444838-Domingos Pas-6361.31
503281-Anind Zarco-912.54
889350-Lurdes Cotrim-3131.53
504242-Emedlia Silvera-10155.62
331595-Clarindo Areosa-12899.40
178398-Armindo Castalo-19753.72
303237-Romo Paranage-11604.99
486463-Odilia Camello-19589.53
993238-Basilio Pedroso-711.34
930238-Heleedsa Marins-1763.03
750062-Trajano Fagundes-13057.48
948144-Clarindo Areosa-1917.68
192352-Emedlio Pimentel-20926.57
638813-Romo Paranage-18726.78
801000-Neeamia Arruda-8935.26
755676-Emedlio Pimentel-7022.20
628541-Tabalipa Duarte-19305.23
409024-Odete Vasques-20770.10
252249-Almor Caiado-2065.20
167918-Camila Gabeira-5574.50
128567-Cleusa Goes-8732.00
736860-Armanda Amorim-10971.48
598884-Almerinda Palmeira-48.57
129972-Silvio Mata-19394.96
706854-Moaci Mendoa-11768.13
255976-Guida Juca-19635.69
176712-Augusta Paio-557.14
112552-Ximena Castilho-18951.23
1123-Neeamia Arruda-4818.91
540078-Delfim Higuera-7260.59
382249-Guaraci Damasceno-3767.04
972473-Marilda Leio-699.57
330385-Dulce Froes-20445.56
378039-Micaela Chavez-1712.02
103326-Zungela Ipiranga-19079.09
870544-Lurdes Cotrim-21021.65
858093-Melinda Roserio-5818.58
885560-Flor Portella-6549.71
439410-Odilia Camello-21329.72
512879-Odilia Bello-7920.28
36207-Esperada Cardoso-11034.11
275806-Basilio Pedroso-778.99
663470-Dulce Froes-547.46
907901-Branco Saraba-9791.24
164266-Antonio Viegas-4287.44
749917-Rebeca Neto-14446.14
420530-Lina Andrade-4339.89
288295-Taercio Mafra-14748.75
311291-Almor Caiado-2018.30
709064-Filomena Barrios-11163.43
682236-Rebeca Neto-4808.96
875726-Feledcia Peassego-13161.71
510042-Eurico Siqueira-4243.51
216773-Dulce Froes-21052.59
125891-Guida Juca-18559.40
460601-Antonio Viegas-8532.06
993233-Neuza Francia-10606.27
867793-Emedlia Silvera-3864.31
229539-Melinda Roserio-7257.43
563242-Daniel Vieyra-4129.68
958037-Tibefarcio Colao-1741.67
247116-Camila Gabeira-3860.42
952009-Artur Grillo-11185.52
886749-Melinda Roserio-1212.85
978433-Edgar Carvalheiro-18604.11
297681-Branco Saraba-18013.88
747743-Sofras Cuaresma-20463.82
186712-Guida Juca-10297.66
16499-Almerinda Palmeira-15539.95
676516-Odilia Bello-14570.75
679641-Romo Paranage-15310.33
94785-Moaci Mendoa-7317.96
681404-Trajano Fagundes-12847.48
135670-Fulvio Villegas-10971.51
849134-Eurico Siqueira-11481.30
535118-Tabalipa Duarte-18664.28
427188-Nuno Balsemeo-4016.92
945873-Fulvio Villegas-14828.78
895822-Antonio Castelo-1424.11
104676-Odilia Bello-8770.88
281501-Nuno Balsemeo-5082.84
624883-Sidfnio Frois-16643.79
10550-Angilica Galante-13665.76
464895-Sidfnio Frois-392.28
204692-Trajano Fagundes-19350.77
355832-Edgar Carvalheiro-3201.29
927972-Carminda Morais-3425.56
881642-Micaela Chavez-9155.02
117339-Marilda Leio-2779.14
864603-Delfina Perdigon-13030.19
686675-Emedlio Pimentel-1088.17
