948156-Micaela Chavez-19125.98
312075-Clarindo Areosa-18282.80
32360-Micaela Chavez-11381.98
415138-Tibefarcio Colao-9767.23
960301-Daniel Vieyra-3301.10
650586-Tarrataca Soares-1205.25
222145-Joaquim Rufino-6045.13
75843-Almerinda Palmeira-20452.10
344967-Telma Villalobos-19875.15
125182-Clara Alcantara-9546.92
279239-Anfnia Seixas-4591.56
508305-Tarrataca Soares-11314.69
683580-Trajano Fagundes-2730.17
103745-Adelino Barra-5184.32
722890-Rodolfo Paz-11593.93
827615-Zungela Ipiranga-5245.60
663504-Antonio Castelo-8687.82
642956-Regina Barcellos-8938.58
853010-Neuza Francia-16982.03
357900-Cleusa Goes-12718.44
83122-Ermelinda Quintela-13341.23
439183-Daniel Vieyra-7681.48
75173-Quintiliano Sousa de Arronches-15438.32
425718-Augusta Paio-3054.52
15371-Jussara Varanda-3301.75
198253-Silvio Mata-6760.02
422704-Anfnia Seixas-11696.66
159967-Polibe Olivares-18583.09
623799-Manuel Capiperibe-20941.62
119320-Sara Lameiras-3000.36
306744-Tibofarcio Camacho-6.35
650581-Anind Zarco-9610.75
979258-Andreia Moita-7146.66
325135-Guaraci Damasceno-3996.08
619703-Regina Barcellos-9926.24
306910-Delfim Higuera-6763.38
553696-Dulce Froes-17187.61
582206-Telma Villalobos-4294.37
984634-Lina Andrade-10010.61
105949-Domingos Pas-11261.80
71332-Oliveira Carmona-17594.87
676375-Almerinda Palmeira-12126.54
945735-Jussara Varanda-6171.50
46640-Dulce Froes-2459.91
599187-Danilo Olaio-6176.11
326267-Danilo Olaio-7439.18
571847-Romo Paranage-11494.71
483078-Andreia Moita-5555.70
219268-Rebeca Neto-20035.54
633428-Clara Alcantara-7491.77
83458-Lurdes Cotrim-2117.65
168833-Elisa Themes-17254.41
845087-Melinda Roserio-17633.87
187395-Sara Lameiras-18694.33
137826-Aludsio Sosa-2015.49
228104-Tabalipa Duarte-13848.75
656482-Branco Saraba-18004.47
845664-Jussara Varanda-4704.46
988321-Delfina Garcia de Gondim-14006.66
708252-Henrique Bento-2428.15
92074-Jonatas Felgueiras-15918.99
995587-Tarrataca Soares-11535.84
553021-Letedcia Gago-20364.29
776337-Armindo Castalo-6601.33
990672-Lurdes Cotrim-17192.71
815729-Cleusa Goes-19114.99
558417-Silvio Mata-19131.55
288786-Danilo Olaio-12955.17
589042-Silvio Mata-4880.22
960170-Oliveira Senchez-4917.30
508121-Oliveira Senchez-2853.39
336929-Angilica Galante-16283.34
606619-Rebeca Neto-14384.04
779276-Zulmira Becerra-3326.96
901542-Tibofarcio Camacho-7046.87
572603-Eurico Siqueira-10245.03
635079-Odete Vasques-20360.61
660817-Camila Gabeira-5938.66
616543-Silvio Mata-15484.55
270581-Angilica Galante-4609.32
223657-Judite Damasceno-2279.56
108284-Eurico Siqueira-10612.93
576943-Adelina Quadros-3914.16
474723-Ximena Castilho-21291.96
21721-Moaci Mendoa-17016.13
355765-Branco Saraba-14577.02
704957-Sofras Cuaresma-6348.54
725781-Estanislau Beserra-10335.15
263899-Tabalipa Duarte-9766.47
340338-Angilica Galante-18649.18
630645-Zungela Ipiranga-17936.58
775951-Odilia Bello-2072.83
771843-Micaela Chavez-4068.60
171343-Silvio Mata-1338.51
783492-Heleedsa Marins-483.89
566259-Carminda Morais-18697.45
884428-Neuza Francia-10669.66
263713-Silvio Mata-17006.92
509252-Guaraci Damasceno-7714.72
726440-Feledcia Peassego-9148.12
