57610-Delfina Perdigon-1886.81
428062-Gaudancio Fiees-8695.19
736176-Clarindo Areosa-2495.34
612750-Edgar Carvalheiro-6578.83
357545-Odilia Camello-2229.46
661234-Eurico Siqueira-12766.42
595989-Elisa Themes-17572.96
459-Silvio Mata-10184.30
963186-Angelica Aranha-17987.69
607228-Odilia Bello-3993.60
887990-Angelica Aranha-4474.18
488271-Zungela Ipiranga-6608.46
71818-Guaraci Damasceno-2800.99
205593-Jorgina Bogalho-12017.11
641025-Armindo Castalo-4435.85
690399-Sidfnio Frois-8522.46
745791-Marilda Leio-4693.59
778776-Leonidas Mafra-21443.59
591063-Trajano Fagundes-15788.39
781421-Emiliana Foquio-16064.46
990046-Silvio Mata-1498.50
363652-Adelina Quadros-1763.39
772251-Taercio Mafra-16824.11
714698-Silvio Mata-17296.16
56203-Oliveira Senchez-7067.73
827216-Honorina Lira-18524.64
272852-Basilio Pedroso-5637.26
14568-Tibefarcio Colao-14085.05
186426-Angelica Aranha-12126.12
643319-Urbano Rodrigues-2689.10
977005-Regina Barcellos-4749.00
212391-Sidfnio Frois-20192.64
810243-Angelica Aranha-14765.52
506737-Odilia Camello-12437.83
430975-Camila Gabeira-19788.40
940503-Anfnia Seixas-17571.83
696554-Urbano Rodrigues-18554.56
327822-Anind Zarco-18834.71
318414-Silvio Mata-7121.73
180572-Silvio Mata-1403.33
972468-Edgar Carvalheiro-5673.10
647500-Romo Paranage-2930.39
144885-Emedlia Silvera-21258.49
569143-Silvio Mata-20508.72
609517-Trajano Fagundes-12698.19
939735-Neuza Francia-2262.76
250196-Ubaldo Mainha-19199.73
286693-Tibofarcio Camacho-3778.17
344353-Armanda Amorim-20391.35
530591-Andreia Moita-20403.16
110478-Jussara Varanda-19878.05
106762-Urbano Rodrigues-20314.52
883097-Elisa Themes-2001.14
211732-Lina Andrade-3236.83
840071-Manuel Capiperibe-19842.92
824316-Carminda Morais-15937.48
991684-Romo Paranage-10045.15
647731-Mercia Caeira-7803.18
774322-Camila Gabeira-1821.79
590587-Feledcia Peassego-4227.09
739844-Sidfnio Frois-17708.20
199099-Delfim Higuera-4064.43
697095-Jonatas Felgueiras-4963.26
560429-Delfina Garcia de Gondim-13695.38
328541-Neeamia Arruda-21223.78
399703-Ximena Castilho-4387.18
263474-Odilia Camello-2232.26
616408-Flamednia Leiria-11838.74
786327-Branco Saraba-9091.65
607997-Sara Lameiras-1112.72
261990-Rebeca Neto-10780.12
720774-Esperada Cardoso-817.27
664553-Trajano Fagundes-17104.24
721861-Elisa Themes-16475.01
461841-Flor Portella-19438.29
10362-Odete Vasques-17217.46
307159-Emiliana Foquio-12075.25
635133-Rodolfo Paz-1736.58
797328-Henrique Bento-11454.44
621745-Leonidas Mafra-18670.52
671681-Manuel Capiperibe-838.31
57612-Micaela Chavez-20785.52
369950-Augusta Paio-12927.32
524496-Guaraci Damasceno-739.71
732981-Mercia Caeira-8934.32
835478-Ubaldo Mainha-14404.43
139949-Guida Juca-11612.66
187136-Antonio Viegas-10604.18
624769-Zulmira Becerra-19182.15
227171-Emedlio Pimentel-17693.53
101281-Marilda Leio-10365.41
986943-Branco Saraba-14905.99
115960-Polibe Olivares-13904.85
669075-Urbano Rodrigues-12325.26
239422-Leonidas Mafra-2387.75
155542-Emedlia Silvera-5316.11
333489-Clarindo Areosa-4022.67
36737-Flor Portella-739.71
398047-Fulvio Villegas-7305.95
720098-Flamednia Leiria-11338.23
