896362-Neeamia Arruda-4559.61
331647-Manuel Capiperibe-5820.19
150674-Letedcia Gago-4753.45
395243-Neuza Francia-4020.25
940734-Leonidas Mafra-161.32
818147-Emedlio Pimentel-11614.03
180095-Flor Portella-5990.94
325687-Delfim Higuera-20208.71
334503-Clara Alcantara-11222.99
822913-Quintino Alcantara-15376.58
218513-Aludsio Sosa-10710.71
89582-Almor Caiado-5179.19
450845-Liana Cardim-5640.70
591154-Neuza Francia-18124.65
294822-Aludsio Sosa-1319.22
761233-Lurdes Cotrim-6397.40
373521-Edgar Carvalheiro-12849.20
865417-Neuza Francia-15632.46
377697-Jorgina Bogalho-8560.97
328719-Odilia Bello-16199.20
27549-Angelica Aranha-16911.38
687253-Silvio Mata-8847.44
366057-Feledcia Peassego-7987.11
906168-Tibefarcio Colao-10913.02
954837-Quintiliano Sousa de Arronches-7011.14
651693-Anfnia Seixas-17718.75
751554-Tarrataca Soares-5967.65
462139-Jussara Varanda-14936.30
43707-Daniel Vieyra-16300.08
440312-Liana Cardim-3648.53
11436-Angilica Galante-8138.80
653442-Esperada Cardoso-12855.68
214329-Micaela Chavez-2144.50
361122-Zungela Ipiranga-2233.56
489066-Jonatas Felgueiras-17143.11
22543-Ximena Castilho-4084.79
812405-Lina Andrade-17622.31
38746-Tibefarcio Colao-20796.93
510901-Celeste Duarte-12342.53
596078-Neeamia Arruda-3482.10
600838-Moaci Mendoa-9592.21
260045-Neuza Francia-19908.74
179635-Delfina Garcia de Gondim-18136.05
810453-Jonatas Felgueiras-9914.83
743652-Odilia Camello-13369.72
306760-Sara Lameiras-8345.11
744658-Adelina Quadros-1238.39
463570-Jonatas Felgueiras-4898.78
328914-Odete Vasques-13483.89
202035-Zulmira Becerra-14079.85
444356-Manuel Capiperibe-1411.02
567074-Cassandra Varejo-13863.62
257442-Liana Cardim-17335.42
914222-Cassandra Varejo-19813.52
410878-Adelina Quadros-10736.12
251303-Cleusa Goes-18589.19
570839-Aludsio Sosa-18141.80
121039-Sara Lameiras-15361.60
396748-Antonio Castelo-3710.05
925319-Neeamia Arruda-20962.07
663418-Moaci Mendoa-6341.68
138832-Lina Andrade-10937.35
488652-Ermelinda Quintela-4655.09
476263-Cassandra Varejo-11114.23
430083-Angilica Galante-11073.50
388236-Judite Damasceno-201.18
856912-Armanda Amorim-4056.89
164868-Estanislau Beserra-18788.10
350851-Sofras Cuaresma-767.23
442114-Armindo Castalo-5286.48
518384-Almerinda Palmeira-14353.12
213202-Armanda Amorim-16084.51
270262-Neeamia Arruda-8914.56
385551-Ximena Castilho-10979.32
369523-Angilica Galante-10718.78
965830-Cassandra Varejo-27.83
513937-Odilia Camello-8726.40
242149-Branco Saraba-16578.05
646740-Anfnia Seixas-7006.72
56625-Cassandra Varejo-14971.14
190191-Almerinda Palmeira-11601.49
491793-Marilda Leio-19783.62
44857-Rodolfo Paz-10431.48
106827-Anfnia Seixas-880.50
591924-Daniel Vieyra-10944.20
943731-Quintiliano Sousa de Arronches-8409.02
413551-Feledcia Peassego-11864.16
88576-Danilo Olaio-17976.58
573493-Manuel Capiperibe-20633.05
781402-Melinda Roserio-2068.78
637623-Honorina Lira-4720.68
321925-Tibofarcio Camacho-13455.60
973140-Gaudancio Fiees-17736.05
79921-Joaquim Rufino-742.28
634883-Rodolfo Paz-16538.20
68108-Fulvio Villegas-11772.80
800538-Taercio Mafra-8122.10
656379-Flor Portella-9642.98
349557-Emedlia Silvera-13648.72
198219-Honorina Lira-20906.53
