630466-Jorgina Bogalho-6645.34
201383-Tibefarcio Colao-15075.43
487165-Odete Vasques-9116.48
994333-Emedlio Pimentel-5209.06
556334-Emedlio Pimentel-6596.32
713007-Quintiliano Sousa de Arronches-6346.94
496335-Armindo Castalo-2949.62
801815-Almor Caiado-10872.77
884626-Augusta Paio-7432.94
264997-Dulce Froes-15793.80
609094-Honorina Lira-21230.11
194400-Rebeca Neto-8317.29
117844-Henrique Bento-20362.16
838916-Silvio Mata-2427.26
459804-Antonio Viegas-19752.83
631341-Angelica Aranha-20519.96
976070-Rodolfo Paz-7290.08
61836-Camila Gabeira-9958.10
488039-Aludsio Sosa-14526.95
225206-Jorgina Bogalho-4154.76
248337-Mercia Caeira-16590.85
321540-Micaela Chavez-2517.96
938020-Rodolfo Paz-4739.14
719122-Domingos Pas-1882.69
922860-Micaela Chavez-17097.29
241871-Anind Zarco-12338.77
771329-Esperada Cardoso-4323.69
262662-Dulce Froes-4394.31
31080-Almerinda Palmeira-9059.19
609836-Nuno Balsemeo-9531.44
85341-Sidfnio Frois-19.09
571709-Zungela Ipiranga-8642.30
303026-Leonidas Mafra-7526.85
766459-Sofras Cuaresma-5789.20
956341-Neuza Francia-8638.43
945359-Fulvio Villegas-1196.01
446519-Tibefarcio Colao-11283.73
956157-Oliveira Senchez-20376.35
792440-Ximena Castilho-17871.83
323642-Quintiliano Sousa de Arronches-11203.09
331112-Ubaldo Mainha-16163.94
456648-Judite Damasceno-11034.82
861947-Emedlio Pimentel-4133.02
697557-Feledcia Peassego-15820.68
802394-Angelica Aranha-5575.41
636263-Taercio Mafra-14624.86
863208-Marilda Leio-20539.33
459300-Taercio Mafra-9134.05
2727-Letedcia Gago-11841.98
465176-Jonatas Felgueiras-240.38
71853-Heleedsa Marins-21433.69
103801-Honorina Lira-6113.42
849855-Sidfnio Frois-21222.04
313443-Cleusa Goes-7074.18
180984-Anfnia Seixas-8502.20
408042-Almerinda Palmeira-21128.56
236488-Micaela Chavez-14342.36
437651-Esperada Cardoso-13942.12
790545-Zulmira Becerra-2847.31
842602-Jorgina Bogalho-11591.96
720011-Odete Vasques-6757.84
508112-Telma Villalobos-9838.88
262264-Letedcia Gago-8002.54
350900-Rodolfo Paz-8775.67
991424-Zungela Ipiranga-17947.49
205585-Elisa Themes-1206.73
389687-Danilo Olaio-2699.09
539305-Odilia Bello-12233.47
94243-Flor Portella-7236.54
363293-Trajano Fagundes-5580.13
670098-Zungela Ipiranga-18467.33
862122-Judite Damasceno-19112.41
396012-Basilio Pedroso-18550.20
650069-Odilia Camello-20913.71
321850-Augusta Paio-20548.78
730102-Adelina Quadros-1556.00
511087-Odilia Camello-35.06
528013-Ximena Castilho-15050.46
272885-Odete Vasques-12786.56
748430-Guida Juca-5085.36
936175-Spnia ou Sonia Guerreiro-13662.06
907974-Estanislau Beserra-17000.68
767628-Angilica Galante-21214.64
397696-Oliveira Senchez-4576.30
111621-Carminda Morais-17109.52
574037-Heleedsa Marins-2891.99
709337-Camila Gabeira-4527.10
754010-Tibefarcio Colao-14882.38
662059-Armindo Castalo-4950.27
224031-Delfim Higuera-20527.76
315231-Tibefarcio Colao-8782.28
139318-Rebeca Neto-19421.36
720758-Rebeca Neto-19334.20
838165-Guida Juca-16523.34
842441-Carminda Morais-19764.46
241360-Trajano Fagundes-4055.36
756861-Jorgina Bogalho-13552.45
262279-Rebeca Neto-8005.16
813271-Tibofarcio Camacho-21121.78
53136-Sidfnio Frois-17189.18
