851471-Tibofarcio Camacho-1160.94
524130-Danilo Olaio-4999.06
839432-Edgar Carvalheiro-7848.89
965186-Romo Paranage-9934.45
938853-Emiliana Foquio-16874.74
794152-Urbano Rodrigues-9829.33
870379-Silvio Mata-4662.27
214721-Polibe Olivares-4579.56
734835-Lurdes Cotrim-10645.18
279107-Oliveira Carmona-12076.00
612757-Romo Paranage-17364.51
103800-Marilda Leio-15564.92
199678-Oliveira Senchez-9678.48
845911-Mercia Caeira-5893.29
485245-Angelica Aranha-16272.68
941132-Cleusa Goes-10085.79
22928-Basilio Pedroso-2959.65
302614-Liana Cardim-856.96
109242-Jussara Varanda-6854.31
330003-Moaci Mendoa-8617.10
371729-Guida Juca-5738.39
507663-Armindo Castalo-19099.43
549879-Anfnia Seixas-20481.43
481354-Flor Portella-8365.05
373873-Sofras Cuaresma-13689.90
740480-Quintiliano Sousa de Arronches-16449.32
556704-Jorgina Bogalho-774.71
116673-Henrique Bento-19937.73
115932-Romo Paranage-8013.99
149939-Celeste Duarte-7982.45
300258-Clara Alcantara-641.33
902006-Clarindo Areosa-8626.41
512019-Almerinda Palmeira-15461.91
969729-Trajano Fagundes-7521.89
273025-Rodolfo Paz-16215.63
360762-Heleedsa Marins-15468.19
27092-Ximena Castilho-15108.93
658745-Antonio Castelo-19800.09
986796-Carminda Morais-12646.41
262430-Domingos Pas-4293.08
732052-Clara Alcantara-6816.08
73826-Quintiliano Sousa de Arronches-16105.10
358849-Melinda Roserio-4775.38
303151-Letedcia Gago-3980.24
752644-Odete Vasques-19612.97
708925-Nuno Balsemeo-3521.75
113126-Daniel Vieyra-8742.02
988175-Jorgina Bogalho-16758.61
636686-Armindo Castalo-6953.64
716957-Melinda Roserio-7656.26
526287-Danilo Olaio-6008.74
985461-Filomena Barrios-7749.48
85791-Rodolfo Paz-10503.07
377155-Henrique Bento-13276.10
373612-Urbano Rodrigues-2958.79
449035-Aludsio Sosa-14715.88
343905-Andreia Moita-572.18
163982-Almor Caiado-4252.06
993235-Ximena Castilho-2743.59
463948-Odilia Camello-4060.76
758765-Almerinda Palmeira-16186.02
177943-Jonatas Felgueiras-18285.88
590785-Armanda Amorim-18986.73
574718-Carminda Morais-12275.67
66768-Nuno Balsemeo-5674.57
372664-Guaraci Damasceno-15399.06
369521-Almor Caiado-13967.66
568078-Silvio Mata-16489.30
627081-Jussara Varanda-21289.23
566030-Romo Paranage-19539.04
647355-Heleedsa Marins-15531.79
86757-Quintiliano Sousa de Arronches-16083.57
990766-Flor Portella-15824.64
718230-Nuno Balsemeo-19530.39
55949-Anind Zarco-9706.22
272919-Elisa Themes-5965.11
594419-Basilio Pedroso-11828.80
133574-Domingos Pas-14564.48
878560-Dulce Froes-9455.92
982415-Edgar Carvalheiro-3456.74
162098-Honorina Lira-4223.21
976599-Armanda Amorim-17764.08
378676-Liana Cardim-8879.15
970472-Polibe Olivares-9546.34
129142-Armindo Castalo-11566.90
261002-Augusta Paio-17899.62
298735-Telma Villalobos-310.73
618952-Tibofarcio Camacho-2322.07
385634-Quintiliano Sousa de Arronches-6710.85
592017-Trajano Fagundes-16220.68
218401-Micaela Chavez-13437.46
23552-Gaudancio Fiees-14547.23
218117-Trajano Fagundes-16361.01
876528-Clara Alcantara-16390.72
89856-Guida Juca-5437.17
924869-Fulvio Villegas-10649.78
786937-Manuel Capiperibe-4477.94
529227-Joaquim Rufino-889.29
236171-Jussara Varanda-16373.14
534848-Celeste Duarte-7794.23
