864609-Edgar Carvalheiro-14111.77
887548-Clara Alcantara-15344.84
243273-Zulmira Becerra-876.06
523099-Delfina Perdigon-19117.31
164761-Liana Cardim-4059.12
822770-Guaraci Damasceno-4910.13
651682-Manuel Capiperibe-3753.38
683059-Delfina Garcia de Gondim-15274.55
544991-Artur Grillo-176.39
282696-Filomena Barrios-2376.44
400667-Armanda Amorim-16175.09
670199-Antonio Viegas-17343.96
182873-Gaudancio Fiees-17536.39
441771-Lurdes Cotrim-13696.79
859552-Basilio Pedroso-7513.60
33064-Emedlio Pimentel-5706.99
954363-Elisa Themes-5298.67
651525-Andreia Moita-13895.50
638354-Domingos Pas-13646.12
363920-Lina Andrade-21388.94
462862-Honorina Lira-9688.11
255127-Telma Villalobos-3809.98
48089-Almerinda Palmeira-13031.81
447388-Moaci Mendoa-5621.39
578149-Telma Villalobos-10709.98
136917-Ermelinda Quintela-15730.31
708805-Camila Gabeira-15739.86
618538-Antonio Viegas-7851.54
499295-Fulvio Villegas-1593.08
18677-Quintiliano Sousa de Arronches-12996.72
182089-Oliveira Senchez-8746.52
370492-Daniel Vieyra-2954.23
955082-Zungela Ipiranga-10964.71
695485-Fulvio Villegas-12179.18
147503-Urbano Rodrigues-4240.13
443193-Leonidas Mafra-12681.50
438031-Emedlio Pimentel-20938.59
816401-Eurico Siqueira-11289.94
261364-Adelino Barra-20484.93
317909-Dulce Froes-5750.28
785086-Delfim Higuera-12412.10
579914-Henrique Bento-13695.81
372591-Manuel Capiperibe-5470.52
345990-Augusta Paio-5272.64
974588-Basilio Pedroso-5324.11
601584-Spnia ou Sonia Guerreiro-13138.54
776394-Manuel Capiperibe-12948.09
937031-Polibe Olivares-10051.42
767723-Esperada Cardoso-18344.03
906824-Quintiliano Sousa de Arronches-8522.37
234607-Letedcia Gago-1975.39
213934-Domingos Pas-8391.19
616284-Silvio Mata-10104.91
6099-Quintino Alcantara-20148.37
314414-Oliveira Carmona-1193.28
152082-Augusta Paio-6899.30
139669-Spnia ou Sonia Guerreiro-10047.06
502332-Melinda Roserio-4901.59
858608-Angelica Aranha-20789.27
740498-Letedcia Gago-16353.50
650327-Gaudancio Fiees-4591.01
770185-Almerinda Palmeira-15723.15
986915-Urbano Rodrigues-9754.48
255601-Elisa Themes-19124.54
304432-Leonidas Mafra-13062.85
764558-Mercia Caeira-17284.37
79173-Clarindo Areosa-1520.93
719012-Anfnia Seixas-8185.95
500476-Odete Vasques-5619.70
717634-Anfnia Seixas-14307.11
655691-Judite Damasceno-18523.61
648790-Silvio Mata-9206.48
760492-Almor Caiado-51.51
879740-Nuno Balsemeo-18004.06
352526-Aludsio Sosa-3912.27
637084-Cassandra Varejo-6049.92
367704-Andreia Moita-16080.71
320779-Clarindo Areosa-4003.06
916988-Adelino Barra-1343.23
473111-Delfina Perdigon-4970.41
379620-Sofras Cuaresma-1932.13
903827-Danilo Olaio-15678.62
743313-Emedlia Silvera-11651.38
547068-Ximena Castilho-21430.18
321191-Tibofarcio Camacho-738.87
380095-Ubaldo Mainha-15195.24
392215-Cassandra Varejo-7274.08
497220-Anfnia Seixas-8497.29
713795-Quintino Alcantara-2291.62
384196-Domingos Pas-9446.35
797978-Danilo Olaio-3365.31
572763-Marilda Leio-10114.35
511442-Trajano Fagundes-2466.95
600929-Augusta Paio-11652.42
96826-Marilda Leio-13845.63
336269-Guaraci Damasceno-634.60
567464-Emedlio Pimentel-10778.52
385936-Jussara Varanda-2848.65
510697-Marilda Leio-6505.79
958575-Sara Lameiras-5894.80
