300488-Oliveira Carmona-181.14
55440-Adelina Quadros-4912.12
58530-Guida Juca-17485.51
707669-Quintiliano Sousa de Arronches-14434.96
888280-Flor Portella-6196.45
322302-Nuno Balsemeo-1219.97
851130-Rebeca Neto-4587.42
947697-Urbano Rodrigues-4283.46
461618-Zulmira Becerra-20588.51
582927-Micaela Chavez-8964.78
941865-Clara Alcantara-14157.79
193091-Jonatas Felgueiras-10533.50
290691-Odete Vasques-19064.09
690839-Armanda Amorim-3176.33
989917-Emedlia Silvera-9845.21
483513-Edgar Carvalheiro-17268.44
610184-Tabalipa Duarte-8552.11
975815-Adelina Quadros-5296.75
871311-Regina Barcellos-13001.37
606661-Filomena Barrios-14597.20
94627-Flor Portella-7881.78
696749-Esperada Cardoso-12363.71
511206-Antonio Viegas-4521.78
393177-Jussara Varanda-21378.69
287341-Delfina Perdigon-17783.75
826076-Jonatas Felgueiras-3333.75
362309-Artur Grillo-20409.85
640697-Odilia Camello-314.77
781649-Zulmira Becerra-20663.49
773930-Almerinda Palmeira-20859.55
760724-Odete Vasques-805.66
42521-Sara Lameiras-3632.63
674759-Silvio Mata-12777.74
232322-Rodolfo Paz-2776.84
422877-Flor Portella-9539.71
651058-Celeste Duarte-17787.97
722815-Emiliana Foquio-7266.76
521981-Manuel Capiperibe-4038.33
996255-Jorgina Bogalho-12386.15
607253-Angelica Aranha-9949.05
970608-Sofras Cuaresma-5691.82
995479-Artur Grillo-13772.24
907663-Adelino Barra-1774.16
514201-Micaela Chavez-10236.48
989582-Nuno Balsemeo-20860.71
872779-Aludsio Sosa-542.38
614600-Gaudancio Fiees-9499.61
857935-Telma Villalobos-13334.83
94949-Dulce Froes-17344.79
680603-Angelica Aranha-13056.03
254261-Andreia Moita-15065.73
877846-Quintino Alcantara-9780.85
764461-Antonio Viegas-9565.09
458014-Melinda Roserio-18940.23
318980-Guaraci Damasceno-16335.29
151050-Tarrataca Soares-19534.02
813006-Gaudancio Fiees-10395.33
150805-Ermelinda Quintela-9329.07
321495-Romo Paranage-16650.02
623078-Elisa Themes-10071.99
829484-Eurico Siqueira-10454.54
217789-Dulce Froes-18603.31
346867-Sidfnio Frois-16676.12
891477-Tibofarcio Camacho-17450.70
600293-Elisa Themes-2229.06
379841-Jorgina Bogalho-2025.73
913882-Oliveira Carmona-13153.86
408881-Emiliana Foquio-21405.37
386818-Tibefarcio Colao-9343.75
876652-Jonatas Felgueiras-10829.98
969286-Domingos Pas-14338.27
151678-Almerinda Palmeira-4085.61
419309-Spnia ou Sonia Guerreiro-15319.08
196194-Silvio Mata-6863.16
29237-Moaci Mendoa-10429.16
391670-Guida Juca-3928.12
672624-Tabalipa Duarte-9377.26
3050-Emiliana Foquio-14801.35
240885-Oliveira Carmona-12060.38
997429-Fulvio Villegas-18499.15
953285-Guaraci Damasceno-4224.01
879067-Tibofarcio Camacho-5775.52
652621-Jussara Varanda-11459.72
38408-Urbano Rodrigues-9366.84
527147-Romo Paranage-18437.13
405113-Antonio Viegas-12056.21
372413-Odilia Bello-9758.10
725701-Marilda Leio-463.30
132135-Polibe Olivares-14975.71
913210-Feledcia Peassego-5520.85
208355-Trajano Fagundes-3645.54
847054-Clarindo Areosa-19804.33
47098-Artur Grillo-8176.02
671705-Adelina Quadros-6911.57
612353-Oliveira Senchez-11986.84
469335-Odilia Bello-4156.06
655197-Taercio Mafra-6919.78
567469-Camila Gabeira-11957.04
615032-Rebeca Neto-19198.36
733760-Neeamia Arruda-16512.65
