125342-Celeste Duarte-1360.52
755439-Zulmira Becerra-1402.61
798109-Angilica Galante-1209.33
503585-Emedlia Silvera-10840.92
761292-Tarrataca Soares-11676.15
543605-Moaci Mendoa-19579.59
261807-Sara Lameiras-21342.52
269833-Cassandra Varejo-7765.78
794984-Emiliana Foquio-7452.89
118027-Manuel Capiperibe-7728.85
986351-Dulce Froes-12080.10
30973-Antonio Viegas-17207.66
448771-Ermelinda Quintela-550.80
508730-Spnia ou Sonia Guerreiro-18245.84
468966-Delfina Garcia de Gondim-10558.62
168407-Zungela Ipiranga-2829.22
337973-Tibofarcio Camacho-2427.00
278609-Rodolfo Paz-2989.70
124329-Lurdes Cotrim-1322.81
722416-Eurico Siqueira-18653.99
777278-Anfnia Seixas-10909.02
400061-Nuno Balsemeo-4634.49
767472-Eurico Siqueira-914.14
67409-Guaraci Damasceno-5859.23
975448-Zulmira Becerra-14693.92
498876-Jussara Varanda-1720.77
497376-Odete Vasques-13484.14
780219-Cassandra Varejo-16986.93
125000-Andreia Moita-15983.34
274713-Neeamia Arruda-11275.73
309553-Sidfnio Frois-8648.66
871215-Quintiliano Sousa de Arronches-9462.66
715137-Feledcia Peassego-15120.34
639430-Emedlia Silvera-5356.17
147677-Guida Juca-12485.93
33876-Mercia Caeira-5236.08
841631-Lina Andrade-3186.22
865454-Artur Grillo-6204.02
342474-Henrique Bento-580.43
616731-Adelino Barra-15243.18
289900-Emedlia Silvera-14971.44
381036-Quintino Alcantara-11845.32
921113-Fulvio Villegas-1597.63
875254-Celeste Duarte-6254.03
752190-Zulmira Becerra-1110.67
53590-Joaquim Rufino-18201.00
915157-Elisa Themes-17404.58
191218-Emiliana Foquio-1148.40
193084-Tabalipa Duarte-15371.83
528734-Angilica Galante-18447.99
953288-Dulce Froes-7556.06
244023-Odete Vasques-15079.87
317353-Adelina Quadros-2704.24
424398-Antonio Castelo-14292.99
665271-Zungela Ipiranga-12755.68
499070-Basilio Pedroso-12786.22
457374-Marilda Leio-16105.37
521207-Neeamia Arruda-14722.44
503494-Urbano Rodrigues-4149.54
529234-Angilica Galante-369.99
389493-Branco Saraba-14659.52
393824-Basilio Pedroso-12717.12
446147-Delfina Perdigon-4005.46
261599-Guida Juca-3644.87
479610-Anfnia Seixas-16991.52
280562-Anind Zarco-13581.68
181978-Basilio Pedroso-20126.25
58193-Ubaldo Mainha-18336.62
774662-Leonidas Mafra-14416.82
673859-Angilica Galante-8947.28
405218-Fulvio Villegas-17171.18
742287-Anfnia Seixas-11110.28
582456-Delfim Higuera-2609.90
330485-Taercio Mafra-14742.52
410685-Sofras Cuaresma-10812.48
58894-Zulmira Becerra-13405.28
845054-Sofras Cuaresma-19247.10
167970-Edgar Carvalheiro-2792.85
251565-Odilia Bello-8140.60
288923-Honorina Lira-7712.50
325131-Clara Alcantara-19956.55
829828-Camila Gabeira-9479.14
563389-Artur Grillo-12834.96
843168-Lurdes Cotrim-11253.43
609915-Camila Gabeira-19027.54
528900-Telma Villalobos-5963.29
648251-Estanislau Beserra-6321.74
392636-Romo Paranage-14733.42
315968-Tabalipa Duarte-2971.10
438093-Jonatas Felgueiras-18133.99
288244-Flamednia Leiria-17642.40
772266-Branco Saraba-16155.86
800337-Zungela Ipiranga-4916.66
302251-Moaci Mendoa-9405.09
88664-Nuno Balsemeo-11791.19
606482-Neuza Francia-7591.64
685324-Odilia Bello-10388.13
474464-Taercio Mafra-18832.05
64798-Emiliana Foquio-8310.38
198286-Henrique Bento-14714.76
