25143-Artur Grillo-12517.80
540400-Joaquim Rufino-5453.49
899242-Sofras Cuaresma-18853.75
605644-Clarindo Areosa-20039.91
219210-Neeamia Arruda-14677.90
82351-Anfnia Seixas-20458.08
243629-Antonio Viegas-19506.60
60927-Emedlio Pimentel-18449.88
232862-Guida Juca-21242.15
608696-Lina Andrade-16316.59
799229-Polibe Olivares-17696.84
973896-Domingos Pas-19962.24
807348-Andreia Moita-9586.40
811686-Regina Barcellos-20662.46
575261-Marilda Leio-12329.81
657930-Odete Vasques-13470.63
512191-Esperada Cardoso-9248.23
782302-Filomena Barrios-21238.84
984990-Delfim Higuera-2896.33
320939-Flamednia Leiria-12972.42
401751-Almor Caiado-8645.58
779180-Marilda Leio-19575.32
988810-Moaci Mendoa-16248.55
605968-Melinda Roserio-11161.83
214048-Daniel Vieyra-18867.59
645163-Esperada Cardoso-15959.33
883934-Regina Barcellos-20664.45
299373-Adelino Barra-8137.44
219567-Sofras Cuaresma-10807.29
871146-Branco Saraba-9235.66
181390-Quintino Alcantara-4314.84
208145-Tabalipa Duarte-8562.63
459109-Zulmira Becerra-5957.69
866227-Taercio Mafra-15353.75
35143-Almor Caiado-13841.05
185069-Taercio Mafra-16097.50
914707-Quintiliano Sousa de Arronches-21106.34
984039-Manuel Capiperibe-5424.50
937640-Telma Villalobos-8976.69
41077-Jonatas Felgueiras-10055.40
386694-Danilo Olaio-3502.38
290073-Delfina Garcia de Gondim-7014.46
757813-Feledcia Peassego-19079.05
80911-Odilia Camello-6332.88
103757-Judite Damasceno-10913.23
885260-Henrique Bento-2200.25
632406-Regina Barcellos-15139.39
824684-Sidfnio Frois-16029.23
277098-Angilica Galante-4633.77
458288-Cleusa Goes-5324.18
721897-Sidfnio Frois-9598.05
469675-Feledcia Peassego-4626.11
480804-Angilica Galante-9983.69
260445-Adelina Quadros-20444.50
447270-Emedlio Pimentel-4220.70
222624-Gaudancio Fiees-1654.72
780726-Antonio Viegas-7231.04
489159-Moaci Mendoa-20139.29
647295-Manuel Capiperibe-5567.23
474702-Emedlia Silvera-17271.81
358878-Jussara Varanda-64.19
481214-Guida Juca-1208.89
49855-Angelica Aranha-7793.69
40262-Oliveira Senchez-4301.46
318662-Adelino Barra-6085.94
436551-Estanislau Beserra-5513.33
578997-Sidfnio Frois-18681.13
177059-Melinda Roserio-2271.19
214777-Flamednia Leiria-4657.66
113439-Marilda Leio-13342.41
946827-Rebeca Neto-16906.00
101634-Odete Vasques-18850.81
351583-Carminda Morais-4716.47
487189-Armanda Amorim-15056.87
589365-Polibe Olivares-13255.22
278218-Basilio Pedroso-10224.75
922658-Emiliana Foquio-8165.71
187794-Armanda Amorim-742.64
381958-Emedlio Pimentel-3984.79
814954-Antonio Castelo-1051.09
945069-Basilio Pedroso-18740.55
977848-Emedlia Silvera-2226.73
415672-Antonio Viegas-20560.25
222991-Adelina Quadros-19300.29
176604-Joaquim Rufino-18891.34
240132-Liana Cardim-2079.29
636200-Marilda Leio-13468.51
661886-Quintino Alcantara-17340.39
289998-Odete Vasques-12359.38
200535-Jonatas Felgueiras-4092.69
868198-Carminda Morais-9812.14
135514-Branco Saraba-8107.08
516401-Henrique Bento-186.40
28012-Daniel Vieyra-15318.63
743312-Basilio Pedroso-14855.56
497316-Danilo Olaio-4883.13
242927-Gaudancio Fiees-12389.49
42790-Lina Andrade-13106.11
623020-Elisa Themes-9304.17
682044-Antonio Castelo-5641.34
849652-Antonio Castelo-15460.02
589023-Liana Cardim-12716.54
1793-Dulce Froes-16261.70
439543-Gaudancio Fiees-9337.15
938520-Camila Gabeira-6999.74
88089-Celeste Duarte-1029.88
166467-Quintiliano Sousa de Arronches-1652.31
96314-Mercia Caeira-17032.74
581774-Liana Cardim-4964.13
521159-Spnia ou Sonia Guerreiro-12380.95
729423-Melinda Roserio-18859.45
151634-Jonatas Felgueiras-190.50
798345-Adelino Barra-1550.52
85228-Leonidas Mafra-550.08
751626-Dulce Froes-16489.46
974144-Cassandra Varejo-3835.51
509266-Emedlio Pimentel-7617.17
509543-Taercio Mafra-19828.14
636862-Odilia Bello-14859.12
181221-Ubaldo Mainha-5069.49
859508-Celeste Duarte-16026.79
56273-Odete Vasques-14593.47
423381-Artur Grillo-8876.61
960882-Jorgina Bogalho-20537.47
729492-Melinda Roserio-470.15
472523-Melinda Roserio-6479.89
719995-Sara Lameiras-500.14
682131-Branco Saraba-16395.24
434425-Daniel Vieyra-2846.77
599897-Urbano Rodrigues-12108.58
376944-Estanislau Beserra-6872.34
615218-Carminda Morais-2598.07
903741-Fulvio Villegas-12002.30
727956-Henrique Bento-8397.07
76461-Romo Paranage-1119.53
887777-Antonio Castelo-18644.26
249993-Andreia Moita-19051.46
329576-Flamednia Leiria-3993.44
739193-Gaudancio Fiees-11977.79
576970-Carminda Morais-5018.95
364067-Jorgina Bogalho-16972.72
346258-Marilda Leio-2274.04
675177-Almor Caiado-4063.07
181874-Delfina Garcia de Gondim-2415.52
951577-Gaudancio Fiees-19356.28
735911-Silvio Mata-6950.32
509022-Oliveira Carmona-11982.82
296528-Flor Portella-20596.12
124323-Tabalipa Duarte-9668.67
629269-Rodolfo Paz-15534.44
992589-Nuno Balsemeo-313.25
106494-Quintino Alcantara-1506.71
27257-Delfim Higuera-12233.46
694612-Sidfnio Frois-19895.28
69441-Judite Damasceno-2079.96
397587-Jorgina Bogalho-2207.32
667925-Trajano Fagundes-5282.41
600451-Lurdes Cotrim-11805.37
877296-Oliveira Senchez-16696.62
932884-Anind Zarco-1328.07
399817-Liana Cardim-20758.00
655039-Neeamia Arruda-17434.23
797417-Anind Zarco-15429.66
763396-Celeste Duarte-5271.77
280932-Armanda Amorim-16832.47
942838-Artur Grillo-8281.61
636891-Esperada Cardoso-19738.29
129436-Flamednia Leiria-5829.45
750050-Nuno Balsemeo-13498.23
237925-Mercia Caeira-11772.72
686385-Andreia Moita-5671.88
459497-Tarrataca Soares-12168.43
903518-Dulce Froes-12061.57
209978-Tarrataca Soares-9414.37
44399-Emedlio Pimentel-6642.34
391063-Oliveira Carmona-1626.93
953177-Ermelinda Quintela-1318.46
272468-Joaquim Rufino-17699.76
645463-Augusta Paio-6942.42
680133-Manuel Capiperibe-189.97
522101-Quintino Alcantara-12976.83
196658-Silvio Mata-2666.59
293948-Antonio Castelo-13715.62
873931-Emedlio Pimentel-15407.72
631220-Taercio Mafra-6163.33
635256-Flamednia Leiria-9537.24
832682-Emedlia Silvera-6261.94
858719-Augusta Paio-1619.82
830172-Zulmira Becerra-7416.28
140687-Angelica Aranha-18873.08
239502-Zungela Ipiranga-15843.46
526432-Filomena Barrios-19085.43
656518-Judite Damasceno-3083.53
459881-Fulvio Villegas-4742.27
216270-Emedlia Silvera-7858.59
690264-Tabalipa Duarte-7790.10
373759-Clarindo Areosa-12818.43
903646-Danilo Olaio-21207.02
925714-Tibefarcio Colao-17310.48
190012-Flor Portella-14627.05
450818-Guida Juca-3454.61
910869-Antonio Castelo-10939.88
513311-Clara Alcantara-6301.60
710718-Melinda Roserio-1601.37
680363-Danilo Olaio-6253.53
982998-Guida Juca-5425.59
526038-Adelina Quadros-744.50
262662-Cleusa Goes-15003.53
498040-Odete Vasques-1477.95
844933-Leonidas Mafra-10059.85
532529-Guaraci Damasceno-19464.36
566577-Neeamia Arruda-21193.47
660089-Armindo Castalo-17913.77
107011-Esperada Cardoso-1866.04
781276-Emiliana Foquio-9932.84
830454-Gaudancio Fiees-5327.83
889803-Neeamia Arruda-19063.09
308355-Tibofarcio Camacho-14450.88
944831-Delfim Higuera-14585.87
629403-Delfim Higuera-5409.48
51813-Trajano Fagundes-5794.80
418861-Rodolfo Paz-10110.47
289682-Edgar Carvalheiro-15967.07
320795-Adelino Barra-4973.30
488433-Sofras Cuaresma-3346.28
525219-Mercia Caeira-18944.58
121417-Estanislau Beserra-16608.64
167139-Danilo Olaio-9156.89
566030-Adelino Barra-17796.34
276510-Armindo Castalo-16887.80
972237-Almerinda Palmeira-21058.32
620383-Neuza Francia-12287.67
131816-Polibe Olivares-1515.73
536200-Ubaldo Mainha-16518.94
544253-Filomena Barrios-15948.98
836338-Ubaldo Mainha-6059.40
428157-Aludsio Sosa-13750.62
329396-Cassandra Varejo-18292.29
835422-Augusta Paio-13213.11
444275-Camila Gabeira-21465.88
888-Emiliana Foquio-10160.76
554142-Marilda Leio-20236.96
154263-Oliveira Carmona-8463.45
461339-Edgar Carvalheiro-14228.81
615086-Clarindo Areosa-17924.25
396780-Esperada Cardoso-8007.78
153227-Carminda Morais-11282.06
774231-Telma Villalobos-3860.52
600851-Flor Portella-194.03
577919-Anind Zarco-14868.48
851189-Antonio Viegas-10343.65
472475-Gaudancio Fiees-13889.19
860638-Honorina Lira-14140.73
821712-Almor Caiado-5590.51
192844-Lurdes Cotrim-14686.66
978819-Jonatas Felgueiras-1825.79
