217735-Jonatas Felgueiras-17187.01
803328-Aludsio Sosa-17928.02
934840-Danilo Olaio-11662.95
830605-Moaci Mendoa-6540.39
75713-Zungela Ipiranga-8788.22
887815-Sara Lameiras-15078.89
256573-Trajano Fagundes-5311.19
217638-Angilica Galante-16359.80
19753-Adelino Barra-4099.98
750115-Rodolfo Paz-2583.08
341724-Zungela Ipiranga-9805.25
460580-Almerinda Palmeira-8288.45
935984-Sofras Cuaresma-10587.80
798311-Cassandra Varejo-13306.10
981229-Zulmira Becerra-9922.02
729281-Delfina Garcia de Gondim-14390.90
857664-Tabalipa Duarte-14108.63
912410-Adelina Quadros-13915.97
321169-Sidfnio Frois-12581.33
994670-Antonio Castelo-18878.83
401652-Danilo Olaio-9177.42
542403-Neeamia Arruda-21402.02
485506-Jorgina Bogalho-19696.54
239543-Taercio Mafra-19489.69
32863-Adelina Quadros-15394.67
164213-Nuno Balsemeo-19491.96
184842-Branco Saraba-13055.70
841182-Jussara Varanda-2229.99
477582-Gaudancio Fiees-4173.20
627918-Aludsio Sosa-9343.15
569430-Silvio Mata-8172.33
552556-Adelino Barra-17847.75
896978-Jorgina Bogalho-13347.77
21183-Mercia Caeira-6335.33
755777-Marilda Leio-3350.82
209177-Eurico Siqueira-13182.46
269200-Romo Paranage-7959.47
192417-Ermelinda Quintela-14467.88
229172-Antonio Viegas-6117.82
915570-Jorgina Bogalho-8484.10
485374-Joaquim Rufino-2674.96
313013-Almerinda Palmeira-19970.49
859066-Marilda Leio-4234.62
575871-Moaci Mendoa-9004.83
778091-Sofras Cuaresma-4637.55
446954-Nuno Balsemeo-1054.81
344447-Urbano Rodrigues-12647.50
811881-Letedcia Gago-10574.59
278018-Adelino Barra-8752.04
64028-Augusta Paio-19761.20
680933-Liana Cardim-19531.22
530385-Antonio Castelo-17239.51
671140-Filomena Barrios-12813.26
588703-Jussara Varanda-4474.19
555321-Henrique Bento-11711.97
603859-Clara Alcantara-6971.60
898529-Taercio Mafra-9745.04
656877-Spnia ou Sonia Guerreiro-11613.16
720087-Jorgina Bogalho-14805.94
565740-Filomena Barrios-2021.75
821755-Letedcia Gago-4078.56
90266-Ermelinda Quintela-7673.86
407477-Sara Lameiras-9180.57
703071-Andreia Moita-471.62
481879-Moaci Mendoa-9357.18
16029-Silvio Mata-17713.21
31051-Adelina Quadros-17247.36
312497-Guida Juca-15919.10
52784-Manuel Capiperibe-6721.46
513790-Jonatas Felgueiras-17247.12
611084-Emedlio Pimentel-13030.50
830041-Henrique Bento-18221.40
32730-Almor Caiado-9840.64
561865-Armanda Amorim-13597.67
509671-Taercio Mafra-17022.49
654237-Emedlia Silvera-3277.81
991575-Andreia Moita-16368.12
317076-Jonatas Felgueiras-4516.41
475324-Ubaldo Mainha-21246.94
744338-Daniel Vieyra-10887.24
188146-Marilda Leio-14673.35
487683-Moaci Mendoa-9186.82
173333-Guaraci Damasceno-11667.14
432588-Joaquim Rufino-13452.76
854152-Emedlia Silvera-19017.86
993346-Guida Juca-18599.56
970381-Antonio Castelo-19169.48
200138-Polibe Olivares-8997.82
339495-Daniel Vieyra-21172.57
141242-Melinda Roserio-6075.17
171119-Estanislau Beserra-8677.06
767234-Jussara Varanda-11581.93
503501-Jorgina Bogalho-988.83
303748-Melinda Roserio-7553.16
903752-Zungela Ipiranga-10271.70
752688-Clarindo Areosa-18501.63
382936-Clara Alcantara-7006.50
341899-Henrique Bento-14508.50
942075-Adelino Barra-13977.06
752600-Tibofarcio Camacho-12133.63
