240029-Augusta Paio-1255.51
37779-Marilda Leio-15896.84
16738-Letedcia Gago-3342.02
234728-Fulvio Villegas-7708.58
562288-Tibefarcio Colao-17046.28
859334-Joaquim Rufino-2928.17
733618-Gaudancio Fiees-17005.06
893141-Carminda Morais-56.04
853801-Tibefarcio Colao-11559.17
238168-Lina Andrade-11124.25
442377-Camila Gabeira-3671.81
441092-Daniel Vieyra-13822.19
865007-Honorina Lira-20002.36
505264-Artur Grillo-12249.87
745861-Neeamia Arruda-7660.66
343554-Zulmira Becerra-114.41
467358-Branco Saraba-19951.75
356904-Branco Saraba-6515.84
81675-Liana Cardim-3299.55
301820-Elisa Themes-8471.93
451080-Tabalipa Duarte-8756.35
668050-Oliveira Senchez-2955.93
569275-Adelino Barra-13024.58
188578-Angelica Aranha-6744.79
665845-Adelina Quadros-11252.25
286966-Regina Barcellos-10160.85
725216-Dulce Froes-12565.52
669434-Clarindo Areosa-12214.25
733903-Neuza Francia-15505.07
715062-Elisa Themes-17218.09
637547-Clarindo Areosa-11187.76
741387-Letedcia Gago-20144.45
64363-Honorina Lira-17035.30
655916-Antonio Viegas-5202.35
234422-Romo Paranage-13829.01
878523-Anind Zarco-17011.88
480255-Flor Portella-17679.13
256886-Sofras Cuaresma-11360.99
134261-Judite Damasceno-19588.33
449829-Filomena Barrios-10970.64
990814-Antonio Castelo-18107.02
650537-Rodolfo Paz-1719.59
419147-Rebeca Neto-18580.24
645298-Jussara Varanda-2791.96
866960-Delfina Garcia de Gondim-9554.31
313642-Mercia Caeira-3578.25
361602-Clara Alcantara-6453.06
961847-Armanda Amorim-16655.63
503984-Jonatas Felgueiras-19226.97
553338-Augusta Paio-17466.63
444433-Neuza Francia-19846.54
111996-Lurdes Cotrim-13648.21
224077-Neeamia Arruda-1827.56
899008-Trajano Fagundes-18884.02
809015-Tibefarcio Colao-7137.85
619943-Armindo Castalo-20790.98
651462-Telma Villalobos-5579.76
596085-Angelica Aranha-17019.38
639597-Sara Lameiras-2899.59
548605-Feledcia Peassego-200.28
521820-Artur Grillo-4664.73
713141-Daniel Vieyra-6005.85
863954-Emiliana Foquio-2893.25
38624-Taercio Mafra-12362.24
925769-Mercia Caeira-18140.33
759813-Romo Paranage-12581.69
902927-Zungela Ipiranga-12698.21
868069-Basilio Pedroso-14694.17
912127-Branco Saraba-8455.73
653010-Anind Zarco-13571.22
89604-Elisa Themes-19536.43
180018-Jorgina Bogalho-1508.73
607495-Jussara Varanda-4157.37
791182-Artur Grillo-3112.92
892728-Eurico Siqueira-1167.34
779095-Lurdes Cotrim-7874.94
280277-Trajano Fagundes-5339.13
274229-Manuel Capiperibe-12.97
206445-Delfina Garcia de Gondim-8552.10
97262-Joaquim Rufino-7233.79
532722-Urbano Rodrigues-13524.69
924555-Rodolfo Paz-4321.65
417461-Cassandra Varejo-14747.72
235516-Emedlio Pimentel-3680.80
794082-Odilia Camello-11479.73
385822-Oliveira Senchez-2332.68
663384-Andreia Moita-18505.48
278229-Jonatas Felgueiras-1153.39
310092-Emiliana Foquio-10245.45
431272-Delfim Higuera-5731.59
674024-Odilia Bello-9286.92
76520-Tabalipa Duarte-4101.33
868253-Honorina Lira-17655.50
880474-Urbano Rodrigues-9893.02
700862-Celeste Duarte-14650.96
738835-Filomena Barrios-7119.98
786910-Trajano Fagundes-21356.62
264367-Odilia Bello-5634.56
522923-Ximena Castilho-17597.66
507410-Spnia ou Sonia Guerreiro-1277.14
