467228-Oliveira Carmona-891.18
169832-Liana Cardim-16320.69
704684-Zulmira Becerra-13059.07
659493-Telma Villalobos-6849.50
747986-Rebeca Neto-18633.88
863826-Artur Grillo-2690.07
249086-Cassandra Varejo-21343.18
447366-Angelica Aranha-15955.40
535692-Emedlio Pimentel-3762.32
274970-Ubaldo Mainha-8662.76
552008-Telma Villalobos-17447.44
260982-Henrique Bento-17024.30
313094-Tibefarcio Colao-20991.35
322592-Oliveira Carmona-15903.10
874583-Adelina Quadros-7165.75
943514-Manuel Capiperibe-14664.39
608980-Rodolfo Paz-3922.04
487300-Judite Damasceno-17046.51
677506-Oliveira Senchez-2537.03
930694-Daniel Vieyra-9149.78
383241-Jussara Varanda-2550.47
953983-Nuno Balsemeo-19133.08
593933-Neeamia Arruda-1241.37
173578-Armindo Castalo-4964.60
187052-Flor Portella-17963.34
621805-Jorgina Bogalho-6957.94
547667-Heleedsa Marins-7484.03
824300-Manuel Capiperibe-8068.90
641055-Neuza Francia-1290.84
689630-Fulvio Villegas-10870.15
531008-Rodolfo Paz-17013.98
632415-Joaquim Rufino-20613.52
680037-Branco Saraba-16514.62
862206-Delfim Higuera-17776.36
871120-Mercia Caeira-9773.40
971116-Danilo Olaio-11139.61
509670-Armanda Amorim-3090.25
252219-Zungela Ipiranga-6968.50
678833-Flamednia Leiria-17254.91
292502-Emiliana Foquio-16236.97
400899-Mercia Caeira-12577.44
39680-Sara Lameiras-2248.93
18885-Sidfnio Frois-2275.73
135254-Armanda Amorim-12174.35
711381-Urbano Rodrigues-4898.23
138201-Elisa Themes-9087.94
359227-Tarrataca Soares-17933.03
499791-Zulmira Becerra-13880.72
530842-Manuel Capiperibe-13977.51
646238-Letedcia Gago-20760.43
776672-Marilda Leio-429.60
821739-Sofras Cuaresma-19960.00
251774-Fulvio Villegas-12585.35
144359-Marilda Leio-1021.87
673071-Adelino Barra-11708.98
574019-Jussara Varanda-19660.37
919952-Edgar Carvalheiro-10359.12
807593-Rebeca Neto-12764.12
61244-Anind Zarco-13469.43
805606-Tibofarcio Camacho-13765.89
763015-Odilia Camello-3048.82
464479-Tabalipa Duarte-19807.04
575116-Estanislau Beserra-20229.55
742261-Fulvio Villegas-20831.00
860824-Sofras Cuaresma-17912.89
318277-Odilia Camello-21248.63
569385-Trajano Fagundes-20503.00
123817-Aludsio Sosa-18766.24
782848-Andreia Moita-1532.01
192609-Ximena Castilho-7530.07
161952-Lurdes Cotrim-10047.70
91778-Basilio Pedroso-187.51
538118-Gaudancio Fiees-1673.26
519857-Emedlia Silvera-16780.68
204955-Guaraci Damasceno-14734.45
788440-Quintino Alcantara-432.80
924865-Armindo Castalo-4438.49
973458-Filomena Barrios-1734.89
950362-Camila Gabeira-6202.72
386420-Heleedsa Marins-10344.65
411517-Urbano Rodrigues-13446.27
835030-Odilia Camello-15937.19
962346-Mercia Caeira-16302.57
561593-Oliveira Senchez-5652.93
293480-Liana Cardim-6484.98
314728-Cassandra Varejo-9032.86
715706-Mercia Caeira-11482.11
932720-Romo Paranage-2717.01
289714-Zulmira Becerra-16976.51
847932-Odete Vasques-3305.54
929334-Heleedsa Marins-18419.66
264230-Joaquim Rufino-943.17
866155-Danilo Olaio-13632.79
793875-Letedcia Gago-12293.57
306002-Ubaldo Mainha-17756.51
263361-Celeste Duarte-4984.82
16933-Melinda Roserio-16701.98
103400-Moaci Mendoa-8986.47
195635-Sara Lameiras-604.53
560133-Carminda Morais-14563.01
