627433-Guaraci Damasceno-16943.53
787113-Esperada Cardoso-12533.08
397304-Ubaldo Mainha-20332.01
250173-Sidfnio Frois-1260.41
495895-Cassandra Varejo-4450.20
271518-Mercia Caeira-389.59
330750-Clara Alcantara-11281.83
472580-Almerinda Palmeira-16194.86
854188-Liana Cardim-19173.43
386782-Sofras Cuaresma-20281.68
410443-Jorgina Bogalho-18733.12
838042-Mercia Caeira-12166.15
709080-Flamednia Leiria-11625.29
628227-Micaela Chavez-20847.79
932611-Leonidas Mafra-6377.91
531484-Spnia ou Sonia Guerreiro-3385.79
976651-Eurico Siqueira-7629.10
420125-Manuel Capiperibe-2568.99
559079-Branco Saraba-13657.53
197739-Estanislau Beserra-6866.56
631176-Zulmira Becerra-6255.83
417330-Clarindo Areosa-16314.21
511697-Honorina Lira-14426.46
839693-Andreia Moita-17512.75
208310-Angilica Galante-16827.24
80968-Delfim Higuera-1357.72
428707-Ximena Castilho-20997.48
476099-Zungela Ipiranga-11676.85
9861-Feledcia Peassego-16152.44
402579-Moaci Mendoa-11409.58
479670-Ermelinda Quintela-12665.89
384921-Zungela Ipiranga-15390.06
905444-Flor Portella-10640.34
471247-Branco Saraba-18748.74
332505-Judite Damasceno-19500.82
985112-Oliveira Carmona-17346.80
733291-Zulmira Becerra-12676.25
391440-Gaudancio Fiees-16771.01
432139-Danilo Olaio-2876.27
258632-Ximena Castilho-11640.30
741350-Trajano Fagundes-20395.09
807088-Nuno Balsemeo-4924.11
810239-Fulvio Villegas-20343.16
459883-Micaela Chavez-13853.04
416953-Ubaldo Mainha-6301.52
97707-Fulvio Villegas-4066.54
549981-Judite Damasceno-10533.87
266779-Antonio Viegas-11857.79
184578-Regina Barcellos-10607.27
862456-Regina Barcellos-20439.86
498154-Honorina Lira-5272.44
722847-Flamednia Leiria-14310.51
986569-Dulce Froes-20918.61
768315-Carminda Morais-18048.37
456832-Antonio Castelo-1737.70
744080-Neuza Francia-10288.68
711025-Mercia Caeira-2109.34
819080-Jussara Varanda-19672.01
544342-Sofras Cuaresma-10229.02
896674-Guida Juca-11407.65
278655-Manuel Capiperibe-13142.63
202658-Augusta Paio-6625.02
20902-Anind Zarco-7244.89
187885-Sidfnio Frois-4167.73
658504-Branco Saraba-16142.30
797968-Andreia Moita-19719.74
75036-Danilo Olaio-10772.01
772055-Rebeca Neto-1975.37
731410-Antonio Viegas-10100.81
450648-Henrique Bento-16549.78
155696-Flamednia Leiria-11487.73
104258-Sidfnio Frois-15309.76
619774-Taercio Mafra-11465.13
512482-Odete Vasques-20297.01
758618-Edgar Carvalheiro-12708.75
775135-Oliveira Carmona-16476.74
176092-Trajano Fagundes-14192.65
511470-Tibefarcio Colao-16390.37
48050-Elisa Themes-13452.85
3112-Adelino Barra-15987.35
239114-Polibe Olivares-1484.07
737858-Leonidas Mafra-18165.12
738542-Fulvio Villegas-15916.48
744088-Camila Gabeira-15656.77
522811-Urbano Rodrigues-13959.52
47895-Trajano Fagundes-12562.43
547069-Rebeca Neto-279.36
764062-Neuza Francia-694.47
34306-Odete Vasques-12004.95
869440-Clarindo Areosa-1490.15
715193-Odete Vasques-2032.54
333870-Delfina Perdigon-5299.92
928128-Artur Grillo-17917.30
67925-Regina Barcellos-4179.90
908444-Neeamia Arruda-11205.13
140892-Tibefarcio Colao-12185.61
46885-Lina Andrade-5366.25
734164-Henrique Bento-1519.05
974784-Esperada Cardoso-2619.39
16508-Telma Villalobos-18768.09
