66549-Henrique Bento-14613.12
722653-Sidfnio Frois-117.98
265559-Daniel Vieyra-10788.86
492267-Joaquim Rufino-17106.21
796278-Henrique Bento-19628.29
99776-Tarrataca Soares-19517.25
48691-Adelino Barra-7237.54
870911-Celeste Duarte-17991.35
770322-Micaela Chavez-15084.16
868354-Ubaldo Mainha-7165.27
406715-Letedcia Gago-19155.93
575217-Jorgina Bogalho-14288.32
886053-Urbano Rodrigues-7026.14
609978-Rodolfo Paz-4686.23
968582-Spnia ou Sonia Guerreiro-12954.19
56133-Artur Grillo-8940.35
213374-Jussara Varanda-20710.84
400428-Cassandra Varejo-19224.71
203101-Jonatas Felgueiras-7707.58
959267-Almerinda Palmeira-12996.26
900862-Henrique Bento-10155.49
186671-Almerinda Palmeira-2526.41
754025-Artur Grillo-4325.27
723773-Gaudancio Fiees-17671.37
314654-Anind Zarco-6656.22
767193-Gaudancio Fiees-6041.94
944807-Delfina Garcia de Gondim-15304.08
392315-Odilia Camello-183.25
491587-Eurico Siqueira-3135.28
6443-Artur Grillo-8954.87
564498-Jussara Varanda-6889.04
715948-Armindo Castalo-11550.91
732502-Daniel Vieyra-1583.61
847017-Mercia Caeira-9250.85
100815-Tibofarcio Camacho-8709.16
773823-Adelino Barra-19586.83
998521-Ermelinda Quintela-18451.44
823601-Adelino Barra-12540.53
119974-Moaci Mendoa-19845.45
690667-Honorina Lira-12500.67
404033-Zulmira Becerra-19146.32
666789-Basilio Pedroso-15988.64
570502-Melinda Roserio-17315.97
517579-Edgar Carvalheiro-8679.60
601646-Angilica Galante-16240.61
307638-Delfim Higuera-10003.51
724391-Angelica Aranha-20383.50
65280-Jorgina Bogalho-3666.90
214381-Spnia ou Sonia Guerreiro-553.26
407499-Melinda Roserio-18750.16
87550-Tibefarcio Colao-6829.37
671748-Carminda Morais-17896.04
863117-Heleedsa Marins-11526.91
415681-Urbano Rodrigues-13522.08
569565-Antonio Viegas-20078.10
639424-Guaraci Damasceno-16376.34
392451-Leonidas Mafra-8458.75
322510-Nuno Balsemeo-11629.40
305563-Anind Zarco-4596.71
349550-Moaci Mendoa-11970.78
977266-Anfnia Seixas-21231.66
753210-Tarrataca Soares-17793.54
393330-Oliveira Senchez-13207.33
146479-Feledcia Peassego-9056.65
376028-Judite Damasceno-14592.35
666438-Aludsio Sosa-17048.74
824238-Henrique Bento-14537.83
847948-Clarindo Areosa-4036.22
561170-Domingos Pas-19559.27
83878-Tabalipa Duarte-16527.93
655796-Urbano Rodrigues-7442.87
164605-Andreia Moita-11450.40
793446-Dulce Froes-1589.50
629174-Filomena Barrios-16650.96
673015-Carminda Morais-889.89
42969-Neuza Francia-13496.55
563026-Odilia Bello-49.96
957576-Spnia ou Sonia Guerreiro-2408.44
808251-Basilio Pedroso-2764.05
329433-Guida Juca-1670.05
928621-Gaudancio Fiees-17876.61
726070-Angelica Aranha-15263.42
877175-Ximena Castilho-11726.52
277759-Carminda Morais-18792.81
859853-Neeamia Arruda-7034.70
676672-Letedcia Gago-18005.13
367640-Emedlio Pimentel-3655.92
874265-Manuel Capiperibe-15395.50
2704-Antonio Castelo-428.75
58520-Esperada Cardoso-6302.04
940320-Lurdes Cotrim-2036.49
592666-Taercio Mafra-8863.75
317825-Danilo Olaio-1627.69
476422-Dulce Froes-15010.46
247641-Joaquim Rufino-15119.06
7510-Ubaldo Mainha-16545.83
938819-Marilda Leio-14864.67
865807-Lina Andrade-3138.58
636422-Anind Zarco-6878.60
811833-Tarrataca Soares-2694.35
