200767-Emedlia Silvera-15442.74
579869-Elisa Themes-19246.39
775628-Augusta Paio-16910.08
313406-Letedcia Gago-12687.76
434364-Flor Portella-3020.45
726581-Carminda Morais-2778.43
910280-Armindo Castalo-20054.11
937734-Quintiliano Sousa de Arronches-11999.87
639675-Regina Barcellos-4422.77
998693-Spnia ou Sonia Guerreiro-14341.86
758632-Delfina Perdigon-9849.03
462819-Mercia Caeira-15824.83
753152-Manuel Capiperibe-11617.75
82168-Daniel Vieyra-8426.05
856177-Jonatas Felgueiras-15790.39
938221-Danilo Olaio-10872.82
443440-Neeamia Arruda-6967.09
488954-Celeste Duarte-16606.46
337331-Fulvio Villegas-11908.02
448811-Urbano Rodrigues-2653.17
261050-Artur Grillo-10510.76
346880-Judite Damasceno-13065.39
587847-Clarindo Areosa-7228.08
353561-Almerinda Palmeira-4894.07
411538-Trajano Fagundes-7702.63
998394-Nuno Balsemeo-13962.01
944872-Delfina Garcia de Gondim-91.61
818794-Odete Vasques-8376.50
679615-Filomena Barrios-3775.04
817460-Angelica Aranha-2964.69
657656-Almerinda Palmeira-12537.30
917323-Neeamia Arruda-4985.93
659977-Tabalipa Duarte-21031.81
693952-Delfina Garcia de Gondim-13160.51
332654-Ximena Castilho-15534.62
526800-Emedlia Silvera-9699.77
519322-Moaci Mendoa-19909.22
220502-Almor Caiado-1792.57
568074-Odilia Bello-10299.37
234416-Aludsio Sosa-6902.71
734574-Esperada Cardoso-5944.45
794476-Jorgina Bogalho-17273.62
425997-Moaci Mendoa-13765.38
349585-Trajano Fagundes-7037.49
196465-Andreia Moita-5515.98
822814-Basilio Pedroso-3516.41
650502-Zungela Ipiranga-11911.60
639320-Polibe Olivares-16193.81
278224-Neuza Francia-11494.65
420896-Daniel Vieyra-9722.16
548852-Estanislau Beserra-13529.50
406790-Delfim Higuera-11952.61
374295-Trajano Fagundes-18056.87
522862-Basilio Pedroso-17595.53
238755-Trajano Fagundes-15462.66
933512-Clara Alcantara-19360.89
605528-Daniel Vieyra-302.56
716027-Rebeca Neto-1328.95
600155-Antonio Castelo-9341.73
904824-Liana Cardim-6641.10
996549-Elisa Themes-17666.59
49340-Sara Lameiras-12005.82
464168-Romo Paranage-16119.57
417361-Carminda Morais-8089.96
151929-Odilia Camello-1077.51
967822-Feledcia Peassego-10616.85
424544-Armanda Amorim-3458.06
557770-Almor Caiado-20985.22
588001-Camila Gabeira-566.39
599665-Elisa Themes-16925.44
310824-Guida Juca-12540.57
5110-Letedcia Gago-14831.06
960645-Manuel Capiperibe-19595.70
119780-Delfina Perdigon-19125.04
832099-Almor Caiado-20456.56
843124-Filomena Barrios-7631.40
942965-Anfnia Seixas-5640.81
298477-Jussara Varanda-4921.55
65332-Letedcia Gago-192.59
489050-Emedlia Silvera-2948.59
539583-Marilda Leio-1436.86
765783-Sara Lameiras-9186.91
90793-Odete Vasques-16676.52
372555-Odilia Bello-20487.72
166637-Almor Caiado-16741.20
195440-Letedcia Gago-20899.63
425182-Angilica Galante-9374.23
977743-Rebeca Neto-3942.38
52799-Aludsio Sosa-5933.03
766856-Guaraci Damasceno-3213.08
541092-Artur Grillo-2423.64
888407-Tibofarcio Camacho-21231.30
858142-Micaela Chavez-7217.37
398113-Cassandra Varejo-19451.10
958385-Daniel Vieyra-1597.93
690889-Jussara Varanda-19159.88
79798-Henrique Bento-18329.30
33305-Oliveira Carmona-2564.24
658236-Dulce Froes-14324.77
542592-Flamednia Leiria-11227.60
