320240-Fulvio Villegas-4605.99
728778-Quintino Alcantara-7919.91
216946-Daniel Vieyra-9096.70
344294-Adelina Quadros-3938.92
333770-Adelina Quadros-14614.71
633629-Rodolfo Paz-13083.04
537733-Sara Lameiras-17143.58
121311-Letedcia Gago-20200.83
238380-Rodolfo Paz-494.91
25509-Delfim Higuera-11354.98
193578-Ermelinda Quintela-15578.19
583376-Estanislau Beserra-2930.64
100606-Guida Juca-5362.81
820431-Urbano Rodrigues-981.41
394383-Tarrataca Soares-9524.75
445835-Delfina Perdigon-11281.09
328316-Flamednia Leiria-14366.46
46552-Cleusa Goes-3662.84
685561-Rodolfo Paz-18305.22
887343-Feledcia Peassego-10600.64
557722-Filomena Barrios-8067.74
827011-Celeste Duarte-14273.58
87251-Gaudancio Fiees-14714.58
533651-Branco Saraba-8287.95
355647-Liana Cardim-377.06
681388-Rodolfo Paz-6981.52
311617-Ermelinda Quintela-13744.80
816512-Aludsio Sosa-15325.27
920589-Aludsio Sosa-16052.12
999670-Armanda Amorim-13666.16
609863-Almor Caiado-2666.90
38705-Camila Gabeira-9135.17
531326-Tibofarcio Camacho-19516.04
821024-Ubaldo Mainha-21431.38
735742-Emiliana Foquio-18820.10
641953-Lina Andrade-4822.08
173286-Honorina Lira-13995.19
351124-Fulvio Villegas-20533.36
813128-Adelino Barra-1687.73
314032-Adelina Quadros-902.89
395697-Oliveira Carmona-8058.98
251700-Antonio Castelo-17259.37
981771-Zungela Ipiranga-9959.85
170162-Esperada Cardoso-12998.06
670010-Polibe Olivares-5880.58
875696-Almerinda Palmeira-19607.00
233057-Ximena Castilho-1033.90
586760-Aludsio Sosa-7477.41
467005-Adelino Barra-21125.54
75707-Carminda Morais-17333.84
816559-Adelino Barra-6702.96
247285-Feledcia Peassego-18775.48
711248-Angilica Galante-3400.46
779347-Heleedsa Marins-18242.16
501585-Emiliana Foquio-7164.03
266313-Clarindo Areosa-13492.78
722215-Zungela Ipiranga-1260.28
213612-Zungela Ipiranga-5686.14
557017-Regina Barcellos-20620.81
673018-Fulvio Villegas-19166.74
77637-Liana Cardim-14990.06
897091-Celeste Duarte-10757.70
653732-Liana Cardim-15604.81
911591-Angilica Galante-6097.77
491692-Neeamia Arruda-3667.95
613426-Oliveira Senchez-5660.61
467802-Tibofarcio Camacho-16897.84
195401-Camila Gabeira-8425.13
180053-Honorina Lira-775.87
234885-Flamednia Leiria-17112.60
190282-Ubaldo Mainha-15388.54
441941-Emedlio Pimentel-3662.67
757914-Daniel Vieyra-20669.21
119973-Manuel Capiperibe-11943.49
214632-Ermelinda Quintela-11958.41
228253-Daniel Vieyra-5119.70
520181-Regina Barcellos-11034.38
839824-Guida Juca-9261.50
773942-Sofras Cuaresma-7278.46
305894-Tibefarcio Colao-4735.98
27737-Tarrataca Soares-18967.88
272384-Polibe Olivares-13727.46
287120-Guida Juca-7790.20
299546-Manuel Capiperibe-4556.57
605360-Branco Saraba-793.88
189797-Honorina Lira-3666.16
351874-Esperada Cardoso-5191.36
297455-Delfim Higuera-6629.76
272855-Odilia Camello-13667.50
835093-Aludsio Sosa-3975.72
173537-Neeamia Arruda-18196.00
882178-Oliveira Senchez-6893.89
341755-Adelina Quadros-2301.92
755055-Zulmira Becerra-20024.92
517317-Regina Barcellos-1736.13
636587-Basilio Pedroso-15528.03
726290-Sofras Cuaresma-2636.71
254228-Danilo Olaio-1434.85
448508-Antonio Viegas-20347.58
489181-Tibofarcio Camacho-17201.10
643838-Leonidas Mafra-9107.99
586407-Artur Grillo-11456.82
791535-Telma Villalobos-6435.40
533487-Melinda Roserio-14712.95
415885-Zulmira Becerra-5283.28
202417-Romo Paranage-11579.65
604986-Feledcia Peassego-17246.91
143771-Angelica Aranha-11844.62
658598-Rebeca Neto-4634.27
439760-Ximena Castilho-2894.32
793151-Jorgina Bogalho-11360.76
262862-Estanislau Beserra-6051.79
121276-Regina Barcellos-694.87
688218-Delfina Garcia de Gondim-3080.20
746882-Trajano Fagundes-17764.36
935332-Gaudancio Fiees-2591.55
927015-Eurico Siqueira-4177.60
590156-Augusta Paio-6239.04
738562-Zulmira Becerra-15405.62
677794-Augusta Paio-2395.18
726591-Celeste Duarte-14133.12
574844-Emedlia Silvera-4390.91
621083-Emedlio Pimentel-1537.28
723415-Cleusa Goes-7874.17
120543-Heleedsa Marins-476.80
846137-Tibefarcio Colao-2556.15
53135-Cassandra Varejo-8165.42
467827-Cassandra Varejo-19941.32
344443-Nuno Balsemeo-17843.87
647841-Regina Barcellos-745.81
899908-Taercio Mafra-7323.08
228130-Neeamia Arruda-3733.99
735265-Odilia Camello-1435.37
729202-Gaudancio Fiees-6862.60
259778-Almerinda Palmeira-13253.81
226528-Telma Villalobos-4417.43
864572-Trajano Fagundes-13407.96
746192-Aludsio Sosa-14522.64
47865-Delfina Perdigon-19606.09
428187-Heleedsa Marins-11817.73
326920-Lina Andrade-15526.73
537214-Mercia Caeira-20619.01
354635-Antonio Viegas-11671.52
900460-Celeste Duarte-10853.98
862907-Clarindo Areosa-21246.58
505209-Moaci Mendoa-17664.01
762699-Tibefarcio Colao-2697.81
78744-Ximena Castilho-2000.44
527148-Gaudancio Fiees-336.08
395529-Emedlio Pimentel-13110.36
328978-Silvio Mata-21243.63
86790-Mercia Caeira-17394.17
243810-Micaela Chavez-5952.88
937472-Micaela Chavez-9931.88
891193-Ubaldo Mainha-15730.51
741868-Angelica Aranha-2350.73
335634-Tabalipa Duarte-15298.36
241978-Augusta Paio-19789.14
412376-Liana Cardim-14289.58
223974-Flamednia Leiria-16643.53
291910-Gaudancio Fiees-6121.99
65148-Basilio Pedroso-11522.85
255467-Celeste Duarte-15105.29
598132-Silvio Mata-18304.67
338697-Antonio Castelo-6508.74
769645-Flor Portella-14446.16
601151-Delfina Perdigon-3584.68
730491-Letedcia Gago-8807.10
903859-Emiliana Foquio-1686.39
169118-Tibefarcio Colao-1828.63
503513-Regina Barcellos-21051.55
201260-Angilica Galante-10457.36
832276-Urbano Rodrigues-12139.92
751197-Leonidas Mafra-16295.90
374835-Armindo Castalo-12304.45
566098-Tabalipa Duarte-21412.14
313843-Zulmira Becerra-18333.32
929824-Spnia ou Sonia Guerreiro-5765.79
460081-Almor Caiado-7184.83
464467-Taercio Mafra-1451.68
338511-Gaudancio Fiees-1676.72
411192-Zungela Ipiranga-7628.73
769299-Neuza Francia-15227.05
172996-Celeste Duarte-8949.73
76106-Clarindo Areosa-20203.48
337119-Odete Vasques-294.30
730607-Celeste Duarte-15997.44
592206-Marilda Leio-18186.74
680245-Melinda Roserio-5176.50
407100-Emedlio Pimentel-12731.15
996746-Celeste Duarte-14544.53
741093-Camila Gabeira-16738.64
254344-Estanislau Beserra-9361.50
242912-Lurdes Cotrim-7518.39
853985-Camila Gabeira-8039.15
909909-Oliveira Carmona-17432.53
696680-Odilia Camello-7195.00
848153-Guida Juca-2386.08
62117-Letedcia Gago-11812.88
758781-Rodolfo Paz-15686.95
139969-Neuza Francia-15836.92
192842-Guida Juca-11839.50
118660-Delfim Higuera-14152.04
266051-Judite Damasceno-13439.63
386212-Estanislau Beserra-4523.34
370331-Flamednia Leiria-21182.43
300857-Judite Damasceno-20404.56
975283-Cleusa Goes-20523.05
323431-Telma Villalobos-5828.83
354440-Andreia Moita-4981.58
983721-Carminda Morais-19432.98
98842-Quintiliano Sousa de Arronches-7910.07
78290-Delfina Garcia de Gondim-20991.26
207717-Urbano Rodrigues-9479.08
692823-Heleedsa Marins-3798.11
93362-Marilda Leio-2676.98
262805-Anfnia Seixas-6409.99
448111-Anind Zarco-9519.74
725135-Daniel Vieyra-8718.14
806826-Oliveira Senchez-9181.68
100283-Gaudancio Fiees-2166.68
602254-Armanda Amorim-2217.67
53832-Estanislau Beserra-4598.45
225712-Branco Saraba-18670.53
360808-Liana Cardim-9002.62
345809-Sofras Cuaresma-5108.72
574272-Cassandra Varejo-2946.51
291933-Silvio Mata-9710.99
314242-Spnia ou Sonia Guerreiro-6313.41
736019-Quintiliano Sousa de Arronches-4566.64
316046-Feledcia Peassego-20157.64
710644-Gaudancio Fiees-4498.83
112657-Filomena Barrios-12379.37
157096-Angelica Aranha-15001.62
626365-Gaudancio Fiees-4330.39
906676-Guaraci Damasceno-6363.85
884713-Angelica Aranha-20809.60
861333-Delfina Garcia de Gondim-3647.68
328171-Sofras Cuaresma-18350.82
608659-Celeste Duarte-6323.34
573588-Tibefarcio Colao-15496.50
690329-Branco Saraba-878.77
90428-Delfim Higuera-13329.90
335822-Heleedsa Marins-9416.64
150580-Rebeca Neto-20092.90
227526-Carminda Morais-6207.13
692726-Sidfnio Frois-13385.98
292632-Romo Paranage-5089.75
508060-Oliveira Carmona-12313.04
580497-Sofras Cuaresma-824.29
800418-Taercio Mafra-1280.02
817162-Guaraci Damasceno-15846.92
716632-Antonio Viegas-3792.99
552659-Neuza Francia-12666.35
67308-Flor Portella-18187.86
