340536-Filomena Barrios-1208.32
829812-Spnia ou Sonia Guerreiro-10807.54
649622-Adelino Barra-2135.84
244515-Taercio Mafra-4783.22
793376-Cleusa Goes-3677.13
161844-Sidfnio Frois-19480.49
784905-Esperada Cardoso-11382.42
848403-Andreia Moita-5712.78
146978-Augusta Paio-8766.28
536807-Carminda Morais-19451.56
420384-Tibofarcio Camacho-9070.13
671727-Spnia ou Sonia Guerreiro-15408.42
279766-Heleedsa Marins-18724.92
908568-Adelino Barra-5862.53
156814-Zungela Ipiranga-19290.46
645039-Henrique Bento-8657.25
170375-Gaudancio Fiees-14925.09
117514-Delfim Higuera-4778.74
652271-Lina Andrade-11930.21
822487-Danilo Olaio-19235.58
345858-Rodolfo Paz-13984.95
185050-Urbano Rodrigues-13766.83
811389-Silvio Mata-3684.79
505238-Flamednia Leiria-3429.04
37191-Cleusa Goes-4050.61
282342-Jorgina Bogalho-17537.06
576293-Spnia ou Sonia Guerreiro-21148.76
628439-Cleusa Goes-9605.10
474818-Estanislau Beserra-18271.62
949430-Armindo Castalo-5665.01
96109-Cleusa Goes-8878.47
255390-Artur Grillo-7645.48
773439-Odete Vasques-12773.60
299877-Guaraci Damasceno-4923.81
79220-Esperada Cardoso-10354.18
421196-Cassandra Varejo-11267.01
487649-Quintino Alcantara-5667.93
579836-Heleedsa Marins-4939.38
62512-Flor Portella-14794.13
49951-Danilo Olaio-1048.79
628016-Carminda Morais-4629.75
217093-Lurdes Cotrim-13132.30
488907-Fulvio Villegas-20490.04
239578-Moaci Mendoa-2478.20
894026-Dulce Froes-7908.99
125416-Silvio Mata-13123.20
62437-Silvio Mata-5303.24
908167-Delfina Perdigon-20849.04
747416-Estanislau Beserra-114.83
781513-Edgar Carvalheiro-19455.33
316591-Elisa Themes-12206.77
698510-Quintiliano Sousa de Arronches-13828.94
145024-Lina Andrade-16613.83
951169-Cassandra Varejo-2771.39
654887-Joaquim Rufino-18680.33
777018-Delfina Garcia de Gondim-3966.75
599904-Andreia Moita-19117.38
732542-Nuno Balsemeo-20856.46
803372-Guaraci Damasceno-18789.09
803563-Delfim Higuera-9712.07
682547-Polibe Olivares-20765.24
536433-Micaela Chavez-17877.39
620610-Artur Grillo-8694.00
741223-Filomena Barrios-5988.68
681795-Guaraci Damasceno-14685.23
521548-Neeamia Arruda-2188.16
681676-Regina Barcellos-1239.32
682534-Leonidas Mafra-17506.65
103956-Andreia Moita-12979.84
8456-Basilio Pedroso-2453.04
962335-Carminda Morais-8449.87
593611-Elisa Themes-14125.23
635729-Oliveira Carmona-11136.60
577595-Sofras Cuaresma-19974.02
658789-Emedlia Silvera-166.00
773337-Almor Caiado-2571.21
79358-Delfina Garcia de Gondim-18838.03
639291-Guida Juca-11320.02
361301-Estanislau Beserra-866.22
509158-Gaudancio Fiees-9066.31
864375-Jorgina Bogalho-12425.93
259894-Tibefarcio Colao-1677.03
910579-Filomena Barrios-12123.39
961454-Mercia Caeira-17429.16
396391-Tabalipa Duarte-20365.75
353926-Jonatas Felgueiras-18138.65
127429-Jorgina Bogalho-14714.60
349510-Emedlio Pimentel-7736.16
236358-Polibe Olivares-18059.77
624049-Odete Vasques-50.03
316148-Judite Damasceno-6368.67
995201-Heleedsa Marins-14831.27
230345-Odilia Bello-365.54
609488-Flamednia Leiria-14615.16
422907-Aludsio Sosa-20619.12
319695-Jorgina Bogalho-11587.82
854104-Lurdes Cotrim-11184.26
191457-Melinda Roserio-20647.75
46994-Neeamia Arruda-14535.28
524670-Edgar Carvalheiro-5826.69
