891343-Marilda Leio-5959.78
292389-Moaci Mendoa-13032.88
559827-Feledcia Peassego-13932.49
118921-Aludsio Sosa-16338.99
147265-Leonidas Mafra-13187.12
695462-Lina Andrade-4934.20
348687-Quintiliano Sousa de Arronches-9945.85
182280-Clara Alcantara-15161.19
779326-Polibe Olivares-9050.46
149891-Oliveira Senchez-1823.65
562111-Augusta Paio-15642.56
248474-Ermelinda Quintela-5530.65
688192-Estanislau Beserra-16956.24
346786-Almor Caiado-7182.60
186590-Leonidas Mafra-2259.23
414000-Judite Damasceno-4736.19
770912-Armanda Amorim-9009.67
588990-Delfim Higuera-8906.66
837812-Guaraci Damasceno-14884.45
895540-Rebeca Neto-6521.12
101968-Angelica Aranha-14666.74
286683-Clara Alcantara-10264.39
275373-Camila Gabeira-3926.43
512612-Emedlio Pimentel-13819.90
681767-Clarindo Areosa-7656.93
562678-Cassandra Varejo-18521.07
863532-Andreia Moita-3983.94
749445-Odilia Camello-15919.83
787124-Basilio Pedroso-10113.37
354071-Judite Damasceno-16612.33
801902-Honorina Lira-1398.51
21960-Danilo Olaio-13381.38
790283-Taercio Mafra-1169.30
215753-Adelina Quadros-169.59
900941-Ximena Castilho-5246.40
509464-Gaudancio Fiees-8112.03
736785-Angilica Galante-13700.67
447942-Antonio Castelo-10483.32
825215-Danilo Olaio-13621.19
164283-Emiliana Foquio-10689.90
615037-Antonio Viegas-3513.08
255940-Clara Alcantara-7733.30
335467-Angelica Aranha-7406.37
58161-Jussara Varanda-19488.53
287162-Odete Vasques-8212.70
725411-Micaela Chavez-18787.79
270557-Flamednia Leiria-13000.32
209864-Mercia Caeira-21334.80
165027-Moaci Mendoa-9748.22
941154-Tarrataca Soares-14599.86
982840-Augusta Paio-20936.01
359351-Adelino Barra-473.73
390073-Clara Alcantara-6427.09
866731-Guida Juca-21247.67
785586-Neuza Francia-15805.71
344757-Jorgina Bogalho-19232.96
623274-Clara Alcantara-7100.83
968318-Silvio Mata-4868.09
162037-Branco Saraba-6979.74
991555-Rebeca Neto-2074.32
810945-Dulce Froes-6764.15
938460-Cleusa Goes-972.90
912413-Emedlia Silvera-19556.80
523087-Anind Zarco-20735.47
502587-Flamednia Leiria-4678.49
751856-Feledcia Peassego-19581.94
296709-Guida Juca-9133.33
390283-Cassandra Varejo-8508.18
964169-Carminda Morais-6714.96
392638-Cleusa Goes-17374.88
290918-Celeste Duarte-8228.15
823101-Nuno Balsemeo-4262.70
728777-Flamednia Leiria-13211.82
343413-Urbano Rodrigues-21007.05
241521-Eurico Siqueira-4187.25
226617-Feledcia Peassego-13914.76
24110-Basilio Pedroso-4552.89
904559-Manuel Capiperibe-10576.80
594179-Guida Juca-10371.60
774350-Telma Villalobos-13685.53
386226-Quintiliano Sousa de Arronches-13643.60
412647-Polibe Olivares-9707.00
729317-Eurico Siqueira-2349.45
242661-Tibofarcio Camacho-19472.88
819409-Domingos Pas-17900.46
245149-Polibe Olivares-13437.89
380990-Edgar Carvalheiro-3843.29
366559-Odete Vasques-17692.34
170173-Sara Lameiras-16903.45
470221-Romo Paranage-8456.35
774612-Almor Caiado-15900.21
894289-Danilo Olaio-3049.50
800418-Domingos Pas-13826.80
889058-Ubaldo Mainha-3364.39
716002-Sofras Cuaresma-13872.58
751132-Fulvio Villegas-7080.20
779008-Augusta Paio-2569.17
96340-Urbano Rodrigues-9472.84
609763-Anind Zarco-14824.54
283447-Nuno Balsemeo-3864.40
26381-Antonio Viegas-15442.15
645837-Ximena Castilho-14836.26
964915-Judite Damasceno-6309.42
228745-Odilia Bello-3073.48
297092-Adelina Quadros-4660.64
927829-Rodolfo Paz-15258.15
347574-Joaquim Rufino-5831.10
613141-Sara Lameiras-2407.23
112737-Esperada Cardoso-15563.33
473245-Augusta Paio-12721.33
985367-Jonatas Felgueiras-7566.75
518977-Estanislau Beserra-13743.21
519427-Estanislau Beserra-19482.86
199681-Henrique Bento-5660.31
835106-Marilda Leio-13223.28
212406-Lina Andrade-17122.56
642139-Moaci Mendoa-9321.20
472591-Melinda Roserio-15137.33
103026-Quintiliano Sousa de Arronches-9313.62
703617-Telma Villalobos-8753.52
228232-Sidfnio Frois-438.54
541-Mercia Caeira-268.89
398480-Micaela Chavez-11294.08
738819-Anind Zarco-4391.24
943322-Flamednia Leiria-4399.59
211637-Liana Cardim-3716.88
294898-Almerinda Palmeira-9423.30
4816-Emedlia Silvera-2613.19
437732-Anfnia Seixas-14234.22
203409-Delfina Garcia de Gondim-16161.26
134351-Mercia Caeira-12258.71
224235-Emedlio Pimentel-17968.71
151602-Sara Lameiras-5177.86
397719-Armanda Amorim-1670.41
158627-Guaraci Damasceno-10519.84
764122-Eurico Siqueira-14911.96
142034-Cleusa Goes-8630.07
639936-Adelina Quadros-18980.12
387323-Judite Damasceno-5419.66
496932-Odilia Camello-4986.86
474713-Delfina Garcia de Gondim-8928.20
306032-Daniel Vieyra-3335.61
509868-Adelino Barra-1952.29
154704-Heleedsa Marins-2786.27
407516-Odete Vasques-11497.85
136116-Rebeca Neto-19835.49
552908-Tabalipa Duarte-1972.08
300033-Artur Grillo-10178.48
882785-Odete Vasques-16642.35
887839-Telma Villalobos-9202.48
535164-Lurdes Cotrim-18087.23
52992-Odete Vasques-785.45
958217-Sara Lameiras-515.72
165671-Augusta Paio-7097.26
414172-Oliveira Senchez-3446.50
647044-Anfnia Seixas-15437.86
592275-Quintiliano Sousa de Arronches-3838.55
544763-Elisa Themes-21021.55
25677-Armindo Castalo-5175.55
472749-Danilo Olaio-13484.42
122091-Almor Caiado-19159.78
591704-Armindo Castalo-12985.47
622175-Flor Portella-12930.22
881459-Quintino Alcantara-2697.04
767274-Rodolfo Paz-5431.18
954601-Joaquim Rufino-10177.65
207562-Edgar Carvalheiro-10373.57
668191-Urbano Rodrigues-14649.02
976425-Zulmira Becerra-20509.28
35938-Silvio Mata-11899.17
860016-Tibofarcio Camacho-15280.39
407020-Eurico Siqueira-18106.30
15685-Angelica Aranha-2237.69
679529-Urbano Rodrigues-12576.50
585960-Antonio Viegas-8959.34
142493-Basilio Pedroso-2884.05
1598-Heleedsa Marins-14186.13
716182-Trajano Fagundes-1887.97
102630-Mercia Caeira-19117.74
43728-Filomena Barrios-18093.26
427315-Anfnia Seixas-8017.02
821258-Delfina Garcia de Gondim-6976.26
762198-Danilo Olaio-15756.41
241056-Edgar Carvalheiro-13398.37
423504-Basilio Pedroso-6999.39
723714-Adelino Barra-5.98
305082-Heleedsa Marins-7856.00
243531-Feledcia Peassego-12913.16
600177-Anfnia Seixas-14724.19
400696-Neuza Francia-18464.62
117839-Flor Portella-16144.06
390048-Flamednia Leiria-5447.44
809028-Delfina Garcia de Gondim-20835.06
996954-Flamednia Leiria-10812.63
351638-Celeste Duarte-21026.87
640354-Trajano Fagundes-13959.27
334056-Marilda Leio-21262.32
640305-Augusta Paio-10359.92
259998-Henrique Bento-17375.92
169560-Armindo Castalo-19869.93
921280-Flamednia Leiria-8266.27
375176-Dulce Froes-19320.17
454620-Neeamia Arruda-6713.42
691648-Marilda Leio-15633.39
282143-Artur Grillo-15706.91
812065-Edgar Carvalheiro-15893.31
940258-Edgar Carvalheiro-19076.65
668322-Augusta Paio-17968.22
228789-Cleusa Goes-14455.98
724291-Rodolfo Paz-6182.84
682204-Delfina Perdigon-11242.06
78899-Daniel Vieyra-16175.81
702930-Heleedsa Marins-6485.52
865551-Rebeca Neto-19402.43
291467-Urbano Rodrigues-3900.42
920533-Cassandra Varejo-9928.54
476465-Zungela Ipiranga-16017.94
297049-Emedlio Pimentel-8549.79
109465-Cleusa Goes-437.24
30241-Odete Vasques-6404.48
460074-Zungela Ipiranga-1966.47
516803-Jonatas Felgueiras-3267.26
106828-Edgar Carvalheiro-15754.29
39177-Anfnia Seixas-17312.94
343508-Domingos Pas-18755.86
822405-Mercia Caeira-19635.06
665277-Marilda Leio-12434.99
689828-Rodolfo Paz-18417.96
536365-Feledcia Peassego-4994.22
497589-Tibefarcio Colao-11014.52
743060-Zungela Ipiranga-13399.12
710412-Leonidas Mafra-20414.29
774820-Urbano Rodrigues-8430.52
390904-Ermelinda Quintela-5636.08
250314-Fulvio Villegas-6189.51
667896-Silvio Mata-4322.90
455715-Fulvio Villegas-15929.55
