208988-Almor Caiado-19451.09
406510-Henrique Bento-13312.81
786997-Judite Damasceno-5675.22
530036-Odilia Camello-3831.93
769937-Regina Barcellos-454.73
961807-Emedlia Silvera-21459.07
600221-Antonio Viegas-2707.46
731612-Antonio Castelo-14058.15
759740-Manuel Capiperibe-8653.94
966994-Domingos Pas-15074.88
190136-Aludsio Sosa-8752.13
921291-Adelina Quadros-12056.20
813241-Clara Alcantara-839.23
259796-Andreia Moita-18464.53
18821-Adelino Barra-15507.40
948001-Odilia Bello-3672.18
857488-Telma Villalobos-14688.18
392798-Clarindo Areosa-10120.66
956561-Antonio Castelo-4173.42
644975-Moaci Mendoa-11573.09
824406-Manuel Capiperibe-6560.15
145662-Basilio Pedroso-7049.37
747862-Carminda Morais-13397.50
388436-Antonio Castelo-11695.26
705941-Trajano Fagundes-5520.61
12594-Rodolfo Paz-3765.26
742619-Flamednia Leiria-13523.83
218961-Camila Gabeira-13092.92
510284-Sidfnio Frois-11867.65
711948-Ximena Castilho-13664.10
917966-Gaudancio Fiees-9927.51
337328-Silvio Mata-20108.97
376544-Cassandra Varejo-14571.61
855316-Almerinda Palmeira-20465.49
303679-Andreia Moita-20147.72
491572-Lurdes Cotrim-14073.00
897154-Letedcia Gago-2225.59
636997-Joaquim Rufino-8787.78
959067-Armanda Amorim-4868.05
106752-Ubaldo Mainha-20595.17
596101-Tarrataca Soares-6619.51
584547-Flor Portella-14642.89
26085-Artur Grillo-13771.82
733958-Mercia Caeira-4845.53
967960-Moaci Mendoa-6328.57
263266-Antonio Castelo-12253.48
600579-Oliveira Senchez-4817.62
321037-Joaquim Rufino-20183.99
850141-Armindo Castalo-4048.74
144453-Oliveira Senchez-3534.98
365300-Almor Caiado-8740.94
337089-Antonio Castelo-4751.94
721834-Melinda Roserio-20092.21
783748-Ermelinda Quintela-3734.71
911267-Esperada Cardoso-10324.39
326685-Antonio Castelo-2432.18
558948-Filomena Barrios-5298.19
350675-Nuno Balsemeo-10971.40
920827-Moaci Mendoa-11069.90
296041-Moaci Mendoa-17461.35
704616-Mercia Caeira-860.16
580871-Carminda Morais-14143.53
745782-Letedcia Gago-12995.92
608599-Joaquim Rufino-11988.92
24636-Anind Zarco-10113.19
297574-Romo Paranage-6041.62
435337-Tabalipa Duarte-13847.21
335079-Quintino Alcantara-14280.72
666502-Manuel Capiperibe-16129.93
355968-Gaudancio Fiees-2788.05
542935-Sara Lameiras-16325.10
339854-Manuel Capiperibe-20410.91
331274-Danilo Olaio-8213.53
575983-Estanislau Beserra-14979.61
775235-Clarindo Areosa-2605.02
413344-Tibefarcio Colao-20368.00
786278-Manuel Capiperibe-16097.52
978266-Jonatas Felgueiras-16086.03
826697-Delfina Perdigon-19042.70
665359-Flamednia Leiria-7541.42
155057-Daniel Vieyra-6592.01
661093-Quintino Alcantara-3460.57
36907-Armindo Castalo-2899.05
4333-Adelina Quadros-3524.81
863472-Clarindo Areosa-9072.56
74647-Odilia Bello-8391.86
931840-Antonio Castelo-3914.89
26702-Romo Paranage-939.83
709910-Almerinda Palmeira-10438.10
902291-Ubaldo Mainha-529.92
899886-Clarindo Areosa-10151.47
407311-Leonidas Mafra-18688.08
521789-Camila Gabeira-18808.45
505455-Artur Grillo-2033.65
966907-Trajano Fagundes-1827.45
414430-Neuza Francia-6828.20
694654-Daniel Vieyra-1602.68
726566-Heleedsa Marins-21472.95
877948-Nuno Balsemeo-16295.21
815302-Almerinda Palmeira-2199.40
