142991-Guaraci Damasceno-4000.03
597978-Micaela Chavez-5526.50
699956-Basilio Pedroso-5141.22
356355-Artur Grillo-13088.73
236766-Leonidas Mafra-2213.18
766654-Honorina Lira-1504.52
242818-Odilia Bello-16248.11
371827-Marilda Leio-2645.22
248104-Letedcia Gago-7920.46
329567-Tibefarcio Colao-4935.11
742389-Mercia Caeira-14376.54
638588-Spnia ou Sonia Guerreiro-18312.52
104553-Mercia Caeira-19579.52
371921-Urbano Rodrigues-18308.25
436836-Micaela Chavez-2555.78
394846-Almor Caiado-2823.45
388397-Sara Lameiras-14935.88
101021-Delfim Higuera-21269.60
980584-Odete Vasques-6107.24
231393-Sofras Cuaresma-13650.53
512485-Filomena Barrios-11693.12
312604-Quintino Alcantara-17309.51
279044-Nuno Balsemeo-4535.72
851311-Branco Saraba-11689.44
813007-Emiliana Foquio-9478.97
93073-Judite Damasceno-14852.92
824776-Trajano Fagundes-12401.96
884211-Antonio Viegas-16482.97
465238-Sidfnio Frois-4517.94
608462-Odilia Bello-6790.26
263099-Judite Damasceno-3820.55
572142-Cleusa Goes-21083.67
649920-Guaraci Damasceno-21156.46
196390-Tibefarcio Colao-9180.14
84259-Quintiliano Sousa de Arronches-19718.27
550293-Anind Zarco-12034.36
877500-Ermelinda Quintela-9107.77
792345-Estanislau Beserra-5711.78
183007-Daniel Vieyra-4491.60
297591-Andreia Moita-13367.68
982016-Oliveira Senchez-15800.31
978670-Heleedsa Marins-4691.20
442494-Mercia Caeira-19827.70
994393-Urbano Rodrigues-16364.82
489938-Sidfnio Frois-12610.83
882315-Zulmira Becerra-11121.50
82724-Spnia ou Sonia Guerreiro-14720.27
995913-Eurico Siqueira-16868.20
206552-Sidfnio Frois-17360.02
727929-Feledcia Peassego-828.16
275087-Zulmira Becerra-2397.98
876862-Ximena Castilho-12287.77
362211-Neuza Francia-4857.36
10178-Rodolfo Paz-6117.30
188426-Jorgina Bogalho-6282.20
193610-Clarindo Areosa-14831.03
151508-Eurico Siqueira-3667.02
886896-Jussara Varanda-6666.98
316688-Quintiliano Sousa de Arronches-18839.04
906124-Telma Villalobos-1751.48
780018-Cassandra Varejo-5144.23
685116-Odete Vasques-11363.00
709914-Branco Saraba-20016.62
537034-Jonatas Felgueiras-9311.89
846516-Sofras Cuaresma-9903.78
755321-Quintiliano Sousa de Arronches-20035.71
813744-Gaudancio Fiees-8792.39
415637-Rebeca Neto-6756.42
353344-Micaela Chavez-19639.59
293521-Regina Barcellos-8983.81
566463-Romo Paranage-9631.61
121483-Gaudancio Fiees-15908.47
486307-Odilia Camello-11030.73
70724-Domingos Pas-14826.10
901832-Lurdes Cotrim-709.73
953217-Judite Damasceno-2767.28
623546-Anind Zarco-10645.42
995544-Leonidas Mafra-17589.57
65124-Heleedsa Marins-18993.11
555189-Melinda Roserio-10741.21
193669-Heleedsa Marins-15136.87
772003-Zulmira Becerra-13103.25
650701-Moaci Mendoa-16928.11
708326-Neuza Francia-9993.98
955056-Silvio Mata-19893.00
95669-Daniel Vieyra-9957.70
323775-Anfnia Seixas-16493.93
790884-Romo Paranage-219.05
900242-Zungela Ipiranga-10749.70
1243-Tarrataca Soares-2500.42
967307-Tibofarcio Camacho-20172.36
127508-Regina Barcellos-4485.24
134259-Polibe Olivares-9751.75
213825-Urbano Rodrigues-13038.83
419593-Adelina Quadros-2183.54
598079-Odilia Camello-8564.50
20956-Eurico Siqueira-9267.74
985618-Aludsio Sosa-13085.65
907700-Flor Portella-5299.81
173252-Odilia Camello-5549.82
