93426-Jorgina Bogalho-4821.78
742999-Odilia Bello-8691.34
911819-Celeste Duarte-16337.07
155248-Ubaldo Mainha-4640.46
323557-Domingos Pas-12017.98
967515-Micaela Chavez-4004.99
121784-Sidfnio Frois-7889.87
34948-Armindo Castalo-16926.96
921011-Delfina Garcia de Gondim-3231.24
454114-Augusta Paio-15676.43
19076-Ubaldo Mainha-15737.37
162181-Jonatas Felgueiras-12069.96
3354-Danilo Olaio-2924.24
684927-Andreia Moita-3535.79
209675-Delfina Garcia de Gondim-16759.03
119157-Urbano Rodrigues-7403.87
6074-Zungela Ipiranga-18625.09
308258-Quintiliano Sousa de Arronches-5380.60
399424-Clarindo Areosa-6629.81
733252-Artur Grillo-17694.35
377267-Dulce Froes-8919.70
715714-Guida Juca-20301.33
188522-Tabalipa Duarte-18956.52
368649-Cleusa Goes-4628.54
111006-Branco Saraba-10930.63
167586-Domingos Pas-11791.82
206883-Delfina Garcia de Gondim-12511.88
749834-Odilia Camello-7320.13
505163-Domingos Pas-14634.12
384338-Jorgina Bogalho-9966.62
906652-Joaquim Rufino-9795.56
198236-Sofras Cuaresma-18942.71
969384-Clarindo Areosa-3149.76
680972-Feledcia Peassego-228.61
488248-Romo Paranage-14819.72
198417-Edgar Carvalheiro-15991.40
295348-Andreia Moita-7748.63
417176-Eurico Siqueira-19456.13
115201-Guaraci Damasceno-3616.34
277732-Antonio Viegas-6410.19
907937-Eurico Siqueira-564.42
508542-Emedlio Pimentel-1816.40
758079-Judite Damasceno-761.26
176254-Oliveira Carmona-323.23
447996-Honorina Lira-4038.11
782978-Augusta Paio-7190.10
816711-Manuel Capiperibe-17183.05
555268-Ubaldo Mainha-9692.39
306908-Tibefarcio Colao-11573.54
987407-Delfim Higuera-7981.48
330017-Moaci Mendoa-16610.56
228357-Filomena Barrios-3430.81
430845-Jorgina Bogalho-10218.39
609651-Tarrataca Soares-12980.15
133425-Cleusa Goes-16344.63
662229-Daniel Vieyra-9767.62
330944-Danilo Olaio-5040.96
862807-Almor Caiado-14676.51
524002-Emiliana Foquio-3044.74
336046-Urbano Rodrigues-6254.61
166925-Guida Juca-12797.92
439644-Filomena Barrios-10995.36
352438-Mercia Caeira-19789.67
391043-Ubaldo Mainha-20855.77
236432-Nuno Balsemeo-14422.26
925909-Cleusa Goes-15308.89
108834-Trajano Fagundes-18032.20
113261-Quintino Alcantara-8865.99
872716-Clarindo Areosa-7266.39
502402-Delfim Higuera-16849.75
763699-Urbano Rodrigues-1076.58
113599-Danilo Olaio-3460.98
27942-Adelino Barra-4344.51
297509-Delfina Garcia de Gondim-4488.42
98556-Regina Barcellos-4215.94
362727-Armindo Castalo-7565.20
905703-Telma Villalobos-251.45
544197-Oliveira Senchez-20932.59
349827-Moaci Mendoa-14876.48
629503-Almor Caiado-15131.50
370630-Moaci Mendoa-8204.30
419579-Odilia Camello-10705.44
521057-Camila Gabeira-4590.88
589559-Angilica Galante-79.02
751087-Regina Barcellos-10150.01
655419-Artur Grillo-8198.80
964784-Romo Paranage-3993.02
493774-Melinda Roserio-2573.62
137901-Manuel Capiperibe-18617.12
421167-Artur Grillo-12218.58
195971-Moaci Mendoa-11107.45
629237-Neeamia Arruda-6606.81
676963-Artur Grillo-9712.02
658881-Cassandra Varejo-18737.91
998740-Emedlia Silvera-11590.59
416620-Quintiliano Sousa de Arronches-2692.31
387486-Oliveira Senchez-7351.95
987469-Celeste Duarte-652.06
362533-Guaraci Damasceno-12933.43
901747-Delfina Garcia de Gondim-8512.81
