185777-Armindo Castalo-3163.82
729192-Cleusa Goes-15528.02
827334-Adelino Barra-417.70
303165-Armanda Amorim-3298.72
665543-Basilio Pedroso-15348.91
477527-Heleedsa Marins-8971.27
433540-Melinda Roserio-12287.88
35556-Almerinda Palmeira-6011.97
539047-Adelina Quadros-8621.63
523035-Celeste Duarte-2120.34
739119-Antonio Castelo-14072.20
430784-Aludsio Sosa-4864.65
943909-Neeamia Arruda-12682.93
284862-Anind Zarco-5881.12
546775-Polibe Olivares-8747.78
437143-Filomena Barrios-14542.55
152492-Emedlio Pimentel-18936.89
912508-Angilica Galante-13152.41
669310-Spnia ou Sonia Guerreiro-9032.96
115611-Armanda Amorim-12338.19
333232-Micaela Chavez-8070.75
449096-Antonio Castelo-18345.05
366800-Filomena Barrios-8549.66
54069-Estanislau Beserra-9312.50
129729-Edgar Carvalheiro-8893.14
96605-Zungela Ipiranga-3242.67
707299-Liana Cardim-1639.36
106035-Delfina Garcia de Gondim-1738.48
218595-Flamednia Leiria-5535.18
977682-Gaudancio Fiees-9906.33
287046-Mercia Caeira-2724.83
332464-Daniel Vieyra-8629.32
843127-Tibefarcio Colao-198.15
646369-Oliveira Carmona-20798.69
78061-Domingos Pas-9305.15
287393-Romo Paranage-2541.28
268244-Delfina Perdigon-9478.36
454156-Elisa Themes-20929.42
880684-Guaraci Damasceno-21431.60
119579-Odilia Bello-19606.54
177525-Rodolfo Paz-17574.58
826345-Estanislau Beserra-7933.06
980470-Urbano Rodrigues-17021.50
616515-Oliveira Senchez-14573.12
19341-Romo Paranage-6469.07
219371-Guaraci Damasceno-1457.10
202805-Manuel Capiperibe-14079.79
122135-Armindo Castalo-20324.33
406220-Liana Cardim-11868.30
691667-Eurico Siqueira-19219.49
126791-Carminda Morais-11766.43
44824-Manuel Capiperibe-19054.70
894863-Sidfnio Frois-16479.66
560060-Oliveira Senchez-12590.99
127187-Edgar Carvalheiro-16701.19
693269-Rodolfo Paz-16228.54
903968-Oliveira Senchez-14415.74
466583-Quintiliano Sousa de Arronches-12902.12
970796-Augusta Paio-13426.18
151556-Elisa Themes-48.26
502896-Polibe Olivares-4149.53
828215-Basilio Pedroso-6979.98
976329-Quintino Alcantara-17168.93
274013-Anind Zarco-13439.69
400340-Danilo Olaio-16590.96
433372-Cassandra Varejo-14453.06
176854-Odilia Bello-9567.26
415381-Leonidas Mafra-11411.93
603111-Branco Saraba-19441.64
620726-Filomena Barrios-12138.32
620511-Liana Cardim-9108.51
747287-Joaquim Rufino-6451.95
376455-Jonatas Felgueiras-12101.72
488486-Daniel Vieyra-129.62
699894-Regina Barcellos-6583.62
30020-Andreia Moita-16457.96
247293-Almor Caiado-9734.89
38165-Dulce Froes-494.21
557475-Anind Zarco-9060.24
211444-Trajano Fagundes-4351.61
175387-Oliveira Carmona-5587.81
608798-Oliveira Carmona-3060.45
40150-Honorina Lira-15824.22
880658-Trajano Fagundes-17409.10
690383-Polibe Olivares-20406.10
112864-Sara Lameiras-20041.56
357721-Urbano Rodrigues-11069.20
845276-Telma Villalobos-7904.75
9408-Urbano Rodrigues-1975.48
369968-Regina Barcellos-6707.60
78514-Delfim Higuera-674.52
121588-Manuel Capiperibe-9500.60
876463-Jorgina Bogalho-18691.00
319466-Rodolfo Paz-2464.97
724612-Aludsio Sosa-17211.88
492240-Zungela Ipiranga-15098.17
55723-Estanislau Beserra-10576.91
624619-Flor Portella-13215.36
130661-Polibe Olivares-12950.62
144257-Jorgina Bogalho-7749.48
