620665-Manuel Capiperibe-19413.96
870977-Melinda Roserio-20432.61
354938-Sidfnio Frois-17692.84
51232-Liana Cardim-4848.14
372906-Silvio Mata-19460.48
15484-Nuno Balsemeo-20522.78
380073-Angilica Galante-21364.58
138075-Silvio Mata-15261.22
122905-Odilia Camello-9351.77
414474-Melinda Roserio-15379.94
394266-Oliveira Senchez-4931.31
963280-Honorina Lira-7280.02
6244-Ximena Castilho-7603.57
69580-Andreia Moita-1849.24
902391-Neeamia Arruda-9942.97
626778-Guaraci Damasceno-12713.13
38600-Odete Vasques-12232.09
309307-Tarrataca Soares-14523.47
816645-Marilda Leio-989.87
908618-Delfina Perdigon-14304.01
805134-Melinda Roserio-12673.12
97809-Cleusa Goes-1567.91
167360-Clara Alcantara-273.14
37058-Andreia Moita-13403.83
720563-Guaraci Damasceno-15392.86
968132-Odilia Camello-12574.29
10279-Odilia Bello-13364.68
543402-Zulmira Becerra-9932.93
681991-Delfina Perdigon-15861.10
30206-Emiliana Foquio-11335.35
372387-Anfnia Seixas-13733.40
845551-Melinda Roserio-20994.38
320675-Augusta Paio-10601.22
669049-Zungela Ipiranga-246.75
941907-Clarindo Areosa-16253.96
512154-Delfina Garcia de Gondim-13658.80
911627-Emiliana Foquio-12984.07
36751-Gaudancio Fiees-14119.50
509249-Jonatas Felgueiras-10851.48
484730-Sidfnio Frois-12531.79
861316-Zulmira Becerra-13065.51
549625-Clara Alcantara-17383.96
545641-Liana Cardim-11292.33
339256-Jorgina Bogalho-2394.19
549108-Antonio Castelo-14013.61
44883-Aludsio Sosa-13143.89
969711-Delfina Perdigon-12498.17
878545-Almor Caiado-2833.71
597044-Odilia Camello-20148.80
425500-Urbano Rodrigues-1008.81
305236-Liana Cardim-2667.42
41386-Odilia Bello-16322.92
731761-Lurdes Cotrim-593.54
543720-Honorina Lira-20176.93
30673-Adelina Quadros-2577.58
913184-Jussara Varanda-6138.03
708441-Ermelinda Quintela-482.89
910370-Clara Alcantara-20451.68
578725-Anind Zarco-11552.81
395498-Cleusa Goes-11122.23
907247-Jonatas Felgueiras-9020.45
970006-Micaela Chavez-18980.86
945678-Augusta Paio-19048.18
671291-Odilia Camello-19823.62
815894-Eurico Siqueira-79.09
321394-Feledcia Peassego-19018.22
732649-Judite Damasceno-4400.47
477638-Micaela Chavez-12159.57
593112-Carminda Morais-13465.36
104672-Quintino Alcantara-19169.31
980696-Odilia Bello-20328.38
115204-Andreia Moita-8533.25
57821-Zungela Ipiranga-1167.87
354188-Armindo Castalo-9524.58
343562-Adelino Barra-14522.74
607754-Daniel Vieyra-8701.12
675295-Telma Villalobos-5203.61
32250-Daniel Vieyra-16528.38
73515-Ermelinda Quintela-2559.48
912486-Guida Juca-4920.53
974664-Angelica Aranha-3145.50
597989-Nuno Balsemeo-21376.65
307494-Micaela Chavez-11512.39
351294-Almor Caiado-17095.93
273107-Sara Lameiras-15354.53
619960-Manuel Capiperibe-8865.77
788685-Tibofarcio Camacho-3767.69
4075-Antonio Viegas-543.17
692852-Feledcia Peassego-19643.91
917390-Fulvio Villegas-8198.20
105890-Zulmira Becerra-20277.95
132897-Angilica Galante-479.09
1119-Tarrataca Soares-10732.16
656236-Lina Andrade-5660.84
769539-Trajano Fagundes-5088.73
673275-Sidfnio Frois-9094.93
688837-Odete Vasques-15222.82
581580-Liana Cardim-6398.02
312790-Augusta Paio-16254.95
991932-Letedcia Gago-15309.29
