136471-Anfnia Seixas-14527.09
315740-Tibefarcio Colao-13867.91
716932-Domingos Pas-6064.97
658501-Delfina Perdigon-11191.12
37515-Almerinda Palmeira-11253.39
712534-Sidfnio Frois-14243.77
285155-Sara Lameiras-9917.53
42163-Artur Grillo-18339.03
819979-Armindo Castalo-14629.41
321291-Marilda Leio-12937.36
132738-Filomena Barrios-13138.73
841847-Oliveira Senchez-18291.88
832492-Jorgina Bogalho-8624.22
446322-Taercio Mafra-21360.80
144103-Romo Paranage-12216.34
210758-Almor Caiado-19603.46
962094-Tarrataca Soares-16971.48
839677-Andreia Moita-1977.07
508844-Almor Caiado-4755.27
382257-Nuno Balsemeo-9528.48
691272-Anind Zarco-11059.81
709515-Emedlia Silvera-33.39
35042-Zungela Ipiranga-6011.71
857895-Melinda Roserio-4941.34
309341-Flor Portella-19092.78
100224-Antonio Castelo-9850.05
784679-Sofras Cuaresma-19379.67
221768-Clara Alcantara-13053.23
77874-Esperada Cardoso-20628.32
391129-Ximena Castilho-15107.31
440499-Flamednia Leiria-20914.22
878807-Tarrataca Soares-9626.48
21795-Quintino Alcantara-16586.83
102746-Telma Villalobos-4910.57
263810-Letedcia Gago-7263.66
575206-Romo Paranage-13424.67
749469-Jorgina Bogalho-16162.51
71754-Jorgina Bogalho-3919.90
616928-Zulmira Becerra-16510.67
688618-Zungela Ipiranga-4139.75
608116-Daniel Vieyra-1219.32
24511-Camila Gabeira-20888.11
779652-Jorgina Bogalho-17013.49
706031-Sara Lameiras-19694.51
766321-Jussara Varanda-7342.32
620978-Almerinda Palmeira-13648.07
997112-Delfina Perdigon-15265.56
856817-Daniel Vieyra-7691.44
39770-Taercio Mafra-14377.61
571168-Ximena Castilho-18604.50
349620-Zulmira Becerra-8425.74
66397-Liana Cardim-16375.99
431016-Augusta Paio-21013.79
994869-Neeamia Arruda-6876.01
132205-Sofras Cuaresma-378.84
119660-Jonatas Felgueiras-20615.04
90162-Guida Juca-13010.18
828392-Taercio Mafra-18418.75
72469-Celeste Duarte-6944.31
383915-Mercia Caeira-20690.02
670212-Delfina Garcia de Gondim-10338.68
888211-Jorgina Bogalho-18279.34
433070-Dulce Froes-11188.82
842938-Estanislau Beserra-5653.93
220559-Celeste Duarte-6585.25
829745-Edgar Carvalheiro-21246.45
762053-Anind Zarco-20112.51
766953-Adelina Quadros-19345.96
916199-Marilda Leio-1391.85
826721-Guaraci Damasceno-4235.69
219840-Almerinda Palmeira-10542.39
187320-Almor Caiado-56.44
753674-Cleusa Goes-15140.77
731257-Augusta Paio-8384.36
309748-Manuel Capiperibe-20956.57
771821-Nuno Balsemeo-17250.03
254806-Tibefarcio Colao-10912.81
755814-Angelica Aranha-17210.48
164366-Feledcia Peassego-884.81
487530-Flamednia Leiria-19263.07
845529-Angelica Aranha-5050.44
71631-Edgar Carvalheiro-9622.31
748587-Rodolfo Paz-6405.01
823763-Mercia Caeira-16412.32
775678-Micaela Chavez-3570.58
285593-Lina Andrade-11208.30
440463-Lina Andrade-16990.85
363155-Lurdes Cotrim-12453.57
398413-Artur Grillo-16015.21
618706-Estanislau Beserra-13145.25
407949-Letedcia Gago-3058.87
436356-Flamednia Leiria-17569.59
624840-Jussara Varanda-10532.24
890121-Polibe Olivares-14610.48
107841-Fulvio Villegas-13983.40
498558-Tabalipa Duarte-15236.25
892019-Ermelinda Quintela-18140.66
599331-Adelina Quadros-21334.29
838393-Romo Paranage-1213.44
74459-Trajano Fagundes-2119.62
