342032-Estanislau Beserra-18834.78
532181-Edgar Carvalheiro-21137.04
704767-Clarindo Areosa-3654.41
546086-Rebeca Neto-3457.17
917749-Cleusa Goes-2911.21
411230-Emedlio Pimentel-20045.79
285998-Taercio Mafra-912.67
492323-Delfina Garcia de Gondim-3530.77
975431-Romo Paranage-8211.86
587644-Leonidas Mafra-12606.71
60325-Emedlia Silvera-105.30
305964-Delfina Perdigon-5810.62
88549-Domingos Pas-11527.67
781072-Jussara Varanda-4518.29
693951-Neuza Francia-10237.47
922527-Heleedsa Marins-9886.75
287764-Emedlio Pimentel-2864.77
206810-Almor Caiado-16229.69
621839-Tibofarcio Camacho-7934.61
284173-Manuel Capiperibe-2805.65
186083-Micaela Chavez-1601.42
565818-Heleedsa Marins-489.64
681899-Adelina Quadros-1800.53
722730-Feledcia Peassego-11588.34
996437-Regina Barcellos-5750.44
390705-Joaquim Rufino-14619.67
880307-Clarindo Areosa-12877.71
636795-Camila Gabeira-6254.94
470298-Guida Juca-2986.32
6442-Clara Alcantara-10709.16
214104-Odilia Camello-11551.02
951669-Eurico Siqueira-2871.84
751318-Letedcia Gago-5808.66
834170-Ximena Castilho-2541.05
262663-Tarrataca Soares-18001.02
921843-Lina Andrade-12150.09
771996-Ubaldo Mainha-5034.06
99119-Flor Portella-19040.42
911889-Elisa Themes-14750.29
702089-Taercio Mafra-375.52
541011-Tibofarcio Camacho-9997.66
38036-Angilica Galante-772.34
982777-Clara Alcantara-21459.85
496486-Carminda Morais-19163.36
843883-Andreia Moita-19875.98
751624-Guida Juca-12360.37
625884-Zungela Ipiranga-6503.25
270779-Ximena Castilho-5169.40
442176-Trajano Fagundes-3113.69
729209-Sidfnio Frois-8270.71
932403-Domingos Pas-1971.28
270547-Gaudancio Fiees-7291.66
276754-Dulce Froes-3246.65
149276-Estanislau Beserra-13111.62
643547-Antonio Viegas-5525.22
756004-Cleusa Goes-7712.74
877352-Estanislau Beserra-12819.00
404251-Odilia Camello-12246.87
6200-Guida Juca-12251.29
120794-Armindo Castalo-15818.58
303530-Taercio Mafra-12183.07
768512-Liana Cardim-12895.77
951058-Jorgina Bogalho-20828.54
151542-Sofras Cuaresma-20315.20
687781-Adelina Quadros-13896.80
338791-Eurico Siqueira-19574.36
542767-Branco Saraba-6548.29
71706-Odilia Camello-1327.50
57431-Letedcia Gago-1477.56
895480-Henrique Bento-273.93
320645-Gaudancio Fiees-19566.97
873939-Filomena Barrios-4929.82
109750-Tibofarcio Camacho-84.49
494503-Neeamia Arruda-5016.01
557388-Trajano Fagundes-17412.88
658641-Oliveira Carmona-14201.44
517181-Liana Cardim-7742.03
307950-Ubaldo Mainha-4537.91
785375-Edgar Carvalheiro-9758.48
391632-Augusta Paio-5042.60
372282-Regina Barcellos-20135.81
176081-Leonidas Mafra-14059.71
557223-Gaudancio Fiees-15580.81
825166-Polibe Olivares-6470.92
612835-Estanislau Beserra-21316.49
596481-Fulvio Villegas-1218.24
532107-Camila Gabeira-18313.41
297066-Henrique Bento-20996.49
811961-Moaci Mendoa-39.51
82994-Lurdes Cotrim-10643.42
263661-Judite Damasceno-4202.31
141142-Estanislau Beserra-14374.07
300-Clara Alcantara-11104.81
824898-Armanda Amorim-15223.06
733774-Tibofarcio Camacho-4094.35
963765-Antonio Castelo-13090.32
337310-Armindo Castalo-18835.64
429880-Branco Saraba-6403.77
796831-Urbano Rodrigues-20071.89
44649-Lina Andrade-18367.88
