707607-Guaraci Damasceno-13088.58
241672-Feledcia Peassego-13376.47
661508-Rodolfo Paz-14248.07
931596-Ximena Castilho-19085.12
992421-Sofras Cuaresma-9226.65
419751-Heleedsa Marins-4811.78
163993-Neeamia Arruda-12269.30
557025-Angilica Galante-2630.00
97885-Romo Paranage-1691.59
447899-Dulce Froes-7380.99
49929-Armanda Amorim-2483.23
914076-Estanislau Beserra-13105.64
383117-Clarindo Areosa-9357.42
461550-Celeste Duarte-3531.90
241948-Flamednia Leiria-20161.82
986285-Artur Grillo-18891.19
114234-Spnia ou Sonia Guerreiro-16867.99
312356-Antonio Castelo-19003.56
528263-Adelina Quadros-10699.70
135497-Jorgina Bogalho-4179.34
737728-Micaela Chavez-7009.84
714392-Adelino Barra-10238.98
338231-Gaudancio Fiees-6027.98
285807-Estanislau Beserra-13382.59
261880-Andreia Moita-3160.18
902623-Oliveira Carmona-11350.04
237989-Tarrataca Soares-526.35
503676-Delfina Perdigon-3559.47
769287-Judite Damasceno-3039.92
193987-Sara Lameiras-18481.27
233592-Telma Villalobos-13613.81
595709-Odilia Camello-1526.12
522011-Quintiliano Sousa de Arronches-17069.50
706709-Regina Barcellos-10067.52
81400-Sara Lameiras-21080.14
154857-Clarindo Areosa-16384.33
346831-Zulmira Becerra-791.87
370372-Delfina Garcia de Gondim-8046.91
749801-Oliveira Carmona-19304.60
615708-Neuza Francia-14781.71
415991-Flamednia Leiria-1859.21
716933-Antonio Viegas-4495.16
916258-Lina Andrade-14320.38
913436-Camila Gabeira-19217.45
686368-Angilica Galante-1243.43
477004-Odilia Bello-2034.98
271627-Delfim Higuera-19008.45
217177-Leonidas Mafra-4607.31
593306-Delfina Garcia de Gondim-20784.81
477332-Esperada Cardoso-13816.13
4752-Feledcia Peassego-9355.46
913295-Jorgina Bogalho-14412.62
950057-Delfina Garcia de Gondim-17751.79
936918-Armanda Amorim-3926.08
676036-Urbano Rodrigues-7792.95
461995-Ermelinda Quintela-11037.72
197420-Lurdes Cotrim-3535.60
603947-Leonidas Mafra-7287.77
217957-Anfnia Seixas-4378.87
292385-Carminda Morais-19323.64
570276-Celeste Duarte-6178.85
252517-Anfnia Seixas-33.15
967522-Jussara Varanda-2412.65
720950-Ermelinda Quintela-8912.02
252214-Spnia ou Sonia Guerreiro-8123.94
610010-Taercio Mafra-21128.56
465547-Delfina Garcia de Gondim-21360.54
198360-Estanislau Beserra-9611.74
146119-Anfnia Seixas-15403.92
607680-Manuel Capiperibe-15092.00
682399-Cassandra Varejo-1982.87
302621-Oliveira Carmona-20885.40
217982-Sofras Cuaresma-11870.24
312037-Artur Grillo-10732.61
14574-Dulce Froes-15215.13
528313-Ubaldo Mainha-5086.39
813907-Regina Barcellos-3856.21
659335-Marilda Leio-9058.20
798127-Aludsio Sosa-3824.82
307236-Domingos Pas-8940.90
213050-Sidfnio Frois-16747.72
3971-Angilica Galante-15125.91
109645-Aludsio Sosa-18488.09
480130-Honorina Lira-1636.38
568696-Melinda Roserio-11446.52
51379-Spnia ou Sonia Guerreiro-12761.80
906526-Lurdes Cotrim-16619.94
331558-Flamednia Leiria-5081.70
930422-Ximena Castilho-6909.68
437426-Romo Paranage-5007.92
661308-Augusta Paio-18700.05
172344-Odilia Camello-11215.25
223051-Armindo Castalo-4061.51
330007-Telma Villalobos-21126.31
697810-Feledcia Peassego-6897.16
578674-Leonidas Mafra-12447.68
615313-Romo Paranage-15956.74
273274-Feledcia Peassego-17310.06
267269-Delfina Garcia de Gondim-4644.53
227066-Judite Damasceno-14838.90
