893249-Delfina Perdigon-9950.47
158515-Silvio Mata-17790.27
102187-Moaci Mendoa-21293.92
319670-Cleusa Goes-4202.89
733310-Lurdes Cotrim-10371.94
13394-Aludsio Sosa-6274.54
76998-Romo Paranage-5853.69
199697-Ximena Castilho-2945.57
120290-Spnia ou Sonia Guerreiro-20468.84
993378-Almor Caiado-10817.98
161128-Trajano Fagundes-912.08
821957-Estanislau Beserra-11323.66
192395-Honorina Lira-17734.68
457061-Almor Caiado-15123.04
687137-Camila Gabeira-1885.54
89450-Micaela Chavez-11115.67
168854-Filomena Barrios-3041.61
979936-Marilda Leio-1478.77
519986-Adelino Barra-15069.97
386373-Antonio Viegas-11015.07
122077-Neuza Francia-16106.68
421222-Filomena Barrios-6990.06
747662-Judite Damasceno-9831.99
982013-Tarrataca Soares-2961.72
21768-Elisa Themes-13928.59
255486-Odilia Bello-17499.49
942751-Armindo Castalo-7536.34
515545-Joaquim Rufino-151.30
645660-Regina Barcellos-10576.50
660161-Tibofarcio Camacho-4695.53
989171-Domingos Pas-21176.75
42292-Danilo Olaio-5546.13
945334-Camila Gabeira-18543.60
349540-Clarindo Areosa-17038.59
58229-Branco Saraba-5233.97
321063-Manuel Capiperibe-14976.52
667787-Manuel Capiperibe-9591.11
175401-Henrique Bento-16406.27
559953-Polibe Olivares-16892.73
458085-Oliveira Senchez-10044.49
863177-Aludsio Sosa-6679.55
969059-Jussara Varanda-7709.97
564986-Cassandra Varejo-2984.59
876056-Henrique Bento-10238.08
359331-Guida Juca-1643.83
701948-Sofras Cuaresma-562.20
26063-Oliveira Carmona-18108.88
467825-Lina Andrade-14375.80
556227-Angelica Aranha-12316.56
811255-Artur Grillo-5526.30
102930-Zulmira Becerra-5020.10
102386-Celeste Duarte-5429.79
198141-Dulce Froes-13745.44
686913-Elisa Themes-18324.20
34363-Melinda Roserio-652.96
294964-Antonio Castelo-17609.98
207849-Ximena Castilho-795.40
748475-Sidfnio Frois-695.24
432387-Delfina Garcia de Gondim-17460.80
388894-Letedcia Gago-18718.92
310860-Basilio Pedroso-9165.11
187458-Silvio Mata-9976.13
60980-Telma Villalobos-5223.28
909463-Almerinda Palmeira-13450.15
566096-Fulvio Villegas-8745.66
605460-Tabalipa Duarte-17818.61
864971-Ubaldo Mainha-12695.85
528768-Quintino Alcantara-2968.50
288604-Feledcia Peassego-5042.82
704432-Leonidas Mafra-14336.71
267042-Angelica Aranha-19419.82
839610-Trajano Fagundes-5496.85
391196-Celeste Duarte-1752.63
486786-Manuel Capiperibe-11171.72
35140-Odete Vasques-1042.55
362885-Flor Portella-15958.60
721025-Mercia Caeira-13532.42
102920-Branco Saraba-11872.87
525451-Angelica Aranha-3880.92
28492-Esperada Cardoso-1873.12
939650-Romo Paranage-11375.79
878209-Sidfnio Frois-15934.19
430202-Carminda Morais-20978.10
310123-Neuza Francia-18778.13
721237-Artur Grillo-6183.65
697909-Odilia Bello-5322.44
51453-Adelino Barra-12329.65
506072-Almor Caiado-6525.84
810241-Antonio Viegas-10081.10
396348-Adelino Barra-18981.38
169638-Silvio Mata-8995.94
924620-Rodolfo Paz-10764.73
881456-Odilia Bello-12789.03
101127-Heleedsa Marins-20292.13
9448-Nuno Balsemeo-3774.50
656162-Polibe Olivares-14931.48
679434-Angilica Galante-7157.16
460587-Marilda Leio-14622.22
44743-Camila Gabeira-18820.32
720505-Branco Saraba-3319.45
