778033-Oliveira Senchez-15333.45
892582-Armindo Castalo-3261.76
268157-Clara Alcantara-4040.97
131258-Almerinda Palmeira-11483.07
296513-Zulmira Becerra-3035.24
941034-Zulmira Becerra-1150.93
478041-Odilia Camello-11114.10
827767-Cleusa Goes-8994.23
386647-Augusta Paio-16857.47
271076-Delfina Perdigon-10558.87
765403-Emiliana Foquio-1731.82
718831-Edgar Carvalheiro-14320.74
826444-Domingos Pas-15943.42
923618-Anind Zarco-13019.90
198220-Almor Caiado-20312.86
551670-Almor Caiado-5067.44
622069-Esperada Cardoso-10792.22
757742-Nuno Balsemeo-11110.50
266619-Micaela Chavez-10979.53
243934-Clara Alcantara-2567.40
349416-Marilda Leio-9175.05
799450-Estanislau Beserra-11682.24
941834-Odete Vasques-11445.67
181517-Manuel Capiperibe-2220.07
727725-Branco Saraba-21302.05
314280-Liana Cardim-11262.73
477583-Tarrataca Soares-1954.12
84073-Estanislau Beserra-15211.69
596844-Emedlia Silvera-1729.52
372709-Lina Andrade-13991.96
552083-Eurico Siqueira-560.62
912999-Zungela Ipiranga-19718.62
864390-Angelica Aranha-10303.20
158061-Dulce Froes-19305.01
957975-Delfina Perdigon-15257.45
560645-Zulmira Becerra-1195.76
907104-Spnia ou Sonia Guerreiro-21220.54
475393-Odete Vasques-546.54
609632-Oliveira Carmona-12592.51
212820-Melinda Roserio-9791.40
556032-Neeamia Arruda-2702.08
404672-Quintiliano Sousa de Arronches-14531.21
993923-Cassandra Varejo-16649.86
150229-Dulce Froes-3526.60
313560-Cassandra Varejo-9656.18
198490-Tabalipa Duarte-12401.79
873040-Tibefarcio Colao-16830.86
959279-Nuno Balsemeo-12260.78
731303-Flamednia Leiria-9802.04
455729-Danilo Olaio-20434.16
376493-Fulvio Villegas-3774.89
359363-Artur Grillo-11948.93
236492-Oliveira Carmona-13688.87
433364-Ubaldo Mainha-20440.38
131496-Tibofarcio Camacho-12948.67
607668-Sofras Cuaresma-12515.82
143456-Romo Paranage-8929.72
765501-Odilia Camello-4144.47
525171-Adelino Barra-13371.79
52014-Guida Juca-16866.34
235093-Delfina Garcia de Gondim-7145.27
110138-Rebeca Neto-6244.03
139204-Angelica Aranha-12406.39
153978-Lurdes Cotrim-14460.73
828873-Quintiliano Sousa de Arronches-10237.21
638217-Spnia ou Sonia Guerreiro-14993.28
626302-Ermelinda Quintela-8449.88
216584-Odete Vasques-11827.54
400810-Jussara Varanda-4197.95
788611-Celeste Duarte-19628.47
109159-Rodolfo Paz-3485.99
918487-Angilica Galante-1422.25
137619-Oliveira Carmona-6493.64
760477-Leonidas Mafra-13875.18
420938-Ermelinda Quintela-5618.64
465268-Ermelinda Quintela-12855.02
91955-Fulvio Villegas-5036.44
206745-Almerinda Palmeira-20468.61
285268-Romo Paranage-6987.78
26123-Delfina Garcia de Gondim-17345.67
434097-Neuza Francia-7551.92
369330-Ximena Castilho-2856.27
707537-Sara Lameiras-15207.65
201564-Urbano Rodrigues-15345.25
768422-Silvio Mata-2234.62
572311-Feledcia Peassego-10299.28
220900-Henrique Bento-9105.36
857645-Ubaldo Mainha-7582.59
764399-Almor Caiado-9875.44
949981-Celeste Duarte-7880.87
15462-Zungela Ipiranga-18465.21
679582-Branco Saraba-5824.07
568831-Andreia Moita-19151.14
822415-Carminda Morais-6428.32
110663-Oliveira Senchez-3591.17
262449-Guaraci Damasceno-20876.89
432342-Danilo Olaio-8854.26
246644-Jussara Varanda-18922.84
438291-Zungela Ipiranga-19960.48
408094-Odete Vasques-16165.15
