61513-Fulvio Villegas-8169.15
582402-Anind Zarco-8781.16
419970-Carminda Morais-17182.59
101663-Antonio Viegas-2773.49
151021-Estanislau Beserra-21342.60
341908-Daniel Vieyra-282.86
338826-Flor Portella-11758.32
361953-Basilio Pedroso-511.21
555905-Nuno Balsemeo-13971.88
679866-Rodolfo Paz-20019.02
277415-Emiliana Foquio-4124.80
523560-Trajano Fagundes-13630.62
77920-Neeamia Arruda-18964.82
794639-Ximena Castilho-8371.00
158102-Marilda Leio-13952.51
784241-Marilda Leio-17495.93
787566-Delfim Higuera-9454.48
316910-Tibefarcio Colao-93.27
759379-Romo Paranage-9908.83
514601-Branco Saraba-4070.79
980682-Neuza Francia-13993.56
362216-Nuno Balsemeo-4473.96
376361-Taercio Mafra-14204.74
165582-Elisa Themes-11327.85
303432-Feledcia Peassego-11799.43
217747-Anfnia Seixas-16297.27
901710-Almor Caiado-5970.31
450590-Almerinda Palmeira-18383.48
603782-Liana Cardim-6506.24
460765-Romo Paranage-14591.38
736034-Odilia Bello-3086.35
491102-Clara Alcantara-1635.14
824725-Flor Portella-19018.90
156871-Angelica Aranha-7995.72
589205-Clara Alcantara-14288.76
789098-Delfim Higuera-16290.93
582108-Almor Caiado-14285.12
339763-Tarrataca Soares-20029.62
424018-Judite Damasceno-12560.82
390777-Odilia Bello-5850.59
952611-Odilia Camello-19917.96
870583-Flamednia Leiria-15938.03
700957-Danilo Olaio-7541.44
5301-Tibofarcio Camacho-13693.01
610960-Feledcia Peassego-21288.90
159682-Ermelinda Quintela-1331.96
952062-Flor Portella-14267.78
775665-Trajano Fagundes-5126.34
463754-Quintiliano Sousa de Arronches-16950.58
292060-Daniel Vieyra-16699.65
258832-Lina Andrade-8444.34
861106-Heleedsa Marins-6178.21
977449-Marilda Leio-14375.22
16927-Adelina Quadros-4290.43
112418-Flamednia Leiria-8726.54
600059-Sidfnio Frois-18008.14
697597-Elisa Themes-5482.83
823093-Heleedsa Marins-20070.58
427139-Edgar Carvalheiro-15730.38
113516-Ubaldo Mainha-20443.30
859341-Clara Alcantara-5851.05
433353-Dulce Froes-17989.67
810302-Zulmira Becerra-15544.60
331265-Nuno Balsemeo-17534.77
669466-Henrique Bento-10481.06
930461-Melinda Roserio-8672.23
870645-Feledcia Peassego-6924.36
104830-Emiliana Foquio-19522.60
972779-Emiliana Foquio-2072.03
898511-Trajano Fagundes-10083.17
821859-Sofras Cuaresma-6456.92
179081-Emedlia Silvera-11111.26
357112-Silvio Mata-18509.36
573262-Armanda Amorim-14717.84
349184-Lurdes Cotrim-13429.69
263134-Neeamia Arruda-14459.00
23851-Quintino Alcantara-19137.71
550692-Regina Barcellos-20258.75
168378-Clara Alcantara-1473.64
824312-Rebeca Neto-1207.79
843258-Domingos Pas-14686.01
451343-Spnia ou Sonia Guerreiro-7402.97
58731-Gaudancio Fiees-7011.70
126517-Clara Alcantara-6412.60
187982-Micaela Chavez-9896.09
355543-Cassandra Varejo-4713.88
261964-Celeste Duarte-8874.12
604842-Honorina Lira-6384.79
723622-Lurdes Cotrim-17316.48
561796-Emedlia Silvera-14449.88
200176-Mercia Caeira-18228.31
47158-Sofras Cuaresma-13027.99
536097-Augusta Paio-16838.58
960943-Liana Cardim-2255.01
685666-Eurico Siqueira-8286.89
896083-Jonatas Felgueiras-2465.61
6303-Oliveira Carmona-14938.23
403324-Sofras Cuaresma-9679.44
191976-Danilo Olaio-6211.84
345037-Rebeca Neto-6607.46
