291010-Almor Caiado-20859.33
128843-Emedlia Silvera-836.96
322713-Lina Andrade-9769.84
777300-Cleusa Goes-5371.51
494259-Judite Damasceno-15969.17
159541-Liana Cardim-9484.20
845984-Odilia Bello-20547.21
564774-Judite Damasceno-8181.91
98071-Clarindo Areosa-7116.46
233420-Nuno Balsemeo-3041.45
375054-Antonio Castelo-16424.37
886457-Flor Portella-12920.82
225592-Jonatas Felgueiras-2069.21
301904-Leonidas Mafra-5026.98
738028-Eurico Siqueira-16021.92
820983-Odete Vasques-12868.68
965994-Liana Cardim-14207.14
772867-Regina Barcellos-17702.79
608873-Sara Lameiras-15928.93
275496-Taercio Mafra-16121.27
710266-Mercia Caeira-2770.18
594477-Emedlio Pimentel-16289.05
174921-Camila Gabeira-10846.46
255830-Adelina Quadros-2164.65
487740-Trajano Fagundes-17022.03
636780-Delfim Higuera-14365.40
721951-Zulmira Becerra-20045.06
44362-Flamednia Leiria-10937.95
73895-Antonio Castelo-18884.04
232778-Guida Juca-7891.96
53424-Tibofarcio Camacho-20759.06
826843-Flamednia Leiria-13920.17
681880-Estanislau Beserra-9687.08
457598-Estanislau Beserra-17829.64
447651-Cassandra Varejo-769.68
629944-Sara Lameiras-17426.05
196724-Trajano Fagundes-12858.43
477622-Clara Alcantara-7614.04
70117-Cleusa Goes-9874.78
555928-Clara Alcantara-5282.27
684829-Esperada Cardoso-18352.81
831872-Sidfnio Frois-1086.24
883516-Honorina Lira-9353.06
614407-Adelina Quadros-2272.80
293747-Tarrataca Soares-6347.27
692267-Antonio Viegas-16123.57
147302-Romo Paranage-1520.70
624848-Celeste Duarte-19695.48
897770-Almor Caiado-2451.34
91295-Augusta Paio-8666.90
480917-Almor Caiado-11513.75
809608-Emedlia Silvera-13762.07
155492-Zulmira Becerra-10226.07
726195-Lina Andrade-11752.21
261195-Odilia Camello-20505.15
764584-Sara Lameiras-10557.24
905846-Basilio Pedroso-17748.71
374228-Cleusa Goes-19174.96
279502-Guida Juca-4299.10
146505-Adelino Barra-13480.01
757073-Emedlia Silvera-11659.99
164628-Filomena Barrios-19598.08
196015-Melinda Roserio-8264.80
533114-Gaudancio Fiees-8822.06
149874-Oliveira Senchez-17624.67
10300-Odete Vasques-13967.48
227983-Clara Alcantara-15276.54
32351-Cassandra Varejo-12935.45
384675-Tarrataca Soares-14558.24
387776-Andreia Moita-8544.87
564877-Estanislau Beserra-177.61
149865-Edgar Carvalheiro-7809.25
941907-Camila Gabeira-11051.21
340871-Henrique Bento-19256.54
993870-Quintino Alcantara-13223.21
161945-Tarrataca Soares-20773.31
53717-Zungela Ipiranga-15080.75
849191-Tarrataca Soares-19141.08
140511-Delfina Perdigon-9700.08
341801-Quintino Alcantara-10683.96
60706-Adelino Barra-9284.78
294497-Joaquim Rufino-17016.27
336430-Nuno Balsemeo-4690.86
374700-Honorina Lira-4009.43
135502-Antonio Viegas-5249.37
363680-Neeamia Arruda-7440.99
856522-Marilda Leio-21141.53
3521-Anind Zarco-21150.02
211610-Delfina Perdigon-5166.58
760291-Quintino Alcantara-20440.00
796069-Andreia Moita-16025.77
108722-Guida Juca-3583.88
830174-Zungela Ipiranga-2712.41
189145-Odilia Camello-201.32
718748-Branco Saraba-4872.68
85210-Leonidas Mafra-12876.31
782479-Branco Saraba-16704.88
587594-Moaci Mendoa-10160.08
500202-Delfim Higuera-6177.36
421332-Feledcia Peassego-19314.96
