887046-Adelino Barra-4908.21
32300-Antonio Castelo-4337.67
892622-Marilda Leio-5632.83
815212-Polibe Olivares-18652.13
128216-Tarrataca Soares-8887.53
913175-Zulmira Becerra-15742.30
174353-Heleedsa Marins-2069.78
569149-Polibe Olivares-4806.78
888391-Cleusa Goes-15200.21
57563-Almor Caiado-3510.56
109059-Leonidas Mafra-10669.43
700513-Danilo Olaio-16629.75
263924-Moaci Mendoa-5343.84
909239-Edgar Carvalheiro-3397.16
780015-Emedlio Pimentel-7308.44
780157-Esperada Cardoso-13157.57
789255-Sidfnio Frois-20269.32
204156-Adelina Quadros-11520.17
448085-Angelica Aranha-7814.22
470109-Marilda Leio-7269.96
721064-Carminda Morais-15301.05
792722-Oliveira Senchez-18858.06
631549-Jorgina Bogalho-18125.86
270267-Urbano Rodrigues-2950.11
122100-Jonatas Felgueiras-18677.91
243288-Filomena Barrios-5170.88
110978-Romo Paranage-18688.77
439862-Odilia Bello-5335.98
962714-Letedcia Gago-6960.46
22973-Andreia Moita-10775.16
139388-Micaela Chavez-12292.37
199007-Esperada Cardoso-16420.30
750482-Spnia ou Sonia Guerreiro-6021.78
686436-Oliveira Senchez-8204.48
854784-Dulce Froes-20145.70
867392-Flamednia Leiria-7783.30
637435-Marilda Leio-8334.41
855617-Estanislau Beserra-2393.97
607441-Adelina Quadros-16243.59
781298-Clara Alcantara-658.99
467456-Jonatas Felgueiras-2100.38
258621-Melinda Roserio-9762.37
888012-Clara Alcantara-18799.88
103199-Zungela Ipiranga-13081.90
329775-Polibe Olivares-17480.45
864106-Feledcia Peassego-17829.13
486349-Sidfnio Frois-5810.66
502112-Trajano Fagundes-1694.38
631903-Melinda Roserio-17000.46
291103-Lurdes Cotrim-16593.44
498877-Gaudancio Fiees-7743.27
943585-Telma Villalobos-5751.02
417950-Branco Saraba-7999.90
586224-Regina Barcellos-11140.93
202323-Regina Barcellos-18124.23
904699-Odilia Bello-4678.04
452992-Zungela Ipiranga-18922.90
441828-Ubaldo Mainha-15123.08
827421-Sofras Cuaresma-20089.40
88837-Danilo Olaio-19307.48
732698-Clara Alcantara-2077.63
931096-Flor Portella-2167.07
883039-Danilo Olaio-14521.25
822656-Anind Zarco-2212.27
469089-Basilio Pedroso-16394.29
677121-Dulce Froes-12788.51
797793-Guaraci Damasceno-20653.04
501244-Delfim Higuera-5372.62
643091-Antonio Castelo-12290.89
830777-Honorina Lira-14701.78
394655-Neuza Francia-13264.27
769477-Nuno Balsemeo-10078.75
279274-Oliveira Senchez-14907.58
263000-Almor Caiado-3600.97
856560-Angilica Galante-10715.66
389729-Anfnia Seixas-10782.43
726612-Jonatas Felgueiras-155.57
869911-Domingos Pas-6120.58
321738-Quintino Alcantara-8897.01
746702-Marilda Leio-4010.48
919553-Gaudancio Fiees-8054.43
371873-Domingos Pas-7297.29
14543-Jorgina Bogalho-7490.08
298218-Elisa Themes-16632.71
325474-Adelino Barra-2916.44
782281-Flamednia Leiria-5940.34
606042-Quintiliano Sousa de Arronches-8907.60
733398-Jonatas Felgueiras-9266.30
638881-Danilo Olaio-664.68
149911-Quintiliano Sousa de Arronches-3192.15
838974-Dulce Froes-14681.35
471472-Artur Grillo-15735.07
978503-Cleusa Goes-8520.37
759456-Romo Paranage-7558.52
153341-Aludsio Sosa-15061.78
596543-Aludsio Sosa-4474.76
798886-Augusta Paio-10060.82
74515-Telma Villalobos-9523.32
891971-Almor Caiado-8234.87
927049-Camila Gabeira-18486.37
