338877-Branco Saraba-7161.21
481472-Zungela Ipiranga-3747.63
827653-Dulce Froes-14896.07
765742-Nuno Balsemeo-18235.68
575714-Eurico Siqueira-12146.90
247468-Elisa Themes-298.47
586032-Letedcia Gago-18674.62
148702-Antonio Viegas-20435.09
198233-Jonatas Felgueiras-15960.03
35302-Aludsio Sosa-15829.88
582082-Almor Caiado-3628.43
394800-Moaci Mendoa-1408.41
326799-Zungela Ipiranga-17156.69
314682-Sofras Cuaresma-18604.34
361452-Anfnia Seixas-6175.26
372444-Artur Grillo-20677.74
438430-Cleusa Goes-14578.76
592039-Odete Vasques-885.41
294649-Regina Barcellos-19967.40
481805-Trajano Fagundes-17592.91
328161-Emedlio Pimentel-18838.73
295364-Jussara Varanda-13727.84
542082-Polibe Olivares-13446.28
396181-Tibofarcio Camacho-15359.42
334319-Cassandra Varejo-12708.20
962228-Neeamia Arruda-8267.09
436842-Almerinda Palmeira-15191.47
406719-Ermelinda Quintela-172.56
885290-Letedcia Gago-10975.50
882870-Dulce Froes-1065.49
384716-Tabalipa Duarte-9918.77
729704-Fulvio Villegas-1746.88
915660-Andreia Moita-1772.30
286588-Guaraci Damasceno-3416.27
608231-Filomena Barrios-3439.61
456303-Sofras Cuaresma-13989.23
594624-Angelica Aranha-13888.76
609226-Camila Gabeira-337.99
681515-Dulce Froes-15246.85
493372-Heleedsa Marins-10150.84
629155-Delfina Garcia de Gondim-879.85
638244-Oliveira Senchez-12537.15
948141-Joaquim Rufino-3581.47
401999-Antonio Viegas-12644.33
798146-Tabalipa Duarte-15380.42
530740-Gaudancio Fiees-17964.98
972225-Gaudancio Fiees-19600.93
77383-Camila Gabeira-13392.18
438253-Edgar Carvalheiro-224.16
865836-Basilio Pedroso-64.26
325585-Celeste Duarte-9030.55
178365-Quintino Alcantara-3012.09
719540-Guaraci Damasceno-17211.58
491192-Jonatas Felgueiras-650.76
405855-Urbano Rodrigues-11638.74
765143-Spnia ou Sonia Guerreiro-19934.05
563989-Judite Damasceno-12328.93
755587-Zungela Ipiranga-4014.87
746657-Liana Cardim-16639.25
422489-Flamednia Leiria-18227.91
698658-Romo Paranage-9846.33
959879-Nuno Balsemeo-1413.28
452209-Guaraci Damasceno-16150.47
91308-Oliveira Senchez-12880.55
163764-Adelino Barra-16494.61
794160-Neuza Francia-8957.42
438799-Lurdes Cotrim-4258.23
692305-Feledcia Peassego-16285.78
163904-Clara Alcantara-2428.41
567815-Tibefarcio Colao-20882.64
881058-Adelina Quadros-17374.79
765492-Odilia Camello-14259.55
859362-Silvio Mata-2599.24
627161-Urbano Rodrigues-7450.15
470888-Lurdes Cotrim-19981.79
188690-Neeamia Arruda-12624.89
344010-Camila Gabeira-3344.44
876371-Angilica Galante-11741.37
928564-Jorgina Bogalho-8258.17
389787-Eurico Siqueira-14593.85
674931-Esperada Cardoso-9337.82
593231-Moaci Mendoa-1520.64
839404-Aludsio Sosa-15629.23
649343-Heleedsa Marins-4450.67
30591-Antonio Castelo-11585.38
872653-Sidfnio Frois-5722.43
973374-Letedcia Gago-6795.87
896745-Emiliana Foquio-5659.79
914704-Cassandra Varejo-6329.08
773909-Cassandra Varejo-3968.14
413201-Rebeca Neto-16804.89
531239-Romo Paranage-11735.99
120606-Zungela Ipiranga-11649.54
149862-Quintino Alcantara-11221.20
193963-Zulmira Becerra-1856.67
416674-Angilica Galante-50.56
161211-Delfim Higuera-14760.29
833668-Odete Vasques-7294.43
159054-Dulce Froes-15413.57
301274-Quintino Alcantara-20071.31
