879135-Sidfnio Frois-16193.47
837836-Andreia Moita-17984.73
81519-Nuno Balsemeo-13753.56
129411-Dulce Froes-7107.02
189956-Ermelinda Quintela-18693.89
824518-Odete Vasques-15588.85
539732-Judite Damasceno-9221.98
588710-Angilica Galante-5759.78
489293-Basilio Pedroso-2861.90
387007-Elisa Themes-11878.68
538881-Trajano Fagundes-14297.47
115665-Zungela Ipiranga-16975.85
302470-Lina Andrade-18186.66
470793-Rodolfo Paz-12223.12
837924-Zungela Ipiranga-350.18
776213-Carminda Morais-6338.43
900184-Micaela Chavez-13133.82
564891-Oliveira Senchez-7454.88
200050-Quintiliano Sousa de Arronches-1824.93
923866-Regina Barcellos-17118.80
951352-Moaci Mendoa-4099.35
325745-Eurico Siqueira-14970.51
689744-Emiliana Foquio-7088.70
926356-Tibefarcio Colao-9823.41
864737-Angelica Aranha-3846.95
708537-Esperada Cardoso-17064.71
953708-Almerinda Palmeira-10748.88
396974-Rodolfo Paz-14674.53
334101-Joaquim Rufino-15646.53
944478-Sara Lameiras-6210.93
455210-Ubaldo Mainha-10150.44
196376-Cleusa Goes-708.86
554869-Cleusa Goes-17345.76
95855-Basilio Pedroso-9390.19
948747-Ermelinda Quintela-5424.00
819853-Cassandra Varejo-2666.25
533691-Tibofarcio Camacho-16705.79
146346-Jorgina Bogalho-13814.92
246527-Armindo Castalo-21228.26
356231-Flamednia Leiria-20332.87
346115-Oliveira Carmona-1532.58
271410-Almerinda Palmeira-599.71
764135-Danilo Olaio-13035.26
643111-Angilica Galante-14076.22
862779-Domingos Pas-15945.71
777417-Tarrataca Soares-18993.90
163237-Letedcia Gago-8084.40
469480-Almor Caiado-17825.87
228333-Honorina Lira-12723.50
156198-Delfina Perdigon-16077.06
176941-Branco Saraba-2055.68
241915-Emiliana Foquio-17708.40
709569-Odilia Bello-13581.20
753296-Artur Grillo-18237.63
332155-Jussara Varanda-20026.26
310885-Heleedsa Marins-1319.20
914375-Emedlia Silvera-655.99
612684-Carminda Morais-7310.69
319140-Romo Paranage-14482.97
851491-Quintiliano Sousa de Arronches-16344.54
703272-Silvio Mata-19106.30
296989-Angelica Aranha-11443.89
378076-Micaela Chavez-15540.98
985048-Emedlia Silvera-5793.68
730114-Sofras Cuaresma-13067.00
562021-Honorina Lira-21310.11
784271-Angilica Galante-11714.42
963258-Filomena Barrios-985.71
245330-Marilda Leio-2938.90
877012-Rodolfo Paz-17327.41
730889-Feledcia Peassego-59.61
153076-Branco Saraba-17092.58
931334-Artur Grillo-4601.52
346152-Angilica Galante-18571.38
524287-Angilica Galante-8653.84
361224-Trajano Fagundes-12269.46
601676-Judite Damasceno-5462.47
957935-Joaquim Rufino-17792.10
383129-Feledcia Peassego-2659.71
105592-Nuno Balsemeo-15738.48
797874-Clara Alcantara-8680.96
636915-Basilio Pedroso-5017.65
380984-Silvio Mata-982.13
739650-Letedcia Gago-10155.59
949857-Taercio Mafra-7826.00
892817-Adelina Quadros-14019.61
846710-Domingos Pas-8580.79
758617-Nuno Balsemeo-13640.37
241221-Eurico Siqueira-15034.20
613662-Oliveira Carmona-5770.42
727432-Henrique Bento-2193.56
318507-Almerinda Palmeira-1935.09
683875-Feledcia Peassego-16438.90
201614-Dulce Froes-18296.30
856771-Armindo Castalo-13300.96
412165-Neuza Francia-14519.89
429817-Almerinda Palmeira-313.52
693999-Cassandra Varejo-3871.11
684321-Carminda Morais-4703.52
646113-Antonio Viegas-5749.66
