239211-Leonidas Mafra-476.95
369054-Ximena Castilho-19823.03
953268-Armanda Amorim-11699.10
713949-Angilica Galante-17406.78
926763-Branco Saraba-12270.48
123358-Sara Lameiras-12407.37
613990-Adelino Barra-662.47
380235-Clara Alcantara-16220.59
23600-Tarrataca Soares-1517.75
533613-Filomena Barrios-14434.02
765410-Ermelinda Quintela-3841.58
41768-Armanda Amorim-9295.27
427418-Dulce Froes-369.96
70682-Romo Paranage-8157.10
223689-Mercia Caeira-20226.37
471358-Camila Gabeira-12042.77
62494-Anfnia Seixas-444.07
431295-Ximena Castilho-16587.87
226669-Emedlio Pimentel-223.27
705111-Odilia Camello-20898.61
696905-Oliveira Carmona-4831.43
867343-Rodolfo Paz-12271.84
373607-Jonatas Felgueiras-17806.12
789538-Regina Barcellos-20606.82
399320-Carminda Morais-16064.23
573740-Neeamia Arruda-1374.10
485458-Anind Zarco-6824.73
643867-Emedlia Silvera-6784.20
377917-Lurdes Cotrim-2111.63
887453-Jorgina Bogalho-9598.68
315378-Jonatas Felgueiras-11645.65
900904-Delfim Higuera-8729.49
13085-Neuza Francia-20673.23
637893-Tibofarcio Camacho-16226.29
456573-Jussara Varanda-12795.44
944945-Quintino Alcantara-1176.34
710014-Ubaldo Mainha-15251.20
398474-Antonio Castelo-12732.80
874209-Ximena Castilho-9841.74
677171-Trajano Fagundes-8095.78
857324-Guaraci Damasceno-454.10
180080-Flor Portella-12233.11
203559-Adelino Barra-9778.40
838827-Guida Juca-14934.78
189270-Augusta Paio-14384.51
962226-Oliveira Senchez-6879.12
661756-Flor Portella-4461.39
834004-Elisa Themes-7575.37
426615-Estanislau Beserra-11334.11
182612-Almerinda Palmeira-15960.89
807106-Flor Portella-20879.46
513353-Telma Villalobos-9446.42
685050-Daniel Vieyra-15408.46
179451-Almerinda Palmeira-13622.01
335151-Letedcia Gago-3219.07
35118-Jonatas Felgueiras-263.85
853093-Clara Alcantara-6130.47
823590-Artur Grillo-6168.81
74123-Marilda Leio-7163.08
15315-Emedlio Pimentel-11224.90
534617-Elisa Themes-6478.14
463761-Manuel Capiperibe-4568.43
220003-Zungela Ipiranga-14225.28
816429-Neuza Francia-13172.24
407283-Angilica Galante-17635.59
449140-Cleusa Goes-18935.95
919649-Ximena Castilho-18249.64
528823-Delfim Higuera-9353.04
675137-Cassandra Varejo-4978.94
749152-Daniel Vieyra-14969.10
428040-Feledcia Peassego-4469.61
52773-Antonio Viegas-16884.24
836136-Rodolfo Paz-21.61
981687-Almor Caiado-6609.77
328255-Delfina Garcia de Gondim-8633.84
97814-Odete Vasques-20478.34
736238-Lina Andrade-6072.70
937988-Estanislau Beserra-12827.98
20715-Taercio Mafra-5369.90
927387-Augusta Paio-16507.39
324264-Judite Damasceno-19251.67
534805-Angilica Galante-13007.36
588715-Marilda Leio-7220.89
203748-Guida Juca-17300.70
526651-Neuza Francia-13919.15
441631-Delfina Perdigon-295.29
951103-Estanislau Beserra-19642.65
457215-Cleusa Goes-13667.20
750855-Gaudancio Fiees-10012.57
455201-Odilia Camello-15841.84
585568-Eurico Siqueira-20905.09
676575-Regina Barcellos-10205.60
708334-Lurdes Cotrim-9786.65
384497-Quintiliano Sousa de Arronches-12398.68
554197-Joaquim Rufino-9739.12
624717-Filomena Barrios-19443.53
528847-Clarindo Areosa-17498.21
218938-Flamednia Leiria-677.94
707463-Rebeca Neto-21285.45
185909-Jorgina Bogalho-19875.17
