639378-Esperada Cardoso-27.78
138247-Sara Lameiras-13626.37
185921-Lina Andrade-4864.78
635455-Moaci Mendoa-19868.14
519555-Heleedsa Marins-7459.55
399717-Edgar Carvalheiro-17555.31
629659-Guaraci Damasceno-7682.15
677648-Angelica Aranha-303.00
649867-Polibe Olivares-20407.10
515020-Telma Villalobos-7195.15
523308-Antonio Viegas-12871.54
605447-Regina Barcellos-20002.92
817030-Armindo Castalo-389.95
863642-Oliveira Senchez-15436.30
744260-Trajano Fagundes-20261.50
936509-Romo Paranage-12610.66
883441-Polibe Olivares-20946.96
138640-Spnia ou Sonia Guerreiro-4508.90
589446-Neuza Francia-16145.39
806774-Adelina Quadros-855.71
602464-Liana Cardim-4840.94
692126-Basilio Pedroso-11327.00
419106-Ubaldo Mainha-10870.33
623720-Romo Paranage-7874.13
158495-Clarindo Areosa-19931.57
164740-Romo Paranage-13936.10
702322-Honorina Lira-8920.10
971151-Celeste Duarte-2626.65
539490-Angilica Galante-20452.54
333811-Micaela Chavez-2915.77
643011-Sara Lameiras-17241.80
622822-Ximena Castilho-20508.72
895139-Flor Portella-4868.07
678586-Emiliana Foquio-18134.31
92268-Ermelinda Quintela-15751.06
688444-Adelino Barra-5177.87
834126-Angelica Aranha-3970.06
708029-Aludsio Sosa-19809.77
471451-Adelino Barra-10050.33
290610-Odilia Bello-16573.67
680527-Liana Cardim-3625.26
164510-Odilia Camello-5551.49
864359-Taercio Mafra-20880.44
597104-Silvio Mata-7052.39
742738-Danilo Olaio-978.47
78227-Angelica Aranha-1445.36
23728-Lina Andrade-21063.70
979035-Camila Gabeira-16355.94
115491-Camila Gabeira-13305.82
22544-Quintiliano Sousa de Arronches-6583.89
990616-Honorina Lira-18520.70
171228-Urbano Rodrigues-11007.51
223801-Edgar Carvalheiro-16846.15
600147-Jussara Varanda-3957.28
407634-Zulmira Becerra-1689.87
353812-Sofras Cuaresma-8500.66
570718-Henrique Bento-16850.89
309730-Urbano Rodrigues-14185.85
25648-Gaudancio Fiees-3132.17
807018-Andreia Moita-4142.39
438595-Flor Portella-20132.30
112447-Trajano Fagundes-3919.17
451395-Jorgina Bogalho-18961.41
834228-Camila Gabeira-5702.58
972235-Odilia Camello-3751.82
441333-Angilica Galante-7385.35
962670-Camila Gabeira-306.23
854020-Neuza Francia-7959.32
372468-Antonio Viegas-7204.74
473114-Urbano Rodrigues-8092.81
962920-Henrique Bento-5722.36
555116-Sofras Cuaresma-3718.65
381509-Neeamia Arruda-7633.16
855514-Aludsio Sosa-16871.51
57884-Oliveira Carmona-17011.23
731357-Jussara Varanda-9030.81
986865-Angilica Galante-15850.43
848135-Feledcia Peassego-15584.14
810556-Clarindo Areosa-3113.02
989618-Cleusa Goes-13217.76
407866-Daniel Vieyra-9532.55
572268-Odilia Bello-10578.10
654053-Augusta Paio-5887.08
393374-Esperada Cardoso-12305.63
390379-Urbano Rodrigues-12316.21
569053-Spnia ou Sonia Guerreiro-7608.69
799560-Adelina Quadros-6683.72
652619-Sofras Cuaresma-4917.37
437960-Estanislau Beserra-16495.47
697584-Angilica Galante-1600.53
754860-Zungela Ipiranga-7324.61
48385-Jussara Varanda-10850.33
723310-Cleusa Goes-16096.87
198325-Jussara Varanda-20550.81
856716-Clarindo Areosa-8439.88
638012-Heleedsa Marins-4990.73
16252-Tibofarcio Camacho-17588.72
437752-Odilia Camello-3590.41
789238-Liana Cardim-13904.79
443177-Augusta Paio-12786.93
