726196-Heleedsa Marins-19417.28
320281-Jonatas Felgueiras-4255.31
30384-Antonio Viegas-3987.26
853508-Flamednia Leiria-17512.54
100478-Branco Saraba-15638.91
983428-Antonio Castelo-4027.90
591148-Ubaldo Mainha-12937.01
237147-Nuno Balsemeo-17718.92
589843-Armanda Amorim-18131.21
947059-Armindo Castalo-20972.93
24566-Gaudancio Fiees-12585.35
985315-Eurico Siqueira-10683.72
108872-Nuno Balsemeo-13224.02
395034-Quintiliano Sousa de Arronches-7247.72
796777-Tibefarcio Colao-9398.73
879146-Clarindo Areosa-12868.56
492057-Tibofarcio Camacho-959.63
144604-Rebeca Neto-4312.01
686926-Taercio Mafra-2193.07
894439-Moaci Mendoa-13102.54
463004-Emedlia Silvera-18412.79
275602-Tabalipa Duarte-2257.80
618742-Oliveira Carmona-14348.89
687612-Odilia Bello-4778.00
527390-Urbano Rodrigues-421.13
774834-Adelino Barra-5479.93
811909-Judite Damasceno-17924.85
549900-Judite Damasceno-4661.46
212131-Heleedsa Marins-11268.33
995426-Jussara Varanda-18057.27
587692-Delfina Garcia de Gondim-2537.06
231479-Basilio Pedroso-5599.82
247068-Polibe Olivares-10026.01
181194-Oliveira Carmona-19802.88
403719-Heleedsa Marins-9493.32
982415-Nuno Balsemeo-16211.07
449768-Adelino Barra-1034.35
364222-Ermelinda Quintela-19849.85
479276-Zungela Ipiranga-4477.14
417477-Joaquim Rufino-15997.09
609533-Anfnia Seixas-10958.13
112713-Cassandra Varejo-1945.61
879629-Celeste Duarte-21118.08
51857-Spnia ou Sonia Guerreiro-17275.05
24431-Ubaldo Mainha-19139.09
110480-Sofras Cuaresma-14634.08
189150-Emedlio Pimentel-16628.58
268852-Estanislau Beserra-4607.38
10541-Oliveira Carmona-4357.34
584792-Silvio Mata-18071.51
402396-Flamednia Leiria-15902.77
926357-Regina Barcellos-16263.90
432277-Emedlio Pimentel-21412.70
538898-Estanislau Beserra-2748.38
966538-Anfnia Seixas-7998.62
726233-Zungela Ipiranga-16109.73
109171-Letedcia Gago-11086.78
927259-Ermelinda Quintela-10854.63
730399-Gaudancio Fiees-20074.74
763425-Sofras Cuaresma-7065.75
21763-Anind Zarco-11359.77
93107-Fulvio Villegas-14019.04
241639-Antonio Viegas-20643.36
198075-Elisa Themes-19783.91
176315-Silvio Mata-9768.74
580076-Odilia Bello-91.17
908127-Anind Zarco-6962.26
93884-Adelina Quadros-9941.53
534274-Elisa Themes-7404.00
192220-Leonidas Mafra-3826.80
34257-Dulce Froes-15207.02
669918-Anfnia Seixas-9553.11
695563-Basilio Pedroso-10285.53
507173-Odilia Camello-17047.51
156606-Celeste Duarte-4164.43
184645-Almerinda Palmeira-12250.24
185417-Judite Damasceno-12989.32
380777-Branco Saraba-1535.42
555929-Regina Barcellos-3970.76
205062-Carminda Morais-3177.85
945672-Oliveira Carmona-17228.19
663803-Emedlio Pimentel-19074.89
802164-Tarrataca Soares-3507.01
793032-Moaci Mendoa-13412.08
691657-Lurdes Cotrim-8588.81
464578-Rodolfo Paz-18510.66
354380-Rodolfo Paz-16337.67
986586-Micaela Chavez-13156.65
772104-Clarindo Areosa-19822.21
957684-Jorgina Bogalho-13459.42
339455-Trajano Fagundes-1134.04
422830-Honorina Lira-15680.68
333618-Odilia Bello-6693.86
797108-Carminda Morais-16291.79
527726-Odilia Bello-21308.71
701787-Clara Alcantara-10038.52
415721-Feledcia Peassego-4047.23
61302-Ermelinda Quintela-10297.09
765119-Artur Grillo-17254.81
28742-Andreia Moita-10849.55
