36110-Angilica Galante-1565.68
124565-Silvio Mata-10707.09
700304-Tarrataca Soares-7772.26
873078-Antonio Viegas-14320.51
137390-Moaci Mendoa-13893.01
566982-Jonatas Felgueiras-2427.81
820493-Joaquim Rufino-15601.19
931458-Augusta Paio-18205.48
207827-Tibofarcio Camacho-14778.62
434976-Armindo Castalo-15079.06
4536-Urbano Rodrigues-2674.59
321495-Clara Alcantara-19175.83
45582-Honorina Lira-14218.00
766723-Delfim Higuera-3381.89
793733-Regina Barcellos-14613.27
772151-Zungela Ipiranga-4804.10
782107-Rebeca Neto-18122.31
388412-Eurico Siqueira-8456.78
855427-Edgar Carvalheiro-18278.86
27818-Daniel Vieyra-4678.38
21283-Delfina Perdigon-21248.42
66779-Heleedsa Marins-7766.80
338153-Danilo Olaio-82.42
835705-Regina Barcellos-9300.09
900684-Quintiliano Sousa de Arronches-7693.19
266864-Jonatas Felgueiras-20830.91
930715-Rodolfo Paz-18853.89
713195-Melinda Roserio-20597.78
76887-Danilo Olaio-10991.50
302272-Micaela Chavez-10106.94
433997-Tibefarcio Colao-14837.15
540878-Artur Grillo-5272.98
231128-Odete Vasques-13596.36
754106-Almerinda Palmeira-4629.88
950186-Mercia Caeira-14168.89
989464-Emedlia Silvera-13156.72
955272-Manuel Capiperibe-4021.19
151753-Almerinda Palmeira-2363.49
26717-Cassandra Varejo-4914.26
820696-Letedcia Gago-4977.28
935961-Delfina Garcia de Gondim-17631.62
926105-Rebeca Neto-2602.19
596271-Emedlio Pimentel-539.67
508394-Ximena Castilho-4187.21
429197-Ubaldo Mainha-16926.71
185116-Letedcia Gago-10421.77
548303-Silvio Mata-10951.32
300865-Marilda Leio-15162.84
863919-Rebeca Neto-10038.27
576540-Augusta Paio-13856.48
499249-Adelina Quadros-9821.00
136977-Melinda Roserio-19180.26
589209-Anind Zarco-6751.39
677745-Leonidas Mafra-15566.47
754642-Guaraci Damasceno-11975.93
236937-Zungela Ipiranga-3672.94
907846-Polibe Olivares-11488.42
181733-Angilica Galante-11326.60
320848-Jussara Varanda-2310.40
402079-Honorina Lira-16906.16
694994-Anind Zarco-796.32
666294-Clara Alcantara-11767.69
856859-Angilica Galante-12143.58
530519-Estanislau Beserra-15520.36
408678-Cassandra Varejo-5053.07
990577-Branco Saraba-16385.44
749328-Branco Saraba-19724.52
640205-Spnia ou Sonia Guerreiro-19091.50
331312-Polibe Olivares-16849.87
849367-Letedcia Gago-17913.89
47770-Spnia ou Sonia Guerreiro-5786.00
829778-Taercio Mafra-19572.67
670552-Marilda Leio-18926.40
133659-Polibe Olivares-4386.87
276551-Edgar Carvalheiro-1616.12
12071-Quintino Alcantara-6066.02
41689-Nuno Balsemeo-6683.52
430058-Ubaldo Mainha-14419.92
994397-Odilia Bello-1488.40
82273-Delfina Garcia de Gondim-20876.89
302930-Quintino Alcantara-542.53
155617-Oliveira Carmona-14730.83
293664-Romo Paranage-18197.54
306279-Anfnia Seixas-17694.04
354855-Moaci Mendoa-7311.96
710388-Joaquim Rufino-20502.08
126166-Artur Grillo-17987.66
510036-Emiliana Foquio-11257.13
560083-Micaela Chavez-11637.07
113507-Basilio Pedroso-21437.90
56035-Emedlio Pimentel-14616.09
115365-Emedlia Silvera-13442.81
957791-Ermelinda Quintela-8210.91
440173-Honorina Lira-11063.97
125734-Basilio Pedroso-16047.52
423152-Andreia Moita-6739.79
323004-Emiliana Foquio-21001.05
90971-Oliveira Carmona-14131.31
850905-Lina Andrade-5222.08
450470-Odete Vasques-11123.21
