347615-Telma Villalobos-12055.69
429904-Branco Saraba-16950.03
247935-Celeste Duarte-3914.30
613389-Daniel Vieyra-7203.99
324565-Polibe Olivares-17306.00
315737-Odilia Bello-7932.24
896119-Filomena Barrios-19065.41
310521-Ximena Castilho-6659.16
550835-Augusta Paio-13158.16
581534-Emiliana Foquio-14318.43
459037-Micaela Chavez-13117.08
491528-Dulce Froes-10006.54
625045-Taercio Mafra-9454.18
566518-Angelica Aranha-7445.48
803095-Jussara Varanda-19728.72
75323-Guida Juca-13767.04
633448-Estanislau Beserra-1861.17
384190-Letedcia Gago-14084.27
374939-Armindo Castalo-8734.95
898406-Domingos Pas-8045.93
896640-Mercia Caeira-14250.52
980557-Anind Zarco-8220.59
67088-Tabalipa Duarte-6682.01
100334-Letedcia Gago-21287.67
532141-Flor Portella-13050.87
80248-Celeste Duarte-736.78
851996-Branco Saraba-3853.12
681435-Emiliana Foquio-20556.96
426592-Telma Villalobos-14685.87
20957-Rodolfo Paz-16774.86
942488-Manuel Capiperibe-1398.99
604207-Nuno Balsemeo-2088.79
403315-Delfina Garcia de Gondim-14319.46
653155-Almor Caiado-20530.47
934412-Oliveira Carmona-6450.95
120709-Cassandra Varejo-10861.75
11430-Artur Grillo-20220.28
19047-Henrique Bento-10642.25
970433-Quintiliano Sousa de Arronches-10261.68
416423-Antonio Viegas-10761.89
971257-Sara Lameiras-4986.48
577619-Armindo Castalo-6052.52
759741-Sara Lameiras-2491.72
142669-Tabalipa Duarte-3758.25
809273-Emiliana Foquio-17297.60
562647-Delfina Perdigon-19888.80
510819-Odilia Bello-3824.08
770885-Almerinda Palmeira-13914.27
243387-Daniel Vieyra-21293.97
303264-Leonidas Mafra-13223.30
365274-Quintino Alcantara-19223.01
842409-Angelica Aranha-10593.95
682522-Adelina Quadros-17031.55
985405-Almerinda Palmeira-2268.14
851394-Melinda Roserio-9066.24
328980-Spnia ou Sonia Guerreiro-7527.02
465709-Eurico Siqueira-19862.13
662633-Tibefarcio Colao-6975.01
84836-Quintiliano Sousa de Arronches-10897.44
191613-Ermelinda Quintela-3365.64
487571-Jussara Varanda-1154.45
947902-Tibofarcio Camacho-5662.88
660460-Celeste Duarte-18979.70
544912-Celeste Duarte-12474.72
254414-Trajano Fagundes-6678.40
239730-Branco Saraba-8041.69
105217-Liana Cardim-5951.51
895009-Spnia ou Sonia Guerreiro-20628.13
628153-Jorgina Bogalho-19764.14
275082-Sidfnio Frois-13621.22
252220-Eurico Siqueira-12961.26
47175-Angelica Aranha-1295.91
237566-Fulvio Villegas-6152.51
615840-Telma Villalobos-8547.96
291961-Elisa Themes-12240.50
107906-Andreia Moita-13052.90
142675-Esperada Cardoso-9399.12
390735-Jonatas Felgueiras-5103.23
139322-Marilda Leio-14079.51
148175-Emedlia Silvera-14672.26
236911-Domingos Pas-20104.79
254452-Delfina Garcia de Gondim-6650.42
559558-Sofras Cuaresma-6377.96
867455-Jussara Varanda-14844.12
647198-Tibefarcio Colao-12842.20
266531-Angilica Galante-9438.44
570788-Flamednia Leiria-12159.87
25678-Tarrataca Soares-19393.78
810187-Feledcia Peassego-16640.33
9150-Clarindo Areosa-14796.98
363237-Quintiliano Sousa de Arronches-17229.35
843667-Leonidas Mafra-3617.06
914695-Andreia Moita-1097.82
236781-Fulvio Villegas-7176.49
871188-Fulvio Villegas-12852.96
72332-Jonatas Felgueiras-3330.79
563591-Tibofarcio Camacho-8126.50
966535-Armanda Amorim-11716.76
208876-Anind Zarco-13254.86
402417-Dulce Froes-11030.11
