587463-Neeamia Arruda-5047.28
990099-Polibe Olivares-1775.97
912099-Quintiliano Sousa de Arronches-5560.29
101759-Cassandra Varejo-4062.40
435811-Ermelinda Quintela-14777.59
774395-Polibe Olivares-10333.48
251828-Rebeca Neto-2475.38
191301-Telma Villalobos-2389.14
244380-Tibofarcio Camacho-15382.76
3836-Tabalipa Duarte-6374.95
813871-Liana Cardim-14830.82
35240-Lurdes Cotrim-15230.72
404368-Sara Lameiras-10265.01
893945-Artur Grillo-14376.02
262218-Moaci Mendoa-20640.38
987007-Emedlio Pimentel-8413.29
367583-Flor Portella-4670.97
201562-Mercia Caeira-11862.88
667052-Esperada Cardoso-17805.33
863143-Fulvio Villegas-20175.37
975884-Neuza Francia-1078.67
300743-Esperada Cardoso-17069.02
738856-Antonio Castelo-288.23
206191-Flor Portella-7207.17
913905-Emedlio Pimentel-13689.79
381172-Delfina Garcia de Gondim-17639.66
228660-Guida Juca-1668.50
97804-Celeste Duarte-8330.51
880772-Clarindo Areosa-15657.18
455810-Armanda Amorim-11280.98
41707-Odilia Camello-12880.74
709575-Daniel Vieyra-4028.91
965865-Gaudancio Fiees-7976.30
722677-Melinda Roserio-8808.36
598121-Guida Juca-10587.50
28010-Tibofarcio Camacho-6616.47
303090-Branco Saraba-7228.76
158838-Letedcia Gago-14899.74
819259-Ximena Castilho-10543.71
528734-Sofras Cuaresma-9543.43
291099-Andreia Moita-18273.85
920224-Odilia Bello-8616.11
967701-Flamednia Leiria-17275.77
837899-Angelica Aranha-11568.16
424763-Danilo Olaio-5869.30
990511-Camila Gabeira-20819.58
554854-Nuno Balsemeo-407.78
452671-Quintino Alcantara-13729.36
434580-Antonio Castelo-8222.72
618578-Jorgina Bogalho-1693.17
933215-Jussara Varanda-14316.08
805321-Elisa Themes-4220.45
84693-Delfina Garcia de Gondim-9950.12
510189-Joaquim Rufino-10318.50
771647-Ximena Castilho-12532.75
782973-Andreia Moita-8807.82
958043-Almerinda Palmeira-16783.37
9165-Telma Villalobos-16653.06
34143-Ermelinda Quintela-16747.40
946454-Nuno Balsemeo-11248.75
718260-Jussara Varanda-11438.09
874915-Marilda Leio-8721.30
158700-Odilia Camello-7127.31
535480-Emedlia Silvera-14632.42
727932-Anind Zarco-18570.13
366882-Urbano Rodrigues-8053.12
963987-Estanislau Beserra-11172.71
855041-Judite Damasceno-13682.80
682531-Adelino Barra-9008.30
782068-Quintino Alcantara-7692.93
715091-Camila Gabeira-19280.11
256346-Sidfnio Frois-19094.03
842409-Flamednia Leiria-15750.78
957335-Flamednia Leiria-5051.29
439022-Telma Villalobos-20038.57
195882-Antonio Viegas-2157.41
734778-Odilia Camello-15177.05
126918-Jorgina Bogalho-16555.60
341324-Polibe Olivares-20022.42
812577-Leonidas Mafra-12325.41
159255-Adelina Quadros-16632.56
830925-Antonio Viegas-4310.28
632909-Cassandra Varejo-1053.87
166252-Artur Grillo-16813.45
457495-Feledcia Peassego-18957.84
278285-Henrique Bento-20019.79
927947-Gaudancio Fiees-7332.31
848172-Emedlio Pimentel-19153.57
48125-Letedcia Gago-7712.15
594654-Zulmira Becerra-11230.28
950564-Rebeca Neto-19481.87
317765-Anfnia Seixas-955.34
603875-Heleedsa Marins-7321.67
483947-Cleusa Goes-2758.50
493461-Odilia Camello-1898.24
876703-Aludsio Sosa-1836.18
553-Moaci Mendoa-10625.46
345352-Trajano Fagundes-17963.94
766140-Heleedsa Marins-16059.59
429097-Delfina Perdigon-13920.70
148995-Branco Saraba-19240.20
640926-Domingos Pas-8348.54
161236-Aludsio Sosa-339.75
585037-Dulce Froes-10964.59
836962-Angelica Aranha-2324.68
905087-Camila Gabeira-15933.45
468944-Quintiliano Sousa de Arronches-10998.62
263310-Lurdes Cotrim-2697.24
931455-Clarindo Areosa-7584.90
814704-Telma Villalobos-2734.35
241986-Clara Alcantara-471.01
372555-Carminda Morais-17427.42
37337-Flamednia Leiria-14964.19
869241-Artur Grillo-15610.04
550873-Honorina Lira-14703.58
572431-Esperada Cardoso-9727.79
695849-Sara Lameiras-20702.48
881778-Regina Barcellos-12010.28
978392-Branco Saraba-2804.75
33815-Almor Caiado-798.07
191757-Ermelinda Quintela-17220.48
370080-Heleedsa Marins-7129.37
402899-Heleedsa Marins-14429.75
926795-Silvio Mata-3493.60
909361-Silvio Mata-20029.11
360412-Quintiliano Sousa de Arronches-1510.00
156651-Armanda Amorim-14196.96
847686-Letedcia Gago-4290.94
746167-Lurdes Cotrim-11230.72
650936-Nuno Balsemeo-8126.23
991092-Micaela Chavez-8898.14
431981-Carminda Morais-11311.84
130882-Leonidas Mafra-2241.04
249031-Flamednia Leiria-3500.30
404169-Guida Juca-4579.40
916907-Tarrataca Soares-7803.00
208684-Danilo Olaio-7629.73
264796-Taercio Mafra-15058.21
864905-Angelica Aranha-11310.83
940467-Elisa Themes-3972.51
822537-Nuno Balsemeo-17252.42
269455-Emiliana Foquio-8671.90
653774-Henrique Bento-17133.21
529185-Lurdes Cotrim-14650.86
764928-Silvio Mata-16834.91
428228-Odete Vasques-16914.07
91517-Liana Cardim-3141.32
966996-Sofras Cuaresma-17693.97
936442-Dulce Froes-8157.79
978249-Armindo Castalo-20287.19
158934-Estanislau Beserra-11930.58
153904-Gaudancio Fiees-308.44
849591-Spnia ou Sonia Guerreiro-14024.98
132541-Antonio Castelo-3085.43
962255-Joaquim Rufino-13933.08
248093-Jorgina Bogalho-2172.53
317764-Estanislau Beserra-12263.44
876975-Odilia Camello-15453.11
773412-Armanda Amorim-16032.47
753243-Odete Vasques-3757.42
983756-Carminda Morais-8229.01
972395-Clara Alcantara-16870.55
667493-Honorina Lira-19519.04
683580-Moaci Mendoa-18415.53
302391-Anind Zarco-17060.32
928096-Sara Lameiras-20032.80
477601-Cleusa Goes-13661.14
643240-Armanda Amorim-5575.08
238865-Flamednia Leiria-10832.81
613030-Clarindo Areosa-19270.34
222553-Esperada Cardoso-13385.34
889972-Anfnia Seixas-10430.23
917446-Odete Vasques-19076.90
442397-Danilo Olaio-13508.91
510363-Ermelinda Quintela-8377.09
402624-Tibefarcio Colao-20516.37
547407-Melinda Roserio-2416.31
552583-Antonio Viegas-167.91
868796-Celeste Duarte-9990.30
948839-Polibe Olivares-18566.43
770963-Spnia ou Sonia Guerreiro-3233.82
10453-Ximena Castilho-18872.72
304862-Adelino Barra-1367.05
20133-Silvio Mata-7691.48
321511-Moaci Mendoa-19456.58
138548-Filomena Barrios-7645.77
268393-Carminda Morais-17381.25
28809-Tarrataca Soares-17976.77
296771-Daniel Vieyra-3410.62
845693-Filomena Barrios-11190.11
945169-Armindo Castalo-2122.98
95308-Angilica Galante-5913.09
268505-Guida Juca-17956.14
648607-Esperada Cardoso-14821.50
435545-Estanislau Beserra-14924.72
931711-Neeamia Arruda-13851.27
581553-Angelica Aranha-10159.11
379024-Oliveira Carmona-17509.40
451014-Flamednia Leiria-20002.37
69091-Zungela Ipiranga-6995.99
329933-Nuno Balsemeo-19235.44
488798-Gaudancio Fiees-5681.56
435658-Edgar Carvalheiro-19714.24
571606-Jussara Varanda-15985.89
371744-Tarrataca Soares-8005.41
346435-Odilia Bello-4149.89
414656-Joaquim Rufino-3460.87
607462-Feledcia Peassego-8354.66
993789-Almerinda Palmeira-18999.17
442432-Jussara Varanda-2435.03
418583-Domingos Pas-20178.33
176853-Armanda Amorim-11038.38
760399-Joaquim Rufino-15362.73
474083-Honorina Lira-13043.61
854390-Ubaldo Mainha-11772.50
706479-Almerinda Palmeira-9531.12
201604-Artur Grillo-13965.27
608156-Almor Caiado-20981.34
471298-Andreia Moita-5606.45
87800-Zungela Ipiranga-14200.87
819707-Quintino Alcantara-15005.06
95837-Jussara Varanda-10141.99
44202-Flamednia Leiria-5524.76
