410950-Flor Portella-3448.40
691473-Danilo Olaio-14892.47
545783-Neuza Francia-13992.85
305154-Flamednia Leiria-8963.07
545568-Taercio Mafra-14782.74
558613-Feledcia Peassego-12582.05
241281-Regina Barcellos-1254.15
445258-Oliveira Carmona-18371.42
116108-Domingos Pas-15595.36
596878-Quintiliano Sousa de Arronches-11968.68
585633-Antonio Castelo-15032.79
721077-Anfnia Seixas-9904.87
180655-Urbano Rodrigues-45.49
1275-Filomena Barrios-9828.54
187270-Flamednia Leiria-21304.00
118465-Quintino Alcantara-594.75
869506-Mercia Caeira-20517.16
404939-Oliveira Senchez-20561.61
235113-Romo Paranage-1667.94
102643-Tibefarcio Colao-17223.91
909820-Aludsio Sosa-3334.92
72884-Telma Villalobos-13102.13
482793-Antonio Castelo-789.11
694041-Esperada Cardoso-6679.12
212083-Elisa Themes-11330.99
520178-Feledcia Peassego-16572.18
32756-Romo Paranage-7756.03
477175-Rodolfo Paz-7960.08
63650-Tarrataca Soares-17182.43
702833-Delfim Higuera-8768.62
726377-Zulmira Becerra-6392.89
28882-Gaudancio Fiees-13503.61
334524-Adelino Barra-2043.61
189087-Sidfnio Frois-7480.55
897725-Silvio Mata-17302.67
38710-Aludsio Sosa-3343.03
137951-Delfina Perdigon-21133.36
469433-Fulvio Villegas-7503.30
994766-Oliveira Carmona-2299.10
797355-Gaudancio Fiees-21116.12
506782-Tibofarcio Camacho-11498.55
708680-Odete Vasques-9954.00
640478-Fulvio Villegas-4912.51
482832-Liana Cardim-17894.40
237016-Anfnia Seixas-15778.54
606654-Emedlio Pimentel-19868.93
193859-Odilia Bello-9285.47
900840-Emedlia Silvera-4545.33
132538-Guida Juca-4735.28
607712-Guaraci Damasceno-11523.25
945359-Clarindo Areosa-20658.32
88002-Sofras Cuaresma-14000.57
592173-Odete Vasques-4652.14
973370-Urbano Rodrigues-14876.97
409282-Zulmira Becerra-8404.50
111991-Leonidas Mafra-18040.57
634379-Odilia Camello-17407.67
9203-Celeste Duarte-14261.84
713638-Emedlia Silvera-16563.17
327687-Letedcia Gago-20019.24
70534-Manuel Capiperibe-11923.86
184909-Guaraci Damasceno-20144.74
699694-Artur Grillo-15235.83
982117-Manuel Capiperibe-20715.56
704913-Domingos Pas-1114.82
798511-Joaquim Rufino-16685.94
301621-Emiliana Foquio-6347.45
352194-Lina Andrade-12707.54
452367-Cleusa Goes-319.84
80554-Adelina Quadros-14433.11
34112-Emedlio Pimentel-11738.98
336174-Daniel Vieyra-3736.00
211773-Eurico Siqueira-378.16
817739-Danilo Olaio-6577.98
604201-Trajano Fagundes-18755.03
873583-Aludsio Sosa-9738.17
199836-Taercio Mafra-20871.19
809522-Estanislau Beserra-18489.88
603482-Clarindo Areosa-7139.56
746958-Taercio Mafra-13030.37
814958-Almor Caiado-4735.87
785546-Celeste Duarte-2914.40
230372-Sofras Cuaresma-91.68
290664-Moaci Mendoa-919.86
907090-Armanda Amorim-20275.90
521636-Celeste Duarte-2139.80
729940-Honorina Lira-7501.80
199086-Delfim Higuera-10819.89
421925-Nuno Balsemeo-4881.09
628449-Neuza Francia-6248.56
662695-Rodolfo Paz-13466.71
595199-Neeamia Arruda-16984.57
643572-Rodolfo Paz-15472.03
991158-Elisa Themes-2690.10
652776-Estanislau Beserra-20829.17
333341-Delfina Garcia de Gondim-6579.55
831362-Jorgina Bogalho-19576.85
964814-Joaquim Rufino-1744.01
602241-Elisa Themes-8738.23
712364-Odilia Bello-19404.51
