736329-Henrique Bento-19519.01
356149-Ubaldo Mainha-16121.79
672620-Elisa Themes-4581.94
367643-Guida Juca-12078.17
739351-Spnia ou Sonia Guerreiro-122.30
136601-Delfim Higuera-17289.88
882173-Rodolfo Paz-15684.70
272427-Anind Zarco-16091.02
699128-Manuel Capiperibe-16728.76
44591-Henrique Bento-16532.22
933418-Flamednia Leiria-13154.75
279921-Oliveira Senchez-18408.31
633116-Anind Zarco-2230.20
110301-Nuno Balsemeo-10683.88
52249-Guaraci Damasceno-21261.27
526437-Filomena Barrios-9357.80
108364-Anfnia Seixas-14476.62
573698-Ubaldo Mainha-3694.51
476506-Carminda Morais-16631.50
516421-Letedcia Gago-14707.11
886571-Quintiliano Sousa de Arronches-4521.61
674414-Taercio Mafra-10284.41
157241-Emedlio Pimentel-6715.90
834149-Neeamia Arruda-19527.00
328420-Andreia Moita-12152.69
569519-Filomena Barrios-8133.12
315413-Aludsio Sosa-7819.36
531723-Taercio Mafra-18255.10
366470-Melinda Roserio-15335.03
77589-Quintiliano Sousa de Arronches-20140.20
43499-Anfnia Seixas-7324.22
484176-Manuel Capiperibe-17880.97
272123-Emedlia Silvera-3507.70
79959-Anfnia Seixas-11736.04
275328-Elisa Themes-11694.49
630285-Ximena Castilho-3505.35
765079-Danilo Olaio-4458.51
561883-Andreia Moita-8763.82
325829-Flamednia Leiria-11037.49
756045-Heleedsa Marins-6533.43
897123-Dulce Froes-11783.86
198832-Danilo Olaio-18468.70
457447-Marilda Leio-2046.59
822434-Henrique Bento-7697.39
887744-Lina Andrade-3155.30
738329-Telma Villalobos-9681.61
900626-Emiliana Foquio-15159.26
999353-Joaquim Rufino-12590.04
124558-Tarrataca Soares-5668.46
785453-Cassandra Varejo-11026.02
465755-Ximena Castilho-420.16
568386-Almor Caiado-21322.15
284112-Edgar Carvalheiro-19591.88
770176-Cassandra Varejo-1945.27
377078-Eurico Siqueira-9384.15
949590-Trajano Fagundes-11111.53
540881-Quintiliano Sousa de Arronches-15260.54
499067-Fulvio Villegas-8175.70
839519-Gaudancio Fiees-8112.10
445061-Eurico Siqueira-8929.96
393281-Antonio Viegas-9294.62
727678-Melinda Roserio-16530.30
965134-Branco Saraba-5568.31
345066-Aludsio Sosa-1391.17
980139-Emedlio Pimentel-15734.94
145679-Guida Juca-17344.44
988325-Spnia ou Sonia Guerreiro-9725.01
756802-Rebeca Neto-18810.00
45699-Romo Paranage-10413.56
180845-Telma Villalobos-17048.01
918286-Adelino Barra-2297.11
187848-Henrique Bento-20894.38
672012-Antonio Castelo-5409.20
377281-Adelino Barra-837.81
93385-Cassandra Varejo-14877.61
740773-Domingos Pas-7734.23
57774-Celeste Duarte-10564.12
428661-Dulce Froes-17051.69
885493-Armindo Castalo-18312.14
36475-Jussara Varanda-20013.95
216117-Rebeca Neto-11708.30
857470-Elisa Themes-15290.17
528920-Celeste Duarte-9132.06
547283-Delfim Higuera-12825.83
682736-Daniel Vieyra-6841.93
828709-Almerinda Palmeira-564.50
418439-Aludsio Sosa-5105.08
25513-Lina Andrade-14249.36
148996-Basilio Pedroso-14698.22
628409-Camila Gabeira-14563.75
425165-Letedcia Gago-1301.07
932544-Trajano Fagundes-5679.65
910929-Flor Portella-1280.10
292750-Daniel Vieyra-15145.57
455777-Ubaldo Mainha-5717.56
896502-Esperada Cardoso-10205.85
276956-Jonatas Felgueiras-3005.20
69112-Spnia ou Sonia Guerreiro-15315.45
546125-Liana Cardim-1522.11
237341-Antonio Viegas-14988.39
