775657-Fulvio Villegas-12039.99
547068-Oliveira Senchez-12674.54
844977-Ximena Castilho-14622.30
163450-Odilia Camello-3875.18
96511-Regina Barcellos-17983.17
404086-Camila Gabeira-3901.28
323983-Eurico Siqueira-20909.13
979132-Melinda Roserio-3868.79
211330-Zungela Ipiranga-14474.44
331937-Carminda Morais-11948.46
767517-Armindo Castalo-18386.22
487662-Tibofarcio Camacho-17236.85
748938-Delfim Higuera-5990.47
38887-Eurico Siqueira-19282.10
77761-Ermelinda Quintela-15218.23
142893-Judite Damasceno-5347.43
833211-Tarrataca Soares-2855.84
367403-Adelino Barra-20005.63
158467-Tabalipa Duarte-17572.90
831266-Quintiliano Sousa de Arronches-13941.39
390837-Clarindo Areosa-14539.06
949550-Ermelinda Quintela-16803.94
478494-Edgar Carvalheiro-21231.43
754173-Quintiliano Sousa de Arronches-626.98
547765-Elisa Themes-9237.76
658502-Rebeca Neto-16519.19
413908-Anfnia Seixas-4162.68
598249-Clara Alcantara-6996.36
661150-Moaci Mendoa-15537.94
683990-Henrique Bento-6111.42
552967-Joaquim Rufino-14375.33
560090-Branco Saraba-9419.99
768779-Carminda Morais-3919.93
24011-Anfnia Seixas-12497.48
5588-Lina Andrade-17552.95
326373-Jonatas Felgueiras-15594.70
390453-Marilda Leio-10524.00
38162-Oliveira Carmona-1775.15
764984-Aludsio Sosa-14691.76
298602-Adelina Quadros-20798.60
487305-Silvio Mata-10569.29
582257-Clarindo Areosa-2390.06
587474-Letedcia Gago-13497.75
251894-Armindo Castalo-6933.15
614403-Sofras Cuaresma-1978.37
269116-Armanda Amorim-13851.63
842572-Gaudancio Fiees-4950.70
684336-Romo Paranage-21081.08
678162-Carminda Morais-17823.90
982518-Guaraci Damasceno-12752.05
912318-Flamednia Leiria-19806.92
407457-Elisa Themes-10577.91
901132-Henrique Bento-1868.94
388189-Dulce Froes-14911.46
622802-Andreia Moita-7382.77
185440-Adelina Quadros-9995.46
218252-Adelina Quadros-17793.89
167850-Artur Grillo-13465.89
116132-Melinda Roserio-4007.84
273304-Neeamia Arruda-4957.66
290651-Rebeca Neto-951.95
753846-Guaraci Damasceno-6366.03
222979-Feledcia Peassego-9145.04
983182-Rodolfo Paz-13208.92
58465-Cleusa Goes-9580.31
970770-Emedlio Pimentel-15812.17
562822-Cassandra Varejo-4549.51
708722-Eurico Siqueira-7791.19
995688-Oliveira Carmona-5837.51
188705-Quintino Alcantara-13380.25
586374-Adelina Quadros-8268.32
708706-Regina Barcellos-1071.02
105253-Tibofarcio Camacho-15653.25
912546-Flor Portella-1088.24
382479-Joaquim Rufino-7258.83
129455-Guaraci Damasceno-14668.54
422591-Guaraci Damasceno-15694.16
620811-Heleedsa Marins-15286.42
924803-Sara Lameiras-13051.54
12729-Oliveira Carmona-5338.59
867107-Basilio Pedroso-4899.61
432960-Jonatas Felgueiras-10066.70
85040-Delfina Garcia de Gondim-9942.92
757183-Romo Paranage-6397.21
837580-Almerinda Palmeira-14341.03
949032-Flor Portella-19682.33
276979-Anind Zarco-10941.71
72378-Ubaldo Mainha-5913.09
503079-Oliveira Senchez-18062.33
168863-Liana Cardim-8447.63
892089-Clara Alcantara-3501.46
930705-Estanislau Beserra-4175.79
587613-Lurdes Cotrim-16836.64
569442-Elisa Themes-7679.38
892076-Edgar Carvalheiro-11387.75
97630-Estanislau Beserra-16067.24
156874-Tarrataca Soares-16055.17
148983-Henrique Bento-15901.06
299030-Mercia Caeira-1921.26
119057-Artur Grillo-1428.11
797769-Odilia Bello-6327.03
437891-Esperada Cardoso-3411.50
748131-Flor Portella-15227.38
866444-Ermelinda Quintela-14478.23
705378-Liana Cardim-2252.32
163762-Melinda Roserio-7283.29
371053-Adelino Barra-1290.03
749842-Neeamia Arruda-21441.52
953645-Basilio Pedroso-18599.67
907264-Quintino Alcantara-5816.02
107078-Delfina Perdigon-9904.00
969250-Ermelinda Quintela-14288.38
926740-Antonio Viegas-7561.03
548236-Quintino Alcantara-21139.69
107274-Clara Alcantara-18471.91
957785-Urbano Rodrigues-13898.71
532449-Ximena Castilho-5627.58
657303-Elisa Themes-4600.25
888372-Joaquim Rufino-16729.78
245088-Delfina Garcia de Gondim-17128.85
412666-Daniel Vieyra-14245.09
799547-Lurdes Cotrim-11579.95
336436-Elisa Themes-13309.21
610946-Heleedsa Marins-14794.69
225224-Ubaldo Mainha-2240.93
71346-Almor Caiado-8510.51
763295-Branco Saraba-6721.00
457944-Quintino Alcantara-12927.57
304278-Dulce Froes-81.62
150382-Adelino Barra-13054.07
82610-Almerinda Palmeira-10323.36
447787-Jorgina Bogalho-19691.35
134748-Urbano Rodrigues-1619.88
957033-Polibe Olivares-14285.99
748382-Domingos Pas-7743.41
246877-Neeamia Arruda-5719.28
132633-Manuel Capiperibe-15496.92
776702-Andreia Moita-16891.50
445280-Odilia Camello-9869.70
608364-Regina Barcellos-13031.21
173217-Judite Damasceno-10717.20
246919-Danilo Olaio-12831.67
831424-Emedlia Silvera-12188.18
853473-Filomena Barrios-16347.75
344949-Odilia Camello-3500.40
929480-Jussara Varanda-13592.87
81201-Regina Barcellos-17574.20
332563-Almerinda Palmeira-21071.96
857221-Jorgina Bogalho-7211.58
543546-Emedlia Silvera-14197.66
636626-Domingos Pas-16209.40
581832-Lurdes Cotrim-6017.03
662359-Flor Portella-16675.34
247346-Lina Andrade-18543.88
947740-Liana Cardim-4942.49
472413-Emedlio Pimentel-21061.79
441769-Ximena Castilho-10987.76
619101-Lurdes Cotrim-2916.25
462355-Leonidas Mafra-9774.82
275809-Moaci Mendoa-10170.26
209844-Flor Portella-17156.62
896126-Filomena Barrios-19582.44
233387-Basilio Pedroso-15664.23
421783-Marilda Leio-7021.87
385644-Liana Cardim-7941.34
389703-Tabalipa Duarte-4691.23
197191-Nuno Balsemeo-2990.81
940741-Augusta Paio-18337.00
880702-Romo Paranage-3196.79
495060-Gaudancio Fiees-10389.55
392179-Sofras Cuaresma-9996.81
228923-Anfnia Seixas-12735.77
284917-Flamednia Leiria-9963.27
875233-Cleusa Goes-13867.49
886048-Urbano Rodrigues-19321.34
629608-Romo Paranage-8350.40
584448-Tarrataca Soares-16022.38
315418-Henrique Bento-16961.79
671433-Moaci Mendoa-10765.75
