205461-Cleusa Goes-4531.67
637540-Angelica Aranha-171.06
166524-Armindo Castalo-14642.06
589908-Leonidas Mafra-8093.42
266614-Artur Grillo-15153.57
713426-Mercia Caeira-10204.53
478247-Armanda Amorim-17414.85
174863-Oliveira Carmona-18570.44
33474-Romo Paranage-19280.23
787027-Feledcia Peassego-668.24
239463-Taercio Mafra-15470.30
772440-Telma Villalobos-11731.84
210898-Odilia Bello-11228.67
714911-Flor Portella-7639.73
766969-Tibofarcio Camacho-17622.39
557283-Basilio Pedroso-15384.69
887603-Joaquim Rufino-15194.64
404167-Feledcia Peassego-13591.55
995642-Guaraci Damasceno-18341.88
623976-Mercia Caeira-10054.92
158817-Adelina Quadros-17267.31
376864-Oliveira Carmona-190.20
700706-Oliveira Senchez-1142.31
230379-Sofras Cuaresma-4339.46
618175-Lurdes Cotrim-3292.29
362766-Augusta Paio-2373.03
76235-Basilio Pedroso-18221.91
791039-Sofras Cuaresma-1001.11
66233-Delfim Higuera-16841.07
364480-Ximena Castilho-19587.31
3499-Romo Paranage-11804.06
672399-Angilica Galante-19497.83
41425-Domingos Pas-21364.83
277101-Micaela Chavez-10572.30
2038-Oliveira Carmona-16688.48
482852-Moaci Mendoa-11917.27
432967-Armindo Castalo-6463.20
363336-Delfim Higuera-17741.11
448821-Sidfnio Frois-21371.77
755600-Neeamia Arruda-15160.58
554349-Clarindo Areosa-21250.62
84531-Filomena Barrios-12162.50
151290-Mercia Caeira-21102.92
449173-Odete Vasques-16350.85
693090-Almerinda Palmeira-5546.04
166364-Joaquim Rufino-6310.87
942630-Ermelinda Quintela-12555.20
425843-Artur Grillo-17998.83
536523-Clarindo Areosa-14758.48
753959-Armindo Castalo-21176.04
702128-Jorgina Bogalho-4356.74
88903-Fulvio Villegas-3042.75
258445-Marilda Leio-17424.27
427812-Elisa Themes-5693.92
343735-Filomena Barrios-15140.85
624390-Almor Caiado-6107.68
632542-Sidfnio Frois-2442.27
960780-Adelina Quadros-891.69
916494-Esperada Cardoso-2457.06
82269-Delfina Garcia de Gondim-2504.59
306234-Carminda Morais-20621.62
108240-Filomena Barrios-4187.67
160685-Anind Zarco-15650.25
537700-Gaudancio Fiees-11949.69
34-Delfim Higuera-3658.30
66076-Odilia Camello-7464.54
735032-Adelino Barra-13810.86
439868-Cleusa Goes-7685.64
27568-Odete Vasques-6829.96
979658-Polibe Olivares-11140.79
51738-Manuel Capiperibe-14303.85
798158-Honorina Lira-16094.93
819800-Ermelinda Quintela-7201.70
784308-Tabalipa Duarte-8727.08
140855-Oliveira Senchez-15547.08
98882-Honorina Lira-11732.91
341107-Clara Alcantara-3595.42
293808-Odilia Camello-3689.82
415533-Nuno Balsemeo-8540.09
759156-Tarrataca Soares-11429.89
562284-Filomena Barrios-12060.41
527046-Sara Lameiras-14788.39
775049-Armindo Castalo-1181.75
564739-Tibefarcio Colao-10139.59
323927-Letedcia Gago-4406.17
912702-Zungela Ipiranga-20597.15
471806-Polibe Olivares-395.73
117428-Nuno Balsemeo-10668.67
843054-Edgar Carvalheiro-9357.99
565176-Aludsio Sosa-20395.58
366065-Marilda Leio-3336.36
68307-Edgar Carvalheiro-276.80
780142-Almerinda Palmeira-15404.55
178608-Regina Barcellos-21420.20
768700-Branco Saraba-8798.60
99510-Emedlio Pimentel-2672.89
204409-Marilda Leio-10507.61
883837-Zungela Ipiranga-3163.94
28607-Odete Vasques-9802.38
182639-Adelina Quadros-15778.03
