753202-Melinda Roserio-8531.78
173104-Jussara Varanda-20839.13
21532-Nuno Balsemeo-849.98
87383-Henrique Bento-12317.75
506287-Odilia Bello-18067.72
292160-Liana Cardim-12235.27
213243-Delfim Higuera-20197.39
465216-Armanda Amorim-17710.99
147588-Polibe Olivares-9381.14
989-Anind Zarco-413.50
842495-Feledcia Peassego-9381.03
570059-Delfina Garcia de Gondim-16882.76
728166-Daniel Vieyra-7908.14
539236-Telma Villalobos-8949.02
786339-Nuno Balsemeo-18874.08
255711-Armindo Castalo-1012.16
852523-Daniel Vieyra-14414.30
660702-Oliveira Senchez-14968.95
326614-Letedcia Gago-18400.42
919191-Oliveira Carmona-1945.60
596651-Feledcia Peassego-17084.02
935792-Micaela Chavez-13454.89
220372-Celeste Duarte-13642.17
502950-Armanda Amorim-2252.72
560240-Esperada Cardoso-11640.59
905610-Polibe Olivares-158.31
294675-Antonio Viegas-7016.83
939352-Liana Cardim-8413.44
198979-Ximena Castilho-13126.71
572688-Clarindo Areosa-5611.06
296362-Ximena Castilho-6497.03
123203-Delfina Perdigon-2841.55
742668-Regina Barcellos-15483.75
692641-Neuza Francia-2323.95
544153-Taercio Mafra-18629.55
319843-Sidfnio Frois-18043.77
311872-Heleedsa Marins-12801.88
733482-Micaela Chavez-1626.44
82593-Guaraci Damasceno-2228.43
474090-Cassandra Varejo-2514.15
425314-Flor Portella-2897.12
295111-Armindo Castalo-12758.35
169892-Angilica Galante-6030.94
261473-Henrique Bento-12097.87
625441-Silvio Mata-18433.30
564487-Sara Lameiras-961.67
334324-Anind Zarco-3644.79
303825-Sidfnio Frois-19422.12
100990-Eurico Siqueira-20312.95
601489-Sara Lameiras-3242.85
691809-Tarrataca Soares-13107.11
1306-Henrique Bento-2565.22
465771-Rebeca Neto-6546.92
821930-Henrique Bento-17219.53
572733-Delfim Higuera-15360.95
278419-Guaraci Damasceno-12611.76
393654-Tibofarcio Camacho-9130.27
696762-Micaela Chavez-11933.30
643447-Sidfnio Frois-7959.48
432687-Gaudancio Fiees-10335.49
153522-Nuno Balsemeo-3197.57
69611-Letedcia Gago-14517.59
853213-Tarrataca Soares-4187.41
214293-Feledcia Peassego-9165.63
878195-Estanislau Beserra-10301.36
389074-Polibe Olivares-4749.30
66773-Ermelinda Quintela-10553.24
223164-Oliveira Senchez-19040.21
108081-Aludsio Sosa-10361.81
804118-Oliveira Senchez-8221.30
785364-Jussara Varanda-15132.83
477135-Feledcia Peassego-12518.69
207244-Almerinda Palmeira-13137.22
629233-Filomena Barrios-1544.53
520927-Augusta Paio-11313.31
24118-Antonio Castelo-17927.20
703294-Antonio Viegas-873.03
925483-Clarindo Areosa-6745.27
478158-Emedlia Silvera-12016.35
978663-Emiliana Foquio-15524.39
544838-Angilica Galante-20512.24
384845-Tibefarcio Colao-18612.18
983638-Flamednia Leiria-12389.41
323340-Silvio Mata-8390.87
225883-Daniel Vieyra-2361.24
780350-Tibofarcio Camacho-9661.48
265162-Domingos Pas-21428.51
590324-Sofras Cuaresma-3842.93
936247-Nuno Balsemeo-11787.71
495434-Daniel Vieyra-10272.66
667868-Fulvio Villegas-9633.28
639775-Honorina Lira-13067.12
997120-Almerinda Palmeira-13616.96
76763-Tibofarcio Camacho-15470.19
125701-Angelica Aranha-6317.62
989427-Eurico Siqueira-17935.42
606070-Carminda Morais-12123.24
526052-Romo Paranage-20909.14
972537-Jussara Varanda-20383.66
569960-Tibofarcio Camacho-20908.62
