744945-Anfnia Seixas-1831.92
763957-Tibefarcio Colao-976.10
218600-Telma Villalobos-8276.08
580327-Augusta Paio-2585.39
891130-Micaela Chavez-5545.94
681991-Anind Zarco-7807.73
666599-Estanislau Beserra-15207.68
491883-Clarindo Areosa-1847.12
79311-Joaquim Rufino-4231.53
388047-Quintino Alcantara-14019.91
7430-Angelica Aranha-4272.52
805239-Anfnia Seixas-5340.17
485831-Taercio Mafra-11792.35
60873-Neuza Francia-3583.32
146641-Guaraci Damasceno-5892.23
226106-Henrique Bento-17099.05
623514-Ermelinda Quintela-140.88
961406-Trajano Fagundes-18505.80
950029-Oliveira Senchez-5031.75
809434-Judite Damasceno-14155.63
994712-Rebeca Neto-19265.71
888270-Lurdes Cotrim-6168.92
391731-Ubaldo Mainha-19463.78
503325-Jonatas Felgueiras-3469.56
154293-Guida Juca-7791.02
399541-Sara Lameiras-16193.28
933743-Branco Saraba-13464.68
752432-Silvio Mata-18204.29
766325-Moaci Mendoa-8268.96
449252-Fulvio Villegas-14687.05
639759-Jussara Varanda-11622.16
566438-Aludsio Sosa-906.21
25951-Emedlio Pimentel-4990.13
236898-Filomena Barrios-10675.16
263254-Feledcia Peassego-20546.70
28854-Ubaldo Mainha-18675.86
215689-Mercia Caeira-12870.36
490358-Fulvio Villegas-18337.89
344744-Joaquim Rufino-15450.71
890862-Gaudancio Fiees-8440.37
408-Honorina Lira-11326.77
713515-Rebeca Neto-6907.60
802719-Tibofarcio Camacho-523.02
302907-Polibe Olivares-3965.39
758602-Angelica Aranha-20818.02
316443-Domingos Pas-14023.47
718890-Heleedsa Marins-680.79
589457-Guida Juca-2405.70
405902-Quintiliano Sousa de Arronches-16229.14
634607-Antonio Castelo-4233.22
568653-Honorina Lira-2048.38
235456-Romo Paranage-7465.52
523288-Augusta Paio-5178.71
823879-Zungela Ipiranga-14651.74
156907-Ermelinda Quintela-17879.33
676665-Delfina Perdigon-1177.65
782695-Marilda Leio-2214.84
441444-Jonatas Felgueiras-12980.74
405345-Fulvio Villegas-8729.96
957074-Urbano Rodrigues-19206.30
545885-Anind Zarco-16147.16
327889-Silvio Mata-11174.67
869523-Sidfnio Frois-5195.07
713090-Feledcia Peassego-3198.47
95489-Adelina Quadros-15860.04
796326-Almerinda Palmeira-20776.81
360808-Ubaldo Mainha-15149.80
488271-Gaudancio Fiees-11849.38
701779-Almor Caiado-7738.59
346076-Mercia Caeira-18268.16
312025-Sidfnio Frois-8928.79
116385-Lurdes Cotrim-12522.06
472671-Delfim Higuera-14480.76
216307-Clarindo Areosa-15327.89
133848-Rebeca Neto-19028.85
500248-Adelina Quadros-3451.97
631951-Neuza Francia-4095.58
247846-Rodolfo Paz-165.63
453744-Flamednia Leiria-15542.64
655547-Delfina Garcia de Gondim-2031.27
4214-Almerinda Palmeira-6814.39
584750-Armindo Castalo-10465.55
632612-Zungela Ipiranga-20450.28
703791-Oliveira Senchez-20472.44
622166-Feledcia Peassego-3708.95
544645-Emiliana Foquio-9513.95
180597-Emiliana Foquio-17590.27
796366-Leonidas Mafra-8677.91
866099-Artur Grillo-17232.45
795143-Gaudancio Fiees-9034.17
56923-Almor Caiado-3289.37
197325-Ximena Castilho-16145.22
60590-Manuel Capiperibe-15826.71
516241-Emedlia Silvera-7528.91
761016-Letedcia Gago-15925.13
406758-Delfim Higuera-13925.74
766144-Adelina Quadros-832.71
167278-Carminda Morais-13270.67
647489-Emedlia Silvera-20139.34
392203-Honorina Lira-7702.45
780201-Rodolfo Paz-15703.02
90804-Armindo Castalo-10120.16
989453-Leonidas Mafra-3475.93
916115-Ximena Castilho-10251.09
603451-Honorina Lira-2823.86
185308-Jussara Varanda-223.09
678287-Jonatas Felgueiras-5900.75
197987-Oliveira Senchez-2477.59
24958-Trajano Fagundes-11594.07
612946-Jussara Varanda-5843.15
617497-Tibofarcio Camacho-8730.95
75530-Jorgina Bogalho-5597.03
55443-Jonatas Felgueiras-6906.92
706201-Jorgina Bogalho-11636.08
280651-Moaci Mendoa-18782.12
368254-Tarrataca Soares-10579.13
30009-Jonatas Felgueiras-18015.91
479217-Jorgina Bogalho-15733.06
995892-Tibefarcio Colao-12408.47
962486-Elisa Themes-3799.76
690493-Delfina Garcia de Gondim-20415.94
720484-Danilo Olaio-1121.86
282489-Quintino Alcantara-5012.41
920746-Ximena Castilho-4964.64
700551-Mercia Caeira-8507.44
350217-Fulvio Villegas-10091.13
825558-Manuel Capiperibe-2166.59
376366-Camila Gabeira-7041.38
169919-Edgar Carvalheiro-16511.34
402763-Fulvio Villegas-7766.13
950749-Angelica Aranha-9983.04
594077-Zulmira Becerra-17390.24
939903-Sofras Cuaresma-18633.06
494033-Odilia Camello-17187.44
656230-Armindo Castalo-1829.60
546297-Liana Cardim-18333.11
865894-Artur Grillo-2496.53
776956-Spnia ou Sonia Guerreiro-3170.29
510174-Andreia Moita-1357.15
606859-Anind Zarco-8651.18
679956-Letedcia Gago-9420.69
863314-Telma Villalobos-12396.63
232464-Lina Andrade-1701.19
842849-Rodolfo Paz-5716.13
917023-Joaquim Rufino-14602.69
251988-Trajano Fagundes-4193.32
699647-Tibofarcio Camacho-6541.98
322713-Jonatas Felgueiras-18189.75
567701-Flor Portella-11920.01
979558-Flamednia Leiria-141.25
4418-Tibefarcio Colao-8128.05
332775-Neeamia Arruda-13346.68
201465-Henrique Bento-16919.00
892978-Micaela Chavez-2382.60
844411-Manuel Capiperibe-17651.77
239963-Jonatas Felgueiras-6809.45
978908-Fulvio Villegas-1421.61
370452-Flamednia Leiria-3654.84
790960-Mercia Caeira-20550.51
926704-Henrique Bento-4195.47
180447-Tarrataca Soares-5305.52
19291-Taercio Mafra-12388.84
37313-Melinda Roserio-21360.86
658063-Sidfnio Frois-7904.95
408280-Quintino Alcantara-10683.40
427842-Lurdes Cotrim-10050.96
295751-Filomena Barrios-2865.91
361548-Ermelinda Quintela-13099.62
918543-Sofras Cuaresma-972.69
476910-Tibofarcio Camacho-10791.96
676212-Neuza Francia-8258.92
163701-Neuza Francia-2794.28
351748-Sofras Cuaresma-6794.65
440112-Rodolfo Paz-486.40
787996-Estanislau Beserra-11060.48
828775-Lurdes Cotrim-10169.92
330788-Urbano Rodrigues-2008.04
477330-Domingos Pas-14591.66
623820-Quintiliano Sousa de Arronches-1686.01
821605-Rebeca Neto-18160.78
82949-Delfina Perdigon-21207.54
895917-Clarindo Areosa-18954.34
109637-Rodolfo Paz-3273.02
925574-Almor Caiado-12557.42
236707-Angelica Aranha-6240.47
887447-Jussara Varanda-1973.92
150460-Jussara Varanda-6567.23
4656-Almor Caiado-21442.00
336839-Guaraci Damasceno-7303.40
421616-Judite Damasceno-6176.78
734747-Odilia Camello-782.77
423977-Fulvio Villegas-17901.73
57652-Moaci Mendoa-5497.99
156733-Honorina Lira-6407.25
895637-Edgar Carvalheiro-7059.61
198995-Feledcia Peassego-18138.49
494650-Tarrataca Soares-6745.16
594705-Neuza Francia-18695.20
377060-Mercia Caeira-2663.74
760260-Cleusa Goes-2573.12
737566-Rodolfo Paz-7740.46
985191-Anind Zarco-4949.87
666836-Odete Vasques-18470.44
166954-Lurdes Cotrim-12147.17
409305-Angilica Galante-7941.29
214590-Honorina Lira-16913.28
411583-Jonatas Felgueiras-6283.39
331072-Nuno Balsemeo-21009.34
966741-Clara Alcantara-11258.27
942408-Flamednia Leiria-191.04
112384-Marilda Leio-5968.42
559618-Lina Andrade-6848.27
180026-Lurdes Cotrim-310.10
115949-Ubaldo Mainha-11101.77
776611-Odete Vasques-8831.03
915070-Tarrataca Soares-21213.17
902421-Manuel Capiperibe-7272.45
921830-Estanislau Beserra-16525.76
461600-Quintiliano Sousa de Arronches-5990.59
891274-Delfim Higuera-4445.18
632469-Flamednia Leiria-18066.30
419932-Almerinda Palmeira-4687.06
193992-Zulmira Becerra-3684.03
528653-Guida Juca-20555.19
97001-Angilica Galante-18758.12
794672-Letedcia Gago-5352.43
337013-Tarrataca Soares-19951.46
218675-Gaudancio Fiees-4875.84
550715-Flor Portella-295.62
226544-Almor Caiado-8874.53
6424-Zulmira Becerra-11710.85
627919-Antonio Castelo-16545.05
76222-Judite Damasceno-6852.16
534520-Gaudancio Fiees-1102.61
686120-Henrique Bento-11443.58
456679-Delfim Higuera-2866.69
544436-Danilo Olaio-13760.06
877326-Jussara Varanda-7457.41
819124-Emedlio Pimentel-4968.08
303869-Tibefarcio Colao-17550.34
823024-Neeamia Arruda-2445.57
488974-Quintino Alcantara-8571.85
861337-Regina Barcellos-21302.61
636491-Tabalipa Duarte-19473.12
446737-Urbano Rodrigues-14185.15
585039-Rodolfo Paz-14269.71
966467-Delfim Higuera-19465.16
9793-Joaquim Rufino-15569.09
636849-Trajano Fagundes-19107.29
825585-Domingos Pas-14595.49
983629-Tibofarcio Camacho-6478.88
227098-Odete Vasques-12823.77
8629-Danilo Olaio-16842.38
489509-Joaquim Rufino-743.91
231097-Honorina Lira-6558.38
846746-Quintiliano Sousa de Arronches-10094.23
131127-Tibofarcio Camacho-16703.89
937606-Sidfnio Frois-3389.16
484858-Adelino Barra-17975.53
839951-Estanislau Beserra-17808.95
262133-Adelino Barra-11763.95
725124-Ermelinda Quintela-11551.38
373196-Manuel Capiperibe-12241.47
315274-Quintino Alcantara-20686.36
85878-Sara Lameiras-16513.84
371129-Polibe Olivares-11167.47
144058-Tabalipa Duarte-7513.94
432750-Taercio Mafra-19313.32
663586-Adelina Quadros-11073.33
622987-Flor Portella-9236.89
647526-Camila Gabeira-9879.51
76579-Taercio Mafra-15446.76
882768-Guaraci Damasceno-13035.66
927430-Lurdes Cotrim-2473.98
879760-Daniel Vieyra-3234.84
670143-Spnia ou Sonia Guerreiro-8028.55
399972-Polibe Olivares-9649.99
519360-Clarindo Areosa-6089.48
554454-Delfina Perdigon-12916.11
174807-Telma Villalobos-6287.51
689651-Edgar Carvalheiro-799.15
115321-Honorina Lira-2929.91
678915-Camila Gabeira-4028.74
905414-Liana Cardim-20938.01
767976-Rebeca Neto-11451.97
46753-Delfina Garcia de Gondim-3603.84
72141-Spnia ou Sonia Guerreiro-7487.84
491617-Ximena Castilho-18333.03
275493-Flor Portella-18053.74
392274-Rebeca Neto-3150.65
198264-Tibofarcio Camacho-12907.55
471948-Sara Lameiras-16138.70
422100-Filomena Barrios-2920.66
454618-Sidfnio Frois-6969.71
884778-Ermelinda Quintela-6022.55
798457-Emiliana Foquio-16593.02
83137-Almor Caiado-6898.90
366524-Sofras Cuaresma-5928.98
114073-Odilia Camello-11521.74
473018-Neuza Francia-13275.66
582697-Moaci Mendoa-20427.64
606988-Emiliana Foquio-21382.36
138823-Clara Alcantara-10111.75
28266-Odilia Bello-21126.29
751802-Henrique Bento-13950.31
672839-Elisa Themes-13293.46
494226-Leonidas Mafra-5709.45
583229-Joaquim Rufino-848.28
8266-Tibofarcio Camacho-4799.42
807439-Aludsio Sosa-9004.15
188259-Rodolfo Paz-19749.98
324026-Angelica Aranha-16361.21
846412-Edgar Carvalheiro-1767.76
434334-Delfina Garcia de Gondim-1473.21
993206-Judite Damasceno-14940.73
323708-Ermelinda Quintela-10672.62
956242-Lurdes Cotrim-13747.56
995652-Anfnia Seixas-10178.56
933556-Dulce Froes-18298.64
45447-Odete Vasques-13211.88
756303-Lina Andrade-19543.76
231684-Telma Villalobos-7252.16
459890-Flamednia Leiria-13950.63
863022-Artur Grillo-21084.97
928402-Estanislau Beserra-14150.07
24456-Almor Caiado-20643.30
982345-Gaudancio Fiees-14208.03
885206-Camila Gabeira-1743.15
615916-Anind Zarco-10652.48
288547-Telma Villalobos-9508.10
892471-Edgar Carvalheiro-11585.67
10383-Zungela Ipiranga-15837.98
249273-Dulce Froes-697.74
780668-Zulmira Becerra-19226.38
632834-Odete Vasques-6650.82
557573-Aludsio Sosa-19871.07
260429-Edgar Carvalheiro-7756.05
719275-Antonio Castelo-18964.91
550045-Zungela Ipiranga-11396.23
761005-Elisa Themes-11324.28
159596-Clarindo Areosa-6278.37
450428-Flor Portella-16008.47
473879-Anind Zarco-13926.13
560011-Guaraci Damasceno-1799.10
175861-Eurico Siqueira-2575.42
281932-Ermelinda Quintela-9721.00
750988-Sidfnio Frois-12433.61
539272-Esperada Cardoso-2985.96
126084-Angilica Galante-13031.46
994035-Delfina Garcia de Gondim-17919.07
155868-Cassandra Varejo-9385.83
400591-Guida Juca-6975.50
959888-Heleedsa Marins-17940.24
293648-Clara Alcantara-13281.00
781247-Quintino Alcantara-14082.76
351087-Anind Zarco-13020.74
543977-Camila Gabeira-9263.42
342261-Aludsio Sosa-17018.81
147499-Emiliana Foquio-16555.23
91959-Clara Alcantara-18525.17
464187-Leonidas Mafra-10961.90
189360-Clara Alcantara-5451.06
761508-Camila Gabeira-17830.66
462609-Polibe Olivares-5848.76
73331-Flor Portella-10206.58
742862-Guaraci Damasceno-16080.09
996070-Estanislau Beserra-390.69
126088-Jonatas Felgueiras-13844.11
368544-Anind Zarco-10980.75
757131-Urbano Rodrigues-3196.83
569205-Joaquim Rufino-1816.64
964364-Honorina Lira-13118.53
909386-Tibofarcio Camacho-10161.31
910856-Dulce Froes-6871.10
12433-Moaci Mendoa-5047.00
389977-Feledcia Peassego-7264.43
874476-Trajano Fagundes-1769.55
184216-Angilica Galante-995.98
407524-Cleusa Goes-7929.66
154132-Adelina Quadros-14127.23
934428-Augusta Paio-16032.93
420632-Flamednia Leiria-1557.73
13336-Quintino Alcantara-20626.83
188779-Delfim Higuera-5281.10
240610-Angilica Galante-11751.22
950076-Heleedsa Marins-11170.29
184618-Armindo Castalo-16559.03
4563-Branco Saraba-15706.04
719470-Camila Gabeira-4155.27
542246-Zulmira Becerra-19936.82
532146-Emedlio Pimentel-17151.32
702414-Ermelinda Quintela-6760.69
726057-Quintiliano Sousa de Arronches-15690.83
397287-Oliveira Carmona-18822.71
178714-Jussara Varanda-530.28
660021-Artur Grillo-13969.79
100422-Adelino Barra-10796.79
495987-Jonatas Felgueiras-12876.84
972805-Emedlia Silvera-12579.20
932123-Zulmira Becerra-20884.62
131074-Filomena Barrios-19515.11
138862-Carminda Morais-10287.29
403499-Sara Lameiras-6319.72
383429-Delfim Higuera-17773.69
473155-Regina Barcellos-8570.64
685110-Antonio Viegas-5232.41
441976-Manuel Capiperibe-15023.41
618229-Danilo Olaio-18238.37
398085-Melinda Roserio-15873.26
705420-Guida Juca-15857.75
727071-Dulce Froes-10844.22
881113-Delfina Garcia de Gondim-16865.61
620884-Silvio Mata-14004.81
443368-Edgar Carvalheiro-1413.80
53695-Tibefarcio Colao-5848.54
208827-Daniel Vieyra-17585.39
826138-Elisa Themes-4844.97
155652-Delfina Perdigon-5661.15
169230-Delfina Perdigon-14265.13
102694-Letedcia Gago-13337.35
530995-Antonio Castelo-1339.79
469926-Delfim Higuera-16898.60
654607-Flamednia Leiria-2349.97
327445-Estanislau Beserra-16334.40
369377-Flamednia Leiria-13250.10
475469-Andreia Moita-15102.19
338447-Guaraci Damasceno-14385.62
542380-Mercia Caeira-422.34
99609-Odilia Camello-7564.03
499291-Almor Caiado-5440.22
189900-Aludsio Sosa-14935.53
302512-Nuno Balsemeo-12615.39
492339-Celeste Duarte-8767.10
679234-Tibefarcio Colao-9710.38
246626-Leonidas Mafra-11744.07
667669-Aludsio Sosa-1963.99
143826-Estanislau Beserra-7077.37
117073-Delfim Higuera-20632.80
205641-Gaudancio Fiees-17918.96
323966-Antonio Castelo-14809.11
177469-Clarindo Areosa-5686.18
525925-Armindo Castalo-1394.36
250447-Antonio Castelo-18799.29
455569-Angelica Aranha-7481.24
617361-Danilo Olaio-11803.71
305872-Neuza Francia-16140.39
729928-Anfnia Seixas-16601.82
715667-Dulce Froes-18032.99
451447-Manuel Capiperibe-4620.21
73793-Tabalipa Duarte-12103.46
