131007-Clarindo Areosa-1733.11
258907-Ximena Castilho-5340.36
860539-Almor Caiado-8504.11
895481-Edgar Carvalheiro-12206.26
918142-Armanda Amorim-11951.64
927895-Camila Gabeira-13973.30
784470-Eurico Siqueira-17977.05
394781-Odilia Bello-13376.33
551994-Mercia Caeira-20916.63
173294-Odilia Bello-3279.37
61944-Armindo Castalo-16520.68
949167-Henrique Bento-7138.43
947265-Clara Alcantara-1152.20
713268-Tibofarcio Camacho-12001.15
615153-Augusta Paio-1625.50
812165-Almor Caiado-12944.78
489136-Emiliana Foquio-9397.78
460828-Edgar Carvalheiro-5946.90
659852-Branco Saraba-2877.58
624219-Sidfnio Frois-16789.31
510391-Antonio Viegas-17139.93
223556-Flamednia Leiria-504.59
456706-Mercia Caeira-17324.06
133780-Cleusa Goes-13136.36
920671-Clarindo Areosa-18122.51
904538-Branco Saraba-17295.79
701941-Silvio Mata-7285.85
237227-Emedlia Silvera-14650.46
922212-Dulce Froes-16567.05
270429-Oliveira Carmona-20353.29
71565-Lurdes Cotrim-11913.56
940275-Augusta Paio-14455.80
651818-Spnia ou Sonia Guerreiro-11845.53
99437-Delfim Higuera-12586.87
662261-Odilia Bello-7411.24
291136-Emiliana Foquio-8270.28
397605-Elisa Themes-7662.47
282491-Antonio Castelo-2090.00
373279-Filomena Barrios-4929.22
705610-Trajano Fagundes-15621.93
1836-Emedlia Silvera-15972.64
291197-Sofras Cuaresma-1027.21
555565-Filomena Barrios-20873.73
225852-Edgar Carvalheiro-12239.89
531679-Trajano Fagundes-8601.67
120903-Flor Portella-11584.58
805689-Ermelinda Quintela-12658.56
558822-Antonio Viegas-21221.38
390186-Taercio Mafra-270.28
926928-Lina Andrade-17107.34
309621-Telma Villalobos-2622.52
565008-Urbano Rodrigues-16905.43
400294-Odete Vasques-17510.99
304888-Emedlio Pimentel-288.41
412572-Lurdes Cotrim-21323.72
644017-Clarindo Areosa-12840.10
903762-Filomena Barrios-13608.16
926451-Joaquim Rufino-9438.91
432961-Filomena Barrios-14982.81
378208-Taercio Mafra-3857.24
32620-Romo Paranage-17890.34
951410-Cassandra Varejo-4571.15
107558-Clarindo Areosa-21305.15
636530-Quintino Alcantara-15513.37
670466-Melinda Roserio-21257.49
387979-Jorgina Bogalho-2999.10
563854-Sidfnio Frois-11958.13
595696-Ermelinda Quintela-12847.40
798701-Delfina Garcia de Gondim-7756.89
513443-Guaraci Damasceno-1615.84
994589-Eurico Siqueira-10046.16
211271-Filomena Barrios-6070.84
487392-Tarrataca Soares-12191.92
378515-Quintiliano Sousa de Arronches-6333.45
110494-Esperada Cardoso-735.31
731358-Basilio Pedroso-3999.19
878364-Anind Zarco-6234.83
840848-Zungela Ipiranga-20100.79
210337-Jonatas Felgueiras-2393.94
377017-Celeste Duarte-17809.07
751464-Angelica Aranha-19029.02
192357-Judite Damasceno-8676.30
231999-Armanda Amorim-3656.33
819740-Adelina Quadros-5.28
744118-Angelica Aranha-19486.39
450408-Tibofarcio Camacho-18998.86
549924-Sara Lameiras-11382.81
979132-Odilia Bello-10246.38
664483-Lurdes Cotrim-3553.65
38940-Gaudancio Fiees-6287.42
997061-Mercia Caeira-830.10
87820-Melinda Roserio-5072.02
262626-Jorgina Bogalho-2109.51
629038-Antonio Viegas-13247.70
856290-Armanda Amorim-11050.31
98496-Daniel Vieyra-16774.81
776339-Almerinda Palmeira-11945.47
453675-Dulce Froes-8520.43
209847-Ximena Castilho-19347.07
359908-Regina Barcellos-9232.63
