601064-Judite Damasceno-18496.80
952949-Adelina Quadros-8938.44
131528-Letedcia Gago-17633.04
651104-Micaela Chavez-7417.59
209876-Estanislau Beserra-19189.12
20651-Judite Damasceno-10080.71
438304-Ubaldo Mainha-4899.93
350255-Nuno Balsemeo-15338.47
887322-Lurdes Cotrim-19832.70
564672-Quintino Alcantara-17633.63
829066-Carminda Morais-8774.81
850321-Guaraci Damasceno-2449.50
821721-Judite Damasceno-19910.82
337431-Quintiliano Sousa de Arronches-13742.49
444148-Joaquim Rufino-4209.75
243188-Nuno Balsemeo-11079.96
226894-Emiliana Foquio-17054.34
732941-Zungela Ipiranga-3483.01
830264-Almerinda Palmeira-19031.88
665625-Anfnia Seixas-17402.69
704655-Regina Barcellos-13286.15
423374-Jorgina Bogalho-9839.81
501973-Angelica Aranha-8323.20
400980-Basilio Pedroso-3531.73
59309-Adelino Barra-16896.17
629361-Esperada Cardoso-15103.77
302984-Dulce Froes-9741.20
452818-Rebeca Neto-2713.69
482769-Adelino Barra-6482.00
783171-Guida Juca-203.82
963380-Artur Grillo-5140.86
624461-Adelina Quadros-18315.10
752066-Lina Andrade-5715.28
961373-Jussara Varanda-6449.29
936189-Guaraci Damasceno-6459.88
402742-Domingos Pas-3461.34
348980-Lina Andrade-7534.37
762263-Dulce Froes-2104.06
476494-Moaci Mendoa-2508.89
378996-Quintino Alcantara-7106.72
583496-Fulvio Villegas-12056.36
402710-Esperada Cardoso-4657.76
719663-Aludsio Sosa-8835.28
839723-Almor Caiado-1550.06
165731-Leonidas Mafra-18019.42
592778-Delfim Higuera-19503.45
429460-Regina Barcellos-17082.10
386320-Jussara Varanda-6334.89
712651-Guida Juca-12219.66
755069-Armanda Amorim-10818.61
662847-Anind Zarco-19534.44
173344-Moaci Mendoa-8703.63
709934-Telma Villalobos-9640.83
258239-Estanislau Beserra-9194.39
251942-Delfina Perdigon-10896.05
750352-Lurdes Cotrim-10167.14
382832-Danilo Olaio-636.60
936012-Jussara Varanda-13520.46
928120-Domingos Pas-8582.75
292868-Adelino Barra-13780.30
329780-Cassandra Varejo-7842.09
518588-Henrique Bento-17383.83
106-Ubaldo Mainha-17770.93
493696-Melinda Roserio-14718.67
509787-Augusta Paio-14676.36
984568-Fulvio Villegas-2629.02
804430-Spnia ou Sonia Guerreiro-3512.85
351056-Adelino Barra-3387.38
903063-Mercia Caeira-4356.66
420593-Jussara Varanda-8929.58
315346-Telma Villalobos-2738.05
654467-Celeste Duarte-19313.23
873369-Spnia ou Sonia Guerreiro-20363.23
691717-Flor Portella-14723.33
949233-Flamednia Leiria-3943.59
811648-Zungela Ipiranga-6043.44
904445-Emiliana Foquio-19051.49
657084-Emiliana Foquio-17100.16
455886-Judite Damasceno-6524.35
46205-Filomena Barrios-21018.56
183112-Artur Grillo-6976.88
529454-Oliveira Senchez-5408.58
258576-Telma Villalobos-3542.48
113115-Andreia Moita-11019.40
834960-Anind Zarco-15558.89
708755-Edgar Carvalheiro-6582.17
484854-Elisa Themes-15731.22
546089-Ubaldo Mainha-692.95
861175-Odilia Camello-17937.51
325530-Flor Portella-11623.13
264724-Lurdes Cotrim-17004.96
8539-Zulmira Becerra-20450.26
591914-Jonatas Felgueiras-17868.01
14956-Sara Lameiras-5554.30
287713-Flamednia Leiria-19702.65
919974-Honorina Lira-10564.91
896306-Letedcia Gago-2244.92
537491-Guida Juca-19730.38
710939-Cleusa Goes-1984.15
319712-Antonio Viegas-17787.41
