294040-Guida Juca-18093.36
332215-Antonio Viegas-21268.36
398795-Adelino Barra-10096.14
855704-Andreia Moita-20889.06
526013-Neuza Francia-10808.14
420812-Jussara Varanda-12309.91
941898-Flamednia Leiria-10355.99
766101-Anfnia Seixas-18692.14
265420-Emiliana Foquio-2448.61
383091-Artur Grillo-4854.58
180409-Delfina Garcia de Gondim-3532.68
555858-Henrique Bento-10456.01
507620-Polibe Olivares-18569.99
859721-Jussara Varanda-13853.71
131226-Mercia Caeira-12064.14
184546-Judite Damasceno-13678.35
499901-Letedcia Gago-20747.76
659497-Domingos Pas-20190.59
75306-Angilica Galante-3428.41
580492-Cassandra Varejo-2547.40
143106-Oliveira Carmona-14459.21
557987-Filomena Barrios-6509.93
325089-Leonidas Mafra-11595.00
706465-Dulce Froes-21043.60
26872-Basilio Pedroso-10850.08
160991-Moaci Mendoa-17731.92
286445-Augusta Paio-4442.08
527554-Basilio Pedroso-5698.68
499436-Esperada Cardoso-17289.43
331896-Almor Caiado-5190.40
622316-Domingos Pas-17121.83
181090-Artur Grillo-6752.58
856785-Odete Vasques-16825.83
48195-Guida Juca-14488.05
611026-Joaquim Rufino-20628.32
103995-Jussara Varanda-3105.10
947913-Liana Cardim-17177.96
568328-Armanda Amorim-8778.40
280397-Carminda Morais-18073.39
316835-Clara Alcantara-4561.88
609791-Rebeca Neto-16048.10
823321-Delfina Garcia de Gondim-13115.07
545987-Armindo Castalo-6218.81
769058-Neuza Francia-13929.29
868607-Taercio Mafra-7150.56
492211-Armanda Amorim-19421.60
824418-Delfina Garcia de Gondim-21471.08
848777-Zulmira Becerra-12571.93
257489-Jonatas Felgueiras-12914.73
125860-Antonio Castelo-4453.06
34382-Emiliana Foquio-11209.16
642514-Zungela Ipiranga-4692.56
508242-Henrique Bento-12888.02
473007-Guida Juca-4440.87
759627-Odilia Bello-394.72
878622-Flor Portella-11599.64
23686-Delfina Perdigon-12837.89
481266-Taercio Mafra-8551.54
778916-Andreia Moita-4439.28
416073-Almor Caiado-17790.54
757336-Flor Portella-10846.04
425022-Angelica Aranha-727.63
600221-Angilica Galante-15662.71
172423-Mercia Caeira-8052.61
673471-Silvio Mata-13860.21
747096-Neeamia Arruda-10764.16
980940-Camila Gabeira-1869.56
355621-Guida Juca-4354.37
923115-Neuza Francia-5522.16
480172-Adelino Barra-1971.48
343627-Basilio Pedroso-19739.05
123271-Ximena Castilho-10448.47
675129-Odilia Bello-8689.63
28837-Judite Damasceno-20681.36
986156-Basilio Pedroso-17403.26
899343-Adelina Quadros-6005.89
293312-Clarindo Areosa-5910.86
992482-Melinda Roserio-17114.42
845630-Neeamia Arruda-9238.81
626599-Adelina Quadros-16673.62
977600-Camila Gabeira-922.22
449368-Liana Cardim-16143.45
168065-Daniel Vieyra-2605.36
190989-Artur Grillo-16145.65
958443-Delfim Higuera-18255.51
779112-Emedlio Pimentel-9329.67
498912-Ermelinda Quintela-967.77
690587-Antonio Castelo-6007.69
319051-Adelino Barra-11526.15
679573-Augusta Paio-487.58
671873-Jonatas Felgueiras-12157.35
602343-Celeste Duarte-14431.85
379654-Basilio Pedroso-8038.69
120379-Zungela Ipiranga-8640.60
513294-Estanislau Beserra-2815.35
748221-Clara Alcantara-4423.14
88610-Neeamia Arruda-2753.29
999047-Zulmira Becerra-21150.20
384211-Antonio Viegas-21018.55
650864-Cassandra Varejo-7880.51
