888512-Polibe Olivares-13349.24
771568-Honorina Lira-9039.15
709330-Danilo Olaio-5567.72
465718-Anind Zarco-1460.55
789730-Delfim Higuera-18054.05
858712-Henrique Bento-18560.13
776638-Jorgina Bogalho-2210.39
610201-Esperada Cardoso-12087.94
469606-Jussara Varanda-8690.21
307412-Telma Villalobos-3273.49
353795-Leonidas Mafra-8142.38
218723-Honorina Lira-18680.09
414674-Flor Portella-3202.35
447552-Leonidas Mafra-8157.01
649960-Domingos Pas-21304.90
259787-Guida Juca-10508.65
259537-Emiliana Foquio-20356.42
721042-Daniel Vieyra-11927.69
746832-Armanda Amorim-19472.38
382787-Tarrataca Soares-10970.62
851930-Domingos Pas-10159.32
245088-Eurico Siqueira-4046.67
552939-Regina Barcellos-1545.98
149235-Esperada Cardoso-4400.46
800445-Rebeca Neto-11386.96
372927-Sidfnio Frois-21059.55
958476-Delfina Garcia de Gondim-13767.31
99362-Odilia Camello-3219.69
34187-Polibe Olivares-3887.16
506852-Flor Portella-17500.98
328593-Angilica Galante-21049.50
387924-Fulvio Villegas-6407.12
972764-Anfnia Seixas-4087.81
792444-Daniel Vieyra-19659.30
829034-Jorgina Bogalho-11632.47
872266-Neuza Francia-19536.20
780850-Odilia Camello-18980.95
847778-Cassandra Varejo-12177.11
683251-Zungela Ipiranga-11212.61
789580-Camila Gabeira-3302.84
957824-Mercia Caeira-13196.13
58132-Aludsio Sosa-6085.17
341929-Edgar Carvalheiro-650.06
223891-Guida Juca-93.15
151568-Lurdes Cotrim-12571.44
774922-Adelino Barra-16440.16
386442-Camila Gabeira-733.14
729315-Adelino Barra-7281.61
40935-Clarindo Areosa-5063.61
68135-Zulmira Becerra-13551.50
226405-Moaci Mendoa-766.25
334973-Manuel Capiperibe-19816.83
155277-Clara Alcantara-10325.41
272962-Quintino Alcantara-16787.65
837262-Neuza Francia-654.33
648623-Quintiliano Sousa de Arronches-16262.08
596324-Emedlio Pimentel-20245.94
155194-Odilia Camello-4898.40
940947-Moaci Mendoa-16388.81
987771-Spnia ou Sonia Guerreiro-15654.65
318869-Sofras Cuaresma-20196.92
779187-Moaci Mendoa-8115.43
756649-Delfina Perdigon-7292.15
740371-Dulce Froes-340.04
39149-Judite Damasceno-6918.41
998369-Henrique Bento-17184.90
973946-Tarrataca Soares-7726.03
779434-Flor Portella-18997.58
746260-Silvio Mata-20226.99
74026-Augusta Paio-1152.03
552314-Heleedsa Marins-8025.22
171651-Letedcia Gago-11093.01
990169-Gaudancio Fiees-16440.58
349799-Ximena Castilho-3243.14
990782-Antonio Viegas-14543.53
64688-Zulmira Becerra-19963.52
862791-Antonio Viegas-14468.42
255180-Neeamia Arruda-20266.21
3876-Polibe Olivares-1688.84
149814-Jorgina Bogalho-6749.58
761129-Adelina Quadros-6050.27
96931-Sofras Cuaresma-357.15
975840-Cassandra Varejo-9487.05
69486-Daniel Vieyra-815.71
167183-Regina Barcellos-12605.62
106193-Jonatas Felgueiras-2561.43
51491-Domingos Pas-8420.06
115753-Estanislau Beserra-7477.77
937823-Anind Zarco-4632.98
491351-Aludsio Sosa-16274.47
731404-Branco Saraba-15107.25
9556-Romo Paranage-21328.22
588642-Basilio Pedroso-103.14
741662-Adelino Barra-1673.83
725339-Cassandra Varejo-4905.51
546119-Delfina Garcia de Gondim-16716.57
751427-Delfim Higuera-11342.25
315210-Antonio Castelo-17983.40
500549-Odete Vasques-12687.95
86410-Ximena Castilho-15682.86
630466-Jorgina Bogalho-6645.34
201383-Tibefarcio Colao-15075.43
487165-Odete Vasques-9116.48
994333-Emedlio Pimentel-5209.06
556334-Emedlio Pimentel-6596.32
713007-Quintiliano Sousa de Arronches-6346.94
496335-Armindo Castalo-2949.62
801815-Almor Caiado-10872.77
884626-Augusta Paio-7432.94
264997-Dulce Froes-15793.80
609094-Honorina Lira-21230.11
194400-Rebeca Neto-8317.29
117844-Henrique Bento-20362.16
838916-Silvio Mata-2427.26
459804-Antonio Viegas-19752.83
631341-Angelica Aranha-20519.96
976070-Rodolfo Paz-7290.08
61836-Camila Gabeira-9958.10
488039-Aludsio Sosa-14526.95
225206-Jorgina Bogalho-4154.76
248337-Mercia Caeira-16590.85
321540-Micaela Chavez-2517.96
938020-Rodolfo Paz-4739.14
719122-Domingos Pas-1882.69
922860-Micaela Chavez-17097.29
241871-Anind Zarco-12338.77
771329-Esperada Cardoso-4323.69
262662-Dulce Froes-4394.31
31080-Almerinda Palmeira-9059.19
609836-Nuno Balsemeo-9531.44
85341-Sidfnio Frois-19.09
571709-Zungela Ipiranga-8642.30
303026-Leonidas Mafra-7526.85
766459-Sofras Cuaresma-5789.20
956341-Neuza Francia-8638.43
945359-Fulvio Villegas-1196.01
446519-Tibefarcio Colao-11283.73
956157-Oliveira Senchez-20376.35
792440-Ximena Castilho-17871.83
323642-Quintiliano Sousa de Arronches-11203.09
331112-Ubaldo Mainha-16163.94
456648-Judite Damasceno-11034.82
861947-Emedlio Pimentel-4133.02
697557-Feledcia Peassego-15820.68
802394-Angelica Aranha-5575.41
636263-Taercio Mafra-14624.86
863208-Marilda Leio-20539.33
459300-Taercio Mafra-9134.05
2727-Letedcia Gago-11841.98
465176-Jonatas Felgueiras-240.38
71853-Heleedsa Marins-21433.69
103801-Honorina Lira-6113.42
849855-Sidfnio Frois-21222.04
313443-Cleusa Goes-7074.18
180984-Anfnia Seixas-8502.20
408042-Almerinda Palmeira-21128.56
236488-Micaela Chavez-14342.36
437651-Esperada Cardoso-13942.12
790545-Zulmira Becerra-2847.31
842602-Jorgina Bogalho-11591.96
720011-Odete Vasques-6757.84
508112-Telma Villalobos-9838.88
262264-Letedcia Gago-8002.54
350900-Rodolfo Paz-8775.67
991424-Zungela Ipiranga-17947.49
205585-Elisa Themes-1206.73
389687-Danilo Olaio-2699.09
539305-Odilia Bello-12233.47
94243-Flor Portella-7236.54
363293-Trajano Fagundes-5580.13
670098-Zungela Ipiranga-18467.33
862122-Judite Damasceno-19112.41
396012-Basilio Pedroso-18550.20
650069-Odilia Camello-20913.71
321850-Augusta Paio-20548.78
730102-Adelina Quadros-1556.00
511087-Odilia Camello-35.06
528013-Ximena Castilho-15050.46
272885-Odete Vasques-12786.56
748430-Guida Juca-5085.36
936175-Spnia ou Sonia Guerreiro-13662.06
907974-Estanislau Beserra-17000.68
767628-Angilica Galante-21214.64
397696-Oliveira Senchez-4576.30
111621-Carminda Morais-17109.52
574037-Heleedsa Marins-2891.99
709337-Camila Gabeira-4527.10
754010-Tibefarcio Colao-14882.38
662059-Armindo Castalo-4950.27
224031-Delfim Higuera-20527.76
315231-Tibefarcio Colao-8782.28
139318-Rebeca Neto-19421.36
720758-Rebeca Neto-19334.20
838165-Guida Juca-16523.34
842441-Carminda Morais-19764.46
241360-Trajano Fagundes-4055.36
756861-Jorgina Bogalho-13552.45
262279-Rebeca Neto-8005.16
813271-Tibofarcio Camacho-21121.78
53136-Sidfnio Frois-17189.18
312464-Jorgina Bogalho-1787.50
810408-Guaraci Damasceno-14858.89
376388-Clara Alcantara-11091.26
922767-Flor Portella-9034.81
99615-Tabalipa Duarte-8128.40
745134-Neeamia Arruda-7445.97
589427-Spnia ou Sonia Guerreiro-8543.54
659933-Carminda Morais-11456.16
968312-Antonio Castelo-9759.46
303803-Sofras Cuaresma-16239.99
931188-Tibofarcio Camacho-14508.28
302993-Augusta Paio-18226.38
327192-Adelino Barra-1445.31
771414-Joaquim Rufino-6854.54
66059-Heleedsa Marins-17555.54
322747-Angelica Aranha-7708.15
631869-Cleusa Goes-1679.21
186408-Oliveira Carmona-3995.81
256728-Urbano Rodrigues-8065.49
21239-Angelica Aranha-18838.53
736676-Edgar Carvalheiro-13893.00
685567-Moaci Mendoa-2011.20
39934-Tarrataca Soares-2614.47
520535-Quintino Alcantara-13562.18
998240-Emedlia Silvera-8428.01
315489-Danilo Olaio-6976.40
746347-Urbano Rodrigues-13262.72
531323-Joaquim Rufino-19364.58
932698-Neuza Francia-11812.31
796446-Estanislau Beserra-11727.69
175704-Zungela Ipiranga-14825.05
899288-Jussara Varanda-1417.07
261254-Joaquim Rufino-7837.47
154343-Melinda Roserio-2227.84
17674-Esperada Cardoso-15097.82
434509-Lina Andrade-11626.14
182687-Almor Caiado-20733.61
851635-Jussara Varanda-8014.08
101287-Emiliana Foquio-6398.57
899955-Letedcia Gago-4171.70
584147-Aludsio Sosa-17573.46
568698-Nuno Balsemeo-18162.45
672953-Clarindo Areosa-2690.23
224106-Armanda Amorim-15551.77
509922-Tibefarcio Colao-20651.95
596460-Manuel Capiperibe-14071.46
839173-Domingos Pas-3518.45
353576-Clara Alcantara-12146.96
842431-Basilio Pedroso-1003.14
562466-Jonatas Felgueiras-21102.14
83975-Joaquim Rufino-5383.14
594579-Emedlio Pimentel-10688.83
328901-Oliveira Senchez-17555.56
326877-Letedcia Gago-7122.97
592689-Micaela Chavez-14428.06
157281-Emiliana Foquio-4949.19
852495-Telma Villalobos-7137.58
908326-Elisa Themes-12781.12
888800-Melinda Roserio-19769.54
242969-Almor Caiado-18440.33
250925-Tabalipa Duarte-20521.17
121078-Cleusa Goes-19362.28
752714-Lurdes Cotrim-16380.73
923441-Anind Zarco-19414.00
271250-Daniel Vieyra-9215.09
330167-Angelica Aranha-881.83
534701-Anfnia Seixas-6040.35
100243-Eurico Siqueira-2474.60
362077-Henrique Bento-19673.49
454193-Dulce Froes-21085.92
760196-Silvio Mata-10883.59
896937-Odilia Camello-6639.97
916761-Armindo Castalo-5042.66
8974-Domingos Pas-8781.89
397682-Emedlio Pimentel-11934.60
109159-Oliveira Senchez-13677.90
739865-Manuel Capiperibe-6608.42
128974-Oliveira Senchez-15719.42
146414-Feledcia Peassego-10208.20
634617-Oliveira Senchez-12552.75
672400-Emedlia Silvera-905.51
343738-Daniel Vieyra-2124.48
759563-Emiliana Foquio-5423.65
248776-Edgar Carvalheiro-6883.74
170958-Edgar Carvalheiro-13627.71
86094-Guida Juca-18608.80
700522-Nuno Balsemeo-5301.37
350384-Sara Lameiras-2317.82
976712-Quintiliano Sousa de Arronches-964.45
951953-Armanda Amorim-21010.79
35428-Urbano Rodrigues-16472.68
994416-Neeamia Arruda-7871.28
949993-Honorina Lira-14568.88
171227-Angilica Galante-9996.53
581559-Ximena Castilho-13568.24
484944-Gaudancio Fiees-13024.26
662492-Lurdes Cotrim-9246.43
197962-Almerinda Palmeira-8275.10
191597-Anfnia Seixas-12584.87
521826-Silvio Mata-20374.39
126491-Artur Grillo-9779.90
765787-Rodolfo Paz-13159.85
369357-Melinda Roserio-15679.35
853960-Clarindo Areosa-906.22
195868-Tibefarcio Colao-20572.04
341817-Anind Zarco-712.05
368264-Gaudancio Fiees-19428.68
531425-Celeste Duarte-18905.82
992979-Liana Cardim-14862.90
382988-Honorina Lira-17508.12
885126-Odete Vasques-17919.38
655441-Liana Cardim-17002.21
554022-Eurico Siqueira-16881.06
373138-Heleedsa Marins-1504.77
845213-Nuno Balsemeo-20706.72
141206-Emiliana Foquio-2215.31
379914-Flamednia Leiria-7588.99
261861-Augusta Paio-20654.30
170134-Tabalipa Duarte-779.40
81445-Spnia ou Sonia Guerreiro-13353.22
431396-Quintino Alcantara-14962.08
288119-Anind Zarco-603.79
129678-Ubaldo Mainha-21099.33
422419-Taercio Mafra-5118.23
853920-Artur Grillo-5606.68
489390-Almor Caiado-14658.09
330125-Aludsio Sosa-2347.06
554968-Romo Paranage-20869.68
878235-Estanislau Beserra-14076.54
7875-Emedlio Pimentel-16027.35
949363-Anind Zarco-4146.83
345541-Odilia Camello-9689.71
994901-Armindo Castalo-2866.17
234096-Tibofarcio Camacho-20830.40
466142-Emiliana Foquio-64.10
886908-Edgar Carvalheiro-4088.99
838211-Guida Juca-12142.29
204667-Odilia Camello-703.01
1349-Emedlio Pimentel-10151.79
737588-Flor Portella-12401.87
312725-Heleedsa Marins-3486.53
611885-Danilo Olaio-1325.15
290511-Rodolfo Paz-1445.10
418976-Angilica Galante-20727.44
370419-Jorgina Bogalho-17727.26
990053-Telma Villalobos-13151.29
935437-Joaquim Rufino-9214.84
586485-Emedlia Silvera-13506.89
721410-Andreia Moita-3732.06
510346-Zulmira Becerra-2144.60
67443-Liana Cardim-622.89
791392-Lina Andrade-14129.01
3018-Marilda Leio-317.08
831999-Armindo Castalo-1761.27
217106-Leonidas Mafra-2104.97
528612-Armanda Amorim-6954.88
223202-Rodolfo Paz-9494.23
663707-Micaela Chavez-12070.09
405094-Honorina Lira-14077.31
325599-Quintino Alcantara-8117.58
949449-Elisa Themes-10218.25
226008-Clara Alcantara-3051.33
17169-Oliveira Carmona-17781.36
834184-Almerinda Palmeira-14324.84
394797-Heleedsa Marins-13512.18
197856-Almerinda Palmeira-15407.46
646620-Eurico Siqueira-2624.86
579301-Augusta Paio-8781.49
200566-Heleedsa Marins-13105.54
544470-Emiliana Foquio-4273.96
348600-Anfnia Seixas-16163.46
442033-Delfina Perdigon-9310.88
953008-Cassandra Varejo-6516.22
172034-Manuel Capiperibe-9224.56
1737-Antonio Viegas-16688.51
845238-Clarindo Areosa-3685.65
176240-Esperada Cardoso-4842.12
446532-Armanda Amorim-7897.91
726248-Delfina Garcia de Gondim-4885.08
253149-Guaraci Damasceno-21010.52
537583-Marilda Leio-15469.17
163345-Tibefarcio Colao-10358.76
921826-Telma Villalobos-19808.29
332398-Odilia Bello-1185.17
227060-Aludsio Sosa-20675.19
855623-Tibofarcio Camacho-15958.80
746698-Honorina Lira-15465.73
607136-Liana Cardim-7215.36
649700-Silvio Mata-3277.78
246780-Emedlia Silvera-17730.32
240327-Emedlio Pimentel-15740.86
579790-Odete Vasques-7527.65
40235-Micaela Chavez-17616.87
606125-Taercio Mafra-20840.20
144350-Armanda Amorim-10047.63
49706-Celeste Duarte-20226.19
520049-Clara Alcantara-2358.82
202000-Jussara Varanda-2020.05
674860-Tarrataca Soares-6516.55
171898-Cleusa Goes-7479.02
237586-Taercio Mafra-9181.42
220522-Antonio Viegas-6312.38
595445-Aludsio Sosa-8182.78
315363-Urbano Rodrigues-21308.84
552309-Heleedsa Marins-11965.45
824374-Quintiliano Sousa de Arronches-18315.95
976795-Jussara Varanda-1096.31
734869-Neeamia Arruda-8098.33
512424-Sara Lameiras-4270.24
584765-Quintiliano Sousa de Arronches-15971.96
205041-Henrique Bento-21264.34
910836-Artur Grillo-14141.71
898198-Armanda Amorim-4962.83
572602-Tabalipa Duarte-13535.98
299150-Moaci Mendoa-19571.50
788552-Henrique Bento-794.91
412781-Sidfnio Frois-16114.68
918537-Camila Gabeira-16572.03
429306-Melinda Roserio-9382.31
