836059-Henrique Bento-19759.35
592429-Sidfnio Frois-19834.65
133875-Basilio Pedroso-6442.93
963279-Ximena Castilho-3904.63
941773-Emiliana Foquio-17102.00
335389-Judite Damasceno-13197.22
459324-Dulce Froes-18769.37
833456-Urbano Rodrigues-13001.81
635116-Leonidas Mafra-4190.26
156833-Flamednia Leiria-19390.10
881125-Artur Grillo-11033.63
613176-Basilio Pedroso-20999.55
223412-Judite Damasceno-16016.05
939080-Tibefarcio Colao-6070.85
969977-Esperada Cardoso-19570.27
766312-Rodolfo Paz-2328.79
326718-Leonidas Mafra-21103.38
902849-Cassandra Varejo-486.88
30198-Odilia Camello-14593.23
276256-Tabalipa Duarte-4649.96
722751-Lurdes Cotrim-4778.77
620518-Basilio Pedroso-18554.90
500086-Ximena Castilho-7842.30
156640-Leonidas Mafra-18281.69
308784-Flor Portella-7656.56
661275-Carminda Morais-6379.38
735456-Odete Vasques-18952.65
263214-Rebeca Neto-17056.84
488734-Jussara Varanda-10772.31
256760-Micaela Chavez-8470.23
35248-Adelina Quadros-1832.62
176609-Marilda Leio-10618.83
305977-Telma Villalobos-11713.83
40875-Fulvio Villegas-11560.56
377285-Romo Paranage-14063.65
256981-Dulce Froes-14850.26
499000-Henrique Bento-5642.78
111724-Odete Vasques-5210.57
412255-Tarrataca Soares-5080.63
35711-Neuza Francia-9443.19
655276-Zulmira Becerra-16213.54
668428-Gaudancio Fiees-14950.48
688343-Edgar Carvalheiro-5178.70
938433-Liana Cardim-2914.27
874130-Clarindo Areosa-14228.04
465413-Lurdes Cotrim-15740.61
994944-Jonatas Felgueiras-9780.77
822147-Branco Saraba-17451.88
333518-Melinda Roserio-17766.01
591959-Cleusa Goes-3841.53
873727-Dulce Froes-1803.24
417925-Guida Juca-16429.93
361423-Ubaldo Mainha-1851.97
687956-Cassandra Varejo-8861.36
586867-Rebeca Neto-12790.10
850590-Nuno Balsemeo-21294.75
656752-Manuel Capiperibe-19279.87
740808-Domingos Pas-4223.25
398677-Judite Damasceno-14656.59
119093-Tabalipa Duarte-18402.51
158817-Honorina Lira-2456.41
69449-Trajano Fagundes-11600.59
543949-Rebeca Neto-13504.20
888296-Heleedsa Marins-19881.08
659717-Zulmira Becerra-20816.95
751848-Armanda Amorim-8900.62
905318-Clarindo Areosa-20457.19
651833-Regina Barcellos-18179.76
103115-Anind Zarco-7278.91
671421-Ubaldo Mainha-14310.10
876110-Anfnia Seixas-5766.85
921513-Heleedsa Marins-19337.55
476058-Micaela Chavez-5548.15
711737-Emedlio Pimentel-12527.03
116039-Oliveira Senchez-238.79
14037-Andreia Moita-4386.31
420202-Esperada Cardoso-19235.36
329477-Edgar Carvalheiro-11617.05
47657-Judite Damasceno-20458.08
457317-Camila Gabeira-20574.79
117712-Aludsio Sosa-15808.72
935274-Silvio Mata-7963.09
811575-Clara Alcantara-13467.86
108040-Almor Caiado-12700.14
545329-Joaquim Rufino-14521.30
677604-Henrique Bento-10246.60
388161-Camila Gabeira-21170.80
333752-Odete Vasques-2149.26
771536-Estanislau Beserra-354.90
100190-Delfina Perdigon-8969.47
955161-Rodolfo Paz-3445.81
495265-Gaudancio Fiees-7715.17
306303-Clara Alcantara-11903.28
932226-Emedlia Silvera-8039.53
777681-Estanislau Beserra-16004.98
986033-Regina Barcellos-13666.92
341835-Polibe Olivares-9925.96
750405-Guida Juca-3764.47
379928-Domingos Pas-13362.18
817168-Romo Paranage-3048.35
